省份编码,省份,年份,固定资产投资(不含农户)(亿元),固定资产投资(不含农户)新增固定资产(亿元),固定资产投资(不含农户)交付使用率(%)
110000,北京市,2019,,,
110000,北京市,2018,,,
110000,北京市,2017,8307.3349,3182.0151,38.3
110000,北京市,2016,7888.6881,3191.017,40.45
110000,北京市,2015,7446.0198,3653.5935,49.07
110000,北京市,2014,6873.4408,3680.0822,53.54
110000,北京市,2013,6797.5373,2932.669,43.14
110000,北京市,2012,6064.8591,2284.2572,37.66
110000,北京市,2011,5519.8403,2089.6656,37.86
110000,北京市,2010,4916.5257,2202.3,44.8
110000,北京市,2009,4149.6286,2135.5596,51.46
110000,北京市,2008,3520.947,2385.8077,67.76
110000,北京市,2007,3597.2896,1753.4471,48.74
110000,北京市,2006,3012.4478,1767.0741,58.6590778436061
110000,北京市,2005,2595.408,1703.5628,65.64
110000,北京市,2004,2333.0,1318.15,56.5002143163309
110000,北京市,2003,1999.9,1165.8611,58.3
110000,北京市,2002,1693.6,,
110000,北京市,2001,,,
110000,北京市,2000,,,
120000,天津市,2019,,,
120000,天津市,2018,,,
120000,天津市,2017,11274.6948,6690.1566,59.34
120000,天津市,2016,12756.3593,7635.2401,59.85
120000,天津市,2015,11814.5712,7797.3465,66.0
120000,天津市,2014,10490.3656,6822.5764,65.04
120000,天津市,2013,9103.0109,5568.2875,61.17
120000,天津市,2012,7913.2603,4512.1708,57.02
120000,天津市,2011,7040.6834,3760.824,53.42
120000,天津市,2010,5896.5189,2750.3,46.6
120000,天津市,2009,4446.5679,2361.8292,53.12
120000,天津市,2008,3175.1374,1676.819,52.81
120000,天津市,2007,2192.1691,1167.1964,53.24
120000,天津市,2006,1678.9826,1283.3791,76.4379035256232
120000,天津市,2005,1364.0032,719.1668,52.72
120000,天津市,2004,1128.68,576.76,51.1004004678031
120000,天津市,2003,931.7,546.5841,58.7
120000,天津市,2002,715.5,,
120000,天津市,2001,,,
120000,天津市,2000,,,
130000,河北省,2019,,,
130000,河北省,2018,,,
130000,河北省,2017,33012.2314,21681.8798,65.68
130000,河北省,2016,31340.0673,22385.7816,71.43
130000,河北省,2015,28905.7383,22406.9378,77.52
130000,河北省,2014,26147.1985,19029.2241,72.78
130000,河北省,2013,22629.7693,17537.3393,77.5
130000,河北省,2012,19104.6297,12617.784,66.05
130000,河北省,2011,15780.2568,10256.815,65.0
130000,河北省,2010,12922.6572,8053.9,62.3
130000,河北省,2009,10476.5014,6836.5793,65.26
130000,河北省,2008,7463.7742,4734.249,63.43
130000,河北省,2007,5690.3132,3512.4575,61.73
130000,河北省,2006,4403.2251,2611.4318,59.3072518595518
130000,河北省,2005,3307.768,1982.3711,59.93
130000,河北省,2004,2441.98,1559.0,63.8416367046413
130000,河北省,2003,1772.8,1108.8845,62.5
130000,河北省,2002,1353.9,,
130000,河北省,2001,,,
130000,河北省,2000,,,
140000,山西省,2019,,,
140000,山西省,2018,,,
140000,山西省,2017,5722.1585,3654.8185,63.87
140000,山西省,2016,13859.351,9665.2686,69.74
140000,山西省,2015,13744.5907,10841.2978,78.88
140000,山西省,2014,12035.456,8825.7466,73.33
140000,山西省,2013,10745.345,6229.3323,57.97
140000,山西省,2012,8584.8533,5108.6434,59.51
140000,山西省,2011,6837.6888,3962.071,57.94
140000,山西省,2010,5526.6025,3145.1,56.9
