省份编码,省份,年份,全社会固定资产本年资金来源小计(亿元),全社会固定资产投资中国家预算内资金(亿元),全社会固定资产投资中国内贷款(亿元),全社会固定资产投资中利用外资(亿元),全社会固定资产投资中自筹资金(亿元),全社会固定资产投资中其他资金(亿元)
110000,北京市,2019,,,,,,
110000,北京市,2018,,,,,,
110000,北京市,2017,10918.4613,1092.1382,2595.4398,21.5326,3600.8898,3608.4609
110000,北京市,2016,11655.9517,1080.8266,2655.9867,13.0103,3695.652,4210.4761
110000,北京市,2015,10417.2265,964.2455,2360.4166,13.2333,3759.3141,3320.017
110000,北京市,2014,9648.5802,859.1774,2732.8741,28.7963,3212.8215,2814.9109
110000,北京市,2013,10452.5138,841.2742,2512.3924,23.4906,3547.6108,3527.7458
110000,北京市,2012,8870.7726,121.5752,2136.4185,22.1827,3300.5395,3290.0567
110000,北京市,2011,7928.6871,70.7246,1711.8431,29.4526,3433.0972,2683.5696
110000,北京市,2010,8316.9,91.2,2189.3,43.8,3240.2,2752.4
110000,北京市,2009,8503.6166,99.0925,2883.0243,39.327,2438.2915,3043.8813
110000,北京市,2008,5173.6886,92.2641,1385.7748,79.9739,2025.6833,1589.9925
110000,北京市,2007,6158.6946,76.5154,1490.6657,82.8026,2209.7078,2299.0031
110000,北京市,2006,4846.6254,105.4002,1316.2838,76.1806,1523.3542,1825.4066
110000,北京市,2005,4561.2966,142.2614,1059.704,70.8819,1446.6422,1841.8071
110000,北京市,2004,3548.75,117.69,787.81,118.59,1122.46,1402.2
110000,北京市,2003,2843.34,81.28,767.27,56.12,1032.13,906.55
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,,,,,,
120000,天津市,2018,,,,,,
120000,天津市,2017,12826.1121,187.5163,2016.726,32.0166,7803.1806,2786.6726
120000,天津市,2016,14211.946,232.183,2415.6741,122.0555,8701.1381,2740.8953
120000,天津市,2015,13073.7102,163.87,2209.8819,101.3515,9075.9212,1522.6856
120000,天津市,2014,11633.9845,169.8073,2016.2586,92.5124,7753.5554,1601.8508
120000,天津市,2013,10446.0413,119.0154,2161.4464,84.2004,6642.3884,1438.9907
120000,天津市,2012,8853.5548,103.7294,1753.705,84.1792,5870.0438,1041.8974
120000,天津市,2011,8102.6389,61.1673,1676.9566,94.8348,5131.9308,1137.7494
120000,天津市,2010,6887.3,53.0,1678.2,125.0,3998.9,1032.1
120000,天津市,2009,5351.0141,64.3517,1293.314,140.9475,2956.2047,896.1962
120000,天津市,2008,3794.6189,58.7093,949.7446,165.6411,2171.7085,448.8154
120000,天津市,2007,2850.8647,22.8485,703.9103,165.297,1442.2346,516.5743
120000,天津市,2006,2282.6336,22.7854,527.7548,152.9787,1181.8598,397.2549
120000,天津市,2005,1828.5714,28.4606,435.9185,122.4878,921.0517,320.6528
120000,天津市,2004,1391.49,18.78,375.84,102.32,686.66,207.88
120000,天津市,2003,1134.44,14.71,327.6,65.28,560.1,166.75
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,,,,,,
130000,河北省,2018,,,,,,
130000,河北省,2017,31947.2331,1185.1145,1951.7746,74.7056,25815.1549,2920.4835
130000,河北省,2016,30938.8518,1260.397,1797.934,31.6024,25518.1921,2330.7263
