省份编码,省份,年份,固定资产投资(不含农户)中央项目(亿元),固定资产投资(不含农户)地方项目(亿元)
110000,北京市,2019,,
110000,北京市,2018,,
110000,北京市,2017,866.3703,7440.9646
110000,北京市,2016,843.3735,7045.3146
110000,北京市,2015,774.5416,6671.4782
110000,北京市,2014,735.8201,6137.6207
110000,北京市,2013,909.2814,5888.2559
110000,北京市,2012,867.5543,5197.3048
110000,北京市,2011,565.452,4954.3883
110000,北京市,2010,598.1,4318.4
110000,北京市,2009,457.3124,3692.3162
110000,北京市,2008,663.2902,2857.6568
110000,北京市,2007,590.4461,3006.8435
110000,北京市,2006,426.413,2586.0348
110000,北京市,2005,362.9306,2232.4774
110000,北京市,2004,240.14,2092.87
110000,北京市,2003,254.3119,1745.5988
110000,北京市,2002,,
110000,北京市,2001,,
110000,北京市,2000,,
120000,天津市,2019,,
120000,天津市,2018,,
120000,天津市,2017,614.5856,10660.1092
120000,天津市,2016,538.984,12217.3753
120000,天津市,2015,629.3983,11185.1729
120000,天津市,2014,688.0473,9802.3183
120000,天津市,2013,662.1895,8440.8214
120000,天津市,2012,615.2351,7298.0252
120000,天津市,2011,513.7727,6526.9107
120000,天津市,2010,766.8,5129.7
120000,天津市,2009,896.9459,3549.622
120000,天津市,2008,660.91,2514.2274
120000,天津市,2007,441.8024,1750.3667
120000,天津市,2006,297.4727,1381.5099
120000,天津市,2005,213.2106,1150.7926
120000,天津市,2004,185.28,943.4
120000,天津市,2003,152.9894,778.7532
120000,天津市,2002,,
120000,天津市,2001,,
120000,天津市,2000,,
130000,河北省,2019,,
130000,河北省,2018,,
130000,河北省,2017,821.2838,32190.9476
130000,河北省,2016,847.2343,30492.833
130000,河北省,2015,931.1034,27974.6349
130000,河北省,2014,833.0629,25314.1356
130000,河北省,2013,1126.0364,21503.7329
130000,河北省,2012,847.1357,18257.494
130000,河北省,2011,743.4946,15036.7622
130000,河北省,2010,693.6,12229.1
130000,河北省,2009,541.652,9934.8494
130000,河北省,2008,598.417,6865.3572
130000,河北省,2007,443.0239,5247.2893
130000,河北省,2006,298.2526,4104.9725
130000,河北省,2005,290.1135,3017.6545
130000,河北省,2004,170.83,2271.15
130000,河北省,2003,149.4047,1623.4015
130000,河北省,2002,,
130000,河北省,2001,,
130000,河北省,2000,,
140000,山西省,2019,,
140000,山西省,2018,,
140000,山西省,2017,243.8878,5478.2707
140000,山西省,2016,538.1398,13321.2112
140000,山西省,2015,570.246,13174.3447
140000,山西省,2014,623.2607,11412.1953
140000,山西省,2013,480.5074,10264.8376
140000,山西省,2012,628.9514,7955.9019
140000,山西省,2011,526.2879,6311.4009
140000,山西省,2010,428.3,5098.3
140000,山西省,2009,358.7131,4150.8438
140000,山西省,2008,311.5246,2883.0435
140000,山西省,2007,233.4284,2366.7875
140000,山西省,2006,206.3762,1849.3092
140000,山西省,2005,183.2327,1483.2401
140000,山西省,2004,192.17,1123.04
140000,山西省,2003,142.0994,856.7246
140000,山西省,2002,,
140000,山西省,2001,,
140000,山西省,2000,,
150000,内蒙古自治区,2019,,
150000,内蒙古自治区,2018,,
150000,内蒙古自治区,2017,380.9559,13446.899
150000,内蒙古自治区,2016,894.2346,13999.7289
150000,内蒙古自治区,2015,617.8846,12911.2673
150000,内蒙古自治区,2014,964.9446,16472.9021
