省份编码,省份,年份,500万元以下房地产开发投资额(亿元),500-1000万元房地产开发投资额(亿元),1000-3000万元房地产开发投资额(亿元),3000-5000万元房地产开发投资额(亿元),5000万-1亿元房地产开发投资额(亿元),1-5亿元房地产开发投资额(亿元),5-10亿元房地产开发投资额(亿元),10亿元以上房地产开发投资额(亿元)
110000,北京市,2019,,0.0624,,0.1574,1.2961,47.3703,124.0692,3665.4251
110000,北京市,2018,,,,0.0869,2.0602,60.5247,140.2454,3670.4341
110000,北京市,2017,,0.0316,,0.1402,2.1629,56.7874,223.4375,3409.982
110000,北京市,2016,,0.0686,0.066,0.6997,4.0051,106.2691,314.9189,3574.5455
110000,北京市,2015,,0.0943,0.5437,1.9907,6.4336,170.5778,353.1078,3644.3002
110000,北京市,2014,,0.1148,0.9607,2.6992,8.3772,172.369,328.4378,3202.3754
110000,北京市,2013,,0.0866,1.2928,3.8007,16.5136,144.3343,366.9872,2950.3893
110000,北京市,2012,0.0324,0.1686,1.874,5.355,15.2446,191.4349,333.6774,2605.655
110000,北京市,2011,0.0647,0.1467,2.7145,3.8239,13.3583,219.3032,386.1471,2410.7534
110000,北京市,2010,0.1129,0.203,2.6668,3.7649,11.717,222.3062,396.5489,2263.7489
110000,北京市,2009,3.4093,5.1252,32.4703,53.2769,165.6142,1086.8451,531.175,459.7964
110000,北京市,2008,1.7679,4.599,28.5798,41.7906,116.396,789.1699,450.9216,475.5139
110000,北京市,2007,1.7898,3.7812,24.1888,42.2279,137.2929,904.0774,422.9561,459.5065
110000,北京市,2006,2.0028,4.2514,28.3769,36.5991,130.1058,780.3165,419.3551,318.8574
110000,北京市,2005,0.2934,0.5076,6.8049,8.8134,31.6034,383.7851,330.1226,763.0778
110000,北京市,2004,,,,,,,,
110000,北京市,2003,0.2013,0.4338,5.9895,9.8492,36.1067,388.7497,254.5686,506.5775
110000,北京市,2002,,,,,,,,
110000,北京市,2001,,,,,,,,
110000,北京市,2000,,,,,,,,
120000,天津市,2019,,,,0.264,1.2023,121.2995,385.5669,2219.4872
120000,天津市,2018,,,0.0024,0.7384,4.7389,198.2732,424.1266,1796.6097
120000,天津市,2017,,,0.0045,0.1855,2.192,215.9899,489.2524,1525.7693
120000,天津市,2016,,,0.1498,1.0571,3.1365,250.2768,472.1332,1573.2573
120000,天津市,2015,,,0.213,0.9565,3.6736,187.629,383.6742,1295.4001
120000,天津市,2014,0.0002,,0.3478,1.098,7.3726,205.7832,327.3433,1157.7045
120000,天津市,2013,0.0118,0.1419,0.6519,1.7052,9.1466,204.6892,287.199,977.2696
120000,天津市,2012,,0.0542,0.5784,1.5804,8.9809,177.908,277.4035,793.4914
120000,天津市,2011,0.0141,0.2543,1.3051,3.2809,12.9489,223.4492,308.8309,530.1658
120000,天津市,2010,0.0463,0.0855,1.2605,1.9957,8.8956,208.7745,248.7805,396.8038
120000,天津市,2009,2.1435,1.7665,16.3313,26.5637,74.136,384.8622,86.3643,143.0161
120000,天津市,2008,1.2229,2.3417,20.1415,29.0573,64.7354,343.9771,129.7814,62.4675
120000,天津市,2007,1.3379,3.247,22.5895,26.1158,72.3995,253.632,84.2474,41.7265
120000,天津市,2006,1.4161,2.711,19.5053,25.1012,70.9306,224.1159,41.4494,17.0889
120000,天津市,2005,25.3068,0.755,3.6622,8.7275,25.184,129.3873,76.5561,57.9614
120000,天津市,2004,,,,,,,,
