省份编码,省份,年份,固定资产投资(不含农户)(亿元),固定资产投资(不含农户)建筑安装工程(亿元),固定资产投资(不含农户)设备、工器具购置(亿元),固定资产投资(不含农户)其他费用(亿元),新建固定资产投资(不含农户)(亿元),扩建固定资产投资(不含农户)(亿元),改建固定资产投资(不含农户)(亿元)
110000,北京市,2019,,,,,,,
110000,北京市,2018,,,,,,,
110000,北京市,2017,8307.3349,3081.9677,1303.018,3922.3492,6638.096,291.1052,428.5999
110000,北京市,2016,7888.6881,3038.5389,855.8954,3994.2538,6488.6745,362.0245,486.6278
110000,北京市,2015,7446.0198,2903.6899,797.5139,3744.816,6147.2565,416.1576,371.9256
110000,北京市,2014,6873.4408,3368.9412,707.2903,2797.2093,5557.4637,508.54,353.5609
110000,北京市,2013,6797.5373,3417.8903,702.8166,2676.8304,5277.6612,552.9783,398.5091
110000,北京市,2012,6064.8591,2899.9317,762.6349,2402.2925,4839.8179,446.6409,268.995
110000,北京市,2011,5519.8403,2551.1622,596.5463,2372.1318,1520.401,436.4143,290.7658
110000,北京市,2010,4916.5257,1782.6,598.8,2535.1,1025.2,485.3,173.9
110000,北京市,2009,4149.6286,1647.7639,373.9624,2127.9023,879.8191,557.5411,153.267
110000,北京市,2008,3520.947,1571.0605,540.731,1409.1555,628.9839,537.9513,138.1011
110000,北京市,2007,3597.2896,1850.255,419.0545,1327.9801,705.4404,594.9119,132.7013
110000,北京市,2006,3012.4478,1622.0905,340.7678,1049.5895,496.4185,473.3752,169.0646
110000,北京市,2005,2595.408,1430.9594,320.455,843.9936,370.8084,485.5833,124.3095
110000,北京市,2004,2333.0,1325.07,257.63,750.3,352.98,358.41,91.97
110000,北京市,2003,1999.9,1133.2502,195.9134,670.7471,265.2504,369.3234,112.266
110000,北京市,2002,1693.6,,,,,,
110000,北京市,2001,,,,,,,
110000,北京市,2000,,,,,,,
120000,天津市,2019,,,,,,,
120000,天津市,2018,,,,,,,
120000,天津市,2017,11274.6948,6853.2867,2543.4508,1877.9573,8415.4582,515.2885,1104.8186
120000,天津市,2016,12756.3593,8563.5181,2580.8853,1611.9559,9306.481,929.6056,1050.7426
120000,天津市,2015,11814.5712,7936.9426,2176.4898,1701.1388,8741.6906,815.0999,1082.9614
120000,天津市,2014,10490.3656,7018.3682,1832.145,1639.8524,7761.4837,1023.9505,829.8471
120000,天津市,2013,9103.0109,6323.166,1281.2354,1498.6095,7178.7559,774.7247,685.03
120000,天津市,2012,7913.2603,5270.9548,1103.6024,1538.7031,6097.0776,747.7127,608.5239
120000,天津市,2011,7040.6834,4420.2785,1232.1289,1388.276,4142.8263,642.7988,639.334
120000,天津市,2010,5896.5189,3485.8,1097.6,1313.1,3254.7,634.6,618.0
120000,天津市,2009,4446.5679,2546.5249,926.2199,973.8231,2076.7635,559.2253,661.9152
120000,天津市,2008,3175.1374,1854.0559,656.1011,664.9804,1341.7164,428.1199,474.9452
120000,天津市,2007,2192.1691,1290.703,441.6209,459.8452,854.83,338.349,310.5425
120000,天津市,2006,1678.9826,1018.1597,339.7602,321.0627,783.8043,266.7829,134.2906
120000,天津市,2005,1364.0032,853.2086,265.0617,245.7329,574.5737,263.4025,116.0552
120000,天津市,2004,1128.68,682.26,233.82,212.6,466.75,231.07,80.46
