省份编码,省份,年份,新增固定资产投资(不含农户)(亿元),农、林、牧、渔业新增固定资产投资(不含农户)(亿元),采掘业新增固定资产投资(不含农户)(亿元),制造业新增固定资产投资(不含农户)(亿元),电力、煤气及水的生产和供应业新增固定资产投资(不含农户)(亿元),建筑业新增固定资产投资(不含农户)(亿元),交通运输仓储和邮政业新增固定资产投资(不含农户)(亿元),信息传输、计算机服务和软件业新增固定资产投资(不含农户)(亿元),批发和零售业新增固定资产投资(不含农户)(亿元),住宿和餐饮业新增固定资产投资(不含农户)(亿元),金融业新增固定资产投资(不含农户)(亿元),房地产业新增固定资产投资(不含农户)(亿元),租赁和商务服务业新增固定资产投资(不含农户)(亿元),科学研究、技术服务和地质勘查业新增固定资产投资(不含农户)(亿元),水利、环境和公共设施管理业新增固定资产投资(不含农户)(亿元),居民服务和其他服务业新增固定资产投资(不含农户)(亿元),教育新增固定资产投资(不含农户)(亿元),卫生、社会保障和社会福利业新增固定资产投资(不含农户)(亿元),文化、体育和娱乐业新增固定资产投资(不含农户)(亿元),公共管理和社会组织新增固定资产投资(不含农户)(亿元),国际组织新增固定资产投资(不含农户)(亿元)
110000,北京市,2019,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2018,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2017,3182.0151,53.8292,0.1304,249.9004,382.8535,7.4028,414.7717,282.5338,8.325,39.1379,11.1371,1009.9685,232.1153,19.5982,288.0068,0.0688,91.1851,65.9474,17.9943,7.1089,
110000,北京市,2016,3191.017,44.8874,0.0508,266.7095,159.9931,1.261,298.9036,121.3424,11.5162,49.8208,9.296,1597.6706,25.3655,71.9574,247.0528,15.5753,89.9966,24.7708,144.1063,10.7409,
110000,北京市,2015,3653.5935,100.0426,2.8912,382.4154,160.4004,5.8764,226.7057,235.7112,24.9818,52.9821,35.5106,1732.2651,81.3427,66.5651,249.5277,9.3782,94.4566,57.1789,76.5811,58.7807,
110000,北京市,2014,3680.0822,79.7196,13.6157,476.5355,244.4964,3.2637,275.8768,135.9776,16.3526,58.692,23.8285,1701.8506,58.8258,37.8615,277.3099,4.5303,91.497,87.2921,40.4166,52.14,
110000,北京市,2013,2932.669,106.3466,3.8649,482.6042,159.9944,9.0763,316.2099,69.1628,25.6122,3.7243,34.4528,1263.3666,10.6955,61.9747,204.9223,10.6387,70.7911,11.9511,55.8317,31.4489,
110000,北京市,2012,2284.2572,65.9456,6.5146,181.0253,63.2068,11.1548,231.4484,147.2248,9.1208,21.5037,15.8949,1133.576,21.7333,50.6365,137.4351,9.6419,59.9294,29.5465,57.8192,30.8996,
110000,北京市,2011,2089.6656,29.7558,5.9143,207.5028,81.2608,3.2034,70.2086,54.6768,18.2574,73.7716,24.0879,1040.9445,25.972,52.2973,194.6012,7.443,97.5549,21.0068,31.8049,49.4016,
110000,北京市,2010,2202.3,2.1,2.8,182.5,98.5,1.6,491.7,73.4,10.8,21.3,15.1,1091.7,15.5,41.0,51.1,1.2,48.3,17.1,18.8,17.6,
110000,北京市,2009,2135.5596,1.8656,19.6075,98.8331,134.5081,11.1083,213.0255,56.6762,8.4021,23.2011,12.578,1202.4211,17.2468,22.7833,117.5989,1.4989,47.3453,12.7174,111.4414,22.701,
