省份编码,省份,年份,固定资产投资(不含农户)施工项目个数(个),固定资产投资(不含农户)新开工项目个数(个),固定资产投资(不含农户)全部建成投产项目个数(个),固定资产投资(不含农户)项目建成投产率(%)
110000,北京市,2019,,,,
110000,北京市,2018,,,,
110000,北京市,2017,3630,1504,1166,32.12
110000,北京市,2016,3534,1464,1284,36.33
110000,北京市,2015,3704,1527,1507,40.69
110000,北京市,2014,3598,1261,1376,38.24
110000,北京市,2013,3981,1604,1540,38.68
110000,北京市,2012,2268,768,559,24.65
110000,北京市,2011,3521,1508,1466,41.64
110000,北京市,2010,2676,1102,1113,41.5919282511211
110000,北京市,2009,2893,1371,1294,44.73
110000,北京市,2008,2930,1447,1348,46.01
110000,北京市,2007,7667,3650,4743,61.86
110000,北京市,2006,2013,845,816,40.54
110000,北京市,2005,1335,583,479,35.88
110000,北京市,2004,1609,784,713,44.3132380360472
110000,北京市,2003,1672,938,749,44.8
110000,北京市,2002,,,,
110000,北京市,2001,,,,
110000,北京市,2000,,,,
120000,天津市,2019,,,,
120000,天津市,2018,,,,
120000,天津市,2017,16070,13539,8928,55.56
120000,天津市,2016,15786,14293,10365,65.66
120000,天津市,2015,10097,8477,7216,71.47
120000,天津市,2014,8044,6279,5498,68.35
120000,天津市,2013,7432,5757,4695,63.17
120000,天津市,2012,7260,5401,4565,62.88
120000,天津市,2011,6456,5049,3797,58.81
120000,天津市,2010,3990,2717,2267,56.8170426065163
120000,天津市,2009,4345,3355,2744,63.15
120000,天津市,2008,3193,2236,1955,61.23
120000,天津市,2007,2070,1410,1077,52.03
120000,天津市,2006,1918,1186,1091,56.88
120000,天津市,2005,1764,1229,823,46.66
120000,天津市,2004,1632,1126,862,52.8186274509804
120000,天津市,2003,1615,1195,882,54.6
120000,天津市,2002,,,,
120000,天津市,2001,,,,
120000,天津市,2000,,,,
130000,河北省,2019,,,,
130000,河北省,2018,,,,
130000,河北省,2017,24382,17887,18485,75.81
130000,河北省,2016,23995,19234,17932,74.73
130000,河北省,2015,20613,15150,16226,78.72
130000,河北省,2014,19149,13050,13830,72.22
130000,河北省,2013,20395,13127,14432,70.76
130000,河北省,2012,21851,14242,14637,66.99
130000,河北省,2011,23978,16861,16023,66.82
130000,河北省,2010,25354,19677,18095,71.3694091662065
130000,河北省,2009,29270,24703,22368,76.42
130000,河北省,2008,20996,17144,15744,74.99
130000,河北省,2007,19052,15216,13063,68.56
130000,河北省,2006,16079,13905,9786,60.86
130000,河北省,2005,13272,11207,7645,57.6
130000,河北省,2004,10828,8840,6132,56.6309567787218
130000,河北省,2003,9541,7809,5146,53.9
130000,河北省,2002,,,,
130000,河北省,2001,,,,
130000,河北省,2000,,,,
140000,山西省,2019,,,,
140000,山西省,2018,,,,
140000,山西省,2017,10719,6983,5829,54.38
140000,山西省,2016,23317,19716,18236,78.21
140000,山西省,2015,17291,13420,13918,80.49
140000,山西省,2014,12818,8444,9173,71.56
140000,山西省,2013,12686,8458,8286,65.32
140000,山西省,2012,10774,7285,6592,61.18
140000,山西省,2011,9937,6621,6493,65.34
140000,山西省,2010,13185,9633,8163,61.9112627986348
140000,山西省,2009,9638,7375,6097,63.26
140000,山西省,2008,6793,4565,3892,57.29
140000,山西省,2007,6548,4329,3966,60.57
140000,山西省,2006,5832,3895,3324,57.0
