省份编码,省份,年份,全社会住宅投资(亿元),城镇住宅投资(亿元),房地产住宅投资(亿元)
110000,北京市,2019,,,2039.755
110000,北京市,2018,,,2026.0619
110000,北京市,2017,1820.3248,1764.1426,1694.6697
110000,北京市,2016,2124.2599,2073.2437,1925.8648
110000,北京市,2015,2072.6194,2027.9595,1889.5385
110000,北京市,2014,2102.6465,2056.7428,1846.0805
110000,北京市,2013,2026.7532,1985.6909,1724.561
110000,北京市,2012,1872.9647,1833.5912,1627.9851
110000,北京市,2011,1942.6368,1892.9526,1778.307
110000,北京市,2010,1662.2,1569.1,1509.0
110000,北京市,2009,1034.6785,967.9218,906.6168
110000,北京市,2008,1028.2178,991.5594,940.5586
110000,北京市,2007,1091.3903,1053.5125,991.6637
110000,北京市,2006,951.3017,921.8829,863.6238
110000,北京市,2005,877.8951,843.5072,779.5336
110000,北京市,2004,855.56,831.65,775.99
110000,北京市,2003,713.62,692.6819,632.9718
110000,北京市,2002,,,
110000,北京市,2001,528.2783,,
110000,北京市,2000,84.2304,,
120000,天津市,2019,,,2200.0095
120000,天津市,2018,,,1863.4979
120000,天津市,2017,1647.923,1642.4305,1559.7031
120000,天津市,2016,1725.7758,1716.0649,1598.2672
120000,天津市,2015,1521.1109,1514.0366,1251.5275
120000,天津市,2014,1292.8878,1284.5535,1122.2553
120000,天津市,2013,1262.4704,1249.403,986.2785
120000,天津市,2012,1082.4134,1072.4265,843.0526
120000,天津市,2011,910.7189,896.0268,689.2818
120000,天津市,2010,700.5,652.2,565.4
120000,天津市,2009,576.851,542.3172,494.8563
120000,天津市,2008,510.1959,475.5605,459.3327
120000,天津市,2007,373.5963,348.2534,342.8187
120000,天津市,2006,334.0949,315.9703,311.3391
120000,天津市,2005,272.9521,241.2668,234.924
120000,天津市,2004,206.46,182.86,175.24
120000,天津市,2003,179.77,156.4057,150.9252
120000,天津市,2002,,,
120000,天津市,2001,103.407,,
120000,天津市,2000,14.4706,,
130000,河北省,2019,,,3455.7441
130000,河北省,2018,,,3471.1118
130000,河北省,2017,4131.8731,3847.5461,3656.9801
130000,河北省,2016,3964.9663,3669.7725,3475.483
130000,河北省,2015,3944.1076,3541.7514,3162.5474
130000,河北省,2014,3648.8022,3234.3422,3010.3548
130000,河北省,2013,3231.344,2805.9308,2539.2944
130000,河北省,2012,3073.5817,2708.4083,2317.1251
130000,河北省,2011,3141.4993,2768.3765,2282.5658
130000,河北省,2010,2614.8,2173.1,1785.8
130000,河北省,2009,1800.5682,1500.8255,1219.2376
130000,河北省,2008,1359.6826,1097.1788,858.5817
130000,河北省,2007,998.9836,760.5336,573.6995
130000,河北省,2006,781.1656,585.6196,379.6297
130000,河北省,2005,607.581,458.3634,292.0522
130000,河北省,2004,555.28,423.28,223.53
130000,河北省,2003,435.33,314.97,164.2136
130000,河北省,2002,,,
130000,河北省,2001,,,
130000,河北省,2000,,,
140000,山西省,2019,,,1296.476
140000,山西省,2018,,,1033.7641
140000,山西省,2017,1143.1746,946.0132,846.3841
140000,山西省,2016,1882.757,1665.4993,1141.0813
140000,山西省,2015,2106.7639,1889.7592,1098.3176
140000,山西省,2014,2004.5373,1790.9781,1010.6901
140000,山西省,2013,1688.956,1498.2702,958.8469
140000,山西省,2012,1467.0489,1281.0088,735.6137
140000,山西省,2011,1187.7169,1034.8491,615.3199
140000,山西省,2010,900.3,731.6,457.4
140000,山西省,2009,760.082,611.2434,377.8904
140000,山西省,2008,564.2597,442.603,227.8066
140000,山西省,2007,461.9967,352.5849,190.2509
140000,山西省,2006,350.3467,274.1836,155.8224
140000,山西省,2005,211.6535,164.8529,116.8931
140000,山西省,2004,155.15,117.66,72.15
140000,山西省,2003,122.12,88.1957,47.3991
140000,山西省,2002,,,
140000,山西省,2001,,,
140000,山西省,2000,,,
150000,内蒙古自治区,2019,,,782.1322
150000,内蒙古自治区,2018,,,641.9869
150000,内蒙古自治区,2017,837.1098,746.4302,645.8549
150000,内蒙古自治区,2016,1132.0568,1034.63,793.7031
150000,内蒙古自治区,2015,1107.4089,1016.379,758.5091
150000,内蒙古自治区,2014,1250.5041,1182.999,936.7598
150000,内蒙古自治区,2013,1289.7793,1215.6542,1003.5733
150000,内蒙古自治区,2012,1148.623,1123.3188,845.628
150000,内蒙古自治区,2011,1312.8229,1277.685,1069.5409
150000,内蒙古自治区,2010,961.8,928.6,782.8
150000,内蒙古自治区,2009,732.0396,702.3339,573.7815
150000,内蒙古自治区,2008,744.4724,710.164,579.1929
150000,内蒙古自治区,2007,523.8489,495.2904,383.8894
150000,内蒙古自治区,2006,374.1324,351.3333,255.6779
150000,内蒙古自治区,2005,198.2475,180.7317,114.7074
150000,内蒙古自治区,2004,154.54,137.69,68.84
150000,内蒙古自治区,2003,126.1,104.4824,51.4832
150000,内蒙古自治区,2002,,,
150000,内蒙古自治区,2001,,,
150000,内蒙古自治区,2000,,,
210000,辽宁省,2019,,,2188.3502
210000,辽宁省,2018,,,1944.4588
210000,辽宁省,2017,1783.4039,1681.9179,1673.9105
210000,辽宁省,2016,1625.0872,1512.4072,1505.4217
210000,辽宁省,2015,2775.3124,2641.5774,2603.3152
210000,辽宁省,2014,4077.1956,3888.3433,3844.2622
210000,辽宁省,2013,4875.2237,4693.4601,4666.0308
210000,辽宁省,2012,4201.1179,4022.8203,3961.9482
210000,辽宁省,2011,3691.5986,3514.107,3410.4876
210000,辽宁省,2010,2724.1,2562.1,2481.3
210000,辽宁省,2009,2128.3895,1984.1282,1933.9201
210000,辽宁省,2008,1765.1775,1635.8738,1579.2147
210000,辽宁省,2007,1380.5296,1256.5004,1165.8892
210000,辽宁省,2006,1041.8612,929.3843,838.8987
210000,辽宁省,2005,753.5723,679.4992,614.5405
210000,辽宁省,2004,594.04,521.24,480.6
210000,辽宁省,2003,454.88,387.2298,343.4716
210000,辽宁省,2002,,,
210000,辽宁省,2001,,,
210000,辽宁省,2000,,,
220000,吉林省,2019,,,970.9942
220000,吉林省,2018,,,841.0175
220000,吉林省,2017,709.9989,667.9072,633.548
220000,吉林省,2016,788.346,747.4948,710.6948
220000,吉林省,2015,782.9337,685.1548,648.8051
220000,吉林省,2014,841.4182,787.8509,732.4687
220000,吉林省,2013,1053.5255,993.7441,911.445
220000,吉林省,2012,1109.718,1062.9792,987.7438
220000,吉林省,2011,1059.3185,993.3859,920.8055
220000,吉林省,2010,872.0,800.3,731.7
220000,吉林省,2009,786.7925,709.0009,605.3047
220000,吉林省,2008,633.3653,592.7043,530.0778
220000,吉林省,2007,521.7448,483.6434,398.0067
220000,吉林省,2006,349.1962,315.5852,241.4788
220000,吉林省,2005,211.271,183.5326,145.2681
220000,吉林省,2004,165.17,150.13,112.72
220000,吉林省,2003,169.25,157.5755,97.774
220000,吉林省,2002,,,
220000,吉林省,2001,,,
220000,吉林省,2000,,,
230000,黑龙江省,2019,,,687.8253
230000,黑龙江省,2018,,,647.7699
230000,黑龙江省,2017,628.64,592.7982,554.6977
