省份编码,省份,年份,房屋施工面积(万平方米),住宅房屋施工面积(万平方米),商品住宅房屋施工面积(万平方米),房屋竣工面积(万平方米),住宅房屋竣工面积(万平方米),商品住宅房屋竣工面积(万平方米),房屋竣工价值(亿元),住宅房屋竣工价值(亿元),商品住宅房屋竣工价值(亿元)
110000,北京市,2019,,,,,,,,,
110000,北京市,2018,,,,,,,,,
110000,北京市,2017,,,,,,,,,
110000,北京市,2016,22221.3685,7596.023,5857.6083,3442.6872,1728.3198,1267.0649,,,
110000,北京市,2015,19428.5796,7673.4811,6261.2115,3993.6464,1879.0837,1378.2203,,,
110000,北京市,2014,20570.7635,8629.9675,6977.9888,4898.6699,2523.6411,1804.343,1290.3593,633.5198,500.6293
110000,北京市,2013,21242.3196,9445.1098,7406.8835,3989.6753,2154.7796,1692.0382,1215.6271,512.0433,436.7252
110000,北京市,2012,19306.8433,9180.6443,7510.3589,3552.1889,1983.2011,1522.7151,1106.2745,493.3872,420.3382
110000,北京市,2011,18041.5575,8817.0932,7168.1235,4032.9043,2121.7718,1316.1275,1067.2266,455.1006,340.304
110000,北京市,2010,15572.1,7932.9,6176.0,3908.4,2263.5,1498.5,885.9,403.6,333.7
110000,北京市,2009,14302.9381,7058.3847,5551.8813,4252.5319,2369.5891,1613.2296,980.8431,433.0847,351.5749
110000,北京市,2008,14145.2112,6656.339,5538.2293,3840.554,1871.0708,1399.3037,1027.3383,407.2477,332.2088
110000,北京市,2007,14535.5832,7168.7837,5914.4927,4168.3373,2397.4779,1853.9524,923.327,472.4408,403.3398
110000,北京市,2006,14356.072,7380.1665,6311.2716,4395.3979,2582.8447,2193.3179,992.8785,500.8397,454.8369
110000,北京市,2005,14390.798,8316.1756,7283.4187,4891.9299,3223.018,2841.4211,1015.912,612.7299,569.8471
110000,北京市,2004,13457.78,7761.97,6759.42,4489.73,2858.76,2343.95,769.76,461.25,401.83
110000,北京市,2003,11262.2,7444.31,,3222.8,2320.4,,461.8258,,
110000,北京市,2002,9697.7,,,3121.8,2189.6,,,,
110000,北京市,2001,8203.3,,,2554.6,1804.9,,315.8403,,
110000,北京市,2000,6995.9,,,2358.2,1499.7,,,,
120000,天津市,2019,,,,,,,,,
120000,天津市,2018,,,,,,,,,
120000,天津市,2017,,,,,,,,,
120000,天津市,2016,19422.8169,7335.8527,6311.7038,5368.0247,2317.7444,2189.1368,,,
120000,天津市,2015,21965.7306,7892.7933,6968.7469,5292.1962,2355.4445,2182.9862,,,
120000,天津市,2014,23029.0973,8282.1741,7204.4627,5549.0958,2553.4881,2130.2486,1283.8142,638.6087,556.6491
120000,天津市,2013,21518.6458,8830.5392,7562.4831,4904.3553,2458.2956,2117.6645,1223.7584,663.0511,571.4232
120000,天津市,2012,18949.1495,8199.458,6923.5199,4553.0334,2455.5945,1913.9656,1174.7333,648.9193,475.1184
120000,天津市,2011,17475.8809,7784.6048,6623.9545,3491.24,1960.6977,1645.1031,966.0946,577.3389,513.7797
120000,天津市,2010,13166.2,5821.8,5117.7,3271.6,1872.4,1603.6,908.9,532.1,486.7
120000,天津市,2009,10747.3375,5090.4728,4517.8262,3174.4845,1887.015,1580.8213,782.031,480.2335,434.9083
120000,天津市,2008,9634.0203,4823.3219,4306.3258,2868.1289,1773.6308,1492.5368,574.5182,374.1308,336.8947
