省份编码,省份,年份,农村农户固定资产投资额(亿元),农村农户竣工房屋投资额(亿元),农村农户竣工住宅投资额(亿元),农村农户施工房屋建筑面积(万平方米),农村农户竣工房屋建筑面积(万平方米),农村农户竣工住宅建筑面积(万平方米),农村农户竣工房屋造价(元/平方米),农村农户竣工住宅造价(元/平方米)
110000,北京市,2019,,,,,,,,
110000,北京市,2018,,,,,,,,
110000,北京市,2017,63.1011,54.1398,52.9816,,,,1285.9809976247,1282.84745762712
110000,北京市,2016,55.2044150881189,50.0234503272765,48.8761115551417,443.5164200933,417.341522516,403.7414428645,1198.62145577328,1210.57950376288
110000,北京市,2015,49.9736,43.6959,42.986,329.4506,303.8087,296.1528,1438.27020095211,1451.4804519829
110000,北京市,2014,50.7938,46.029,43.6124,428.2,406.3,380.2,1132.88210681762,1147.09100473435
110000,北京市,2013,49.51988,40.94302,39.25675,363.1,348.0,328.6,1176.52356321839,1194.66676810712
110000,北京市,2012,47.5123,41.4324,38.8116,377.2,368.2,325.2,1125.26887561108,1193.46863468635
110000,北京市,2011,59.0868,42.5281,39.094,789.9,594.1,547.4,715.84,714.18
110000,北京市,2010,52.1,42.7,41.6,948.1,630.5,611.0,677.6,680.7
110000,北京市,2009,43.5442,36.209,32.9403,784.2,564.6,543.5,641.32,606.08
110000,北京市,2008,22.1349,15.0296,14.5899,274.1562,208.424,201.7731,721.11,723.08
110000,北京市,2007,23.5016,17.1386,16.6614,398.0851,311.1487,298.4808,550.817020929221,558.206759027716
110000,北京市,2006,19.3605,12.69,11.9447,286.92,204.41,191.25,620.8111149161,624.559477124183
110000,北京市,2005,17.2028,11.2891,10.6551,294.82,212.86,198.93,530.3533,535.6206
110000,北京市,2004,15.572623,11.936573,10.579366,277.34,230.66,204.33,517.496444983959,517.758821514217
110000,北京市,2003,17.48,13.3,11.63,347.0,310.0,269.0,429.0,433.0
110000,北京市,2002,30.0,27.55,26.29,609.0,579.0,554.0,476.0,475.0
110000,北京市,2001,31.014762,23.160844,21.106535,640.09,611.89,501.13,378.513196816421,421.178835831022
110000,北京市,2000,30.58,20.143875,18.311772,470.93,450.47,373.51,447.174617621595,490.261893925196
120000,天津市,2019,,,,,,,,
120000,天津市,2018,,,,,,,,
120000,天津市,2017,14.2241,7.2791,6.763,,,,1119.86153846154,1108.68852459016
120000,天津市,2016,23.02848516,9.54857226,8.7421023,104.2158,80.166,72.1494,1191.1,1211.66666666667
120000,天津市,2015,17.4177,13.724,12.0848,138.8969,97.0375,82.82,1414.29859590365,1459.16445303067
120000,天津市,2014,27.8234,27.0959,23.619,219.1,181.7,155.4,1491.24380847551,1519.88416988417
120000,天津市,2013,27.23772,15.15103,14.38951,112.1,103.8,95.7,1459.63680154143,1503.60606060606
120000,天津市,2012,21.5225,10.3212,10.1111,74.3,73.63,70.45,1401.76558468016,1435.21646557842
120000,天津市,2011,26.9819,13.429,12.8825,118.96,113.13,110.27,1187.04,1168.27
120000,天津市,2010,26.4,12.0,11.9,134.6,104.6,98.7,1147.3,1203.4
120000,天津市,2009,28.9957,13.7721,13.4758,160.69,118.48,111.25,1162.4,1211.31
120000,天津市,2008,33.1522,15.9955,15.441,209.72,144.09,128.72,1110.1,1199.58
120000,天津市,2007,32.7081,16.3831,16.0995,302.18,218.68,203.31,749.181452350466,791.86955880183
