省份编码,省份,年份,固定资产投资(不含农户)(亿元),农、林、牧、渔业固定资产投资(不含农户)(亿元),采矿业固定资产投资(不含农户)(亿元),制造业固定资产投资(不含农户)(亿元),电力、燃气及水的生产和供应业固定资产投资(不含农户)(亿元),建筑业固定资产投资(不含农户)(亿元),交通运输仓储和邮政业固定资产投资(不含农户)(亿元),信息传输、计算机服务和软件业固定资产投资(不含农户)(亿元),批发和零售业固定资产投资(不含农户)(亿元),住宿和餐饮业固定资产投资(不含农户)(亿元),金融业固定资产投资(不含农户)(亿元),房地产业固定资产投资(不含农户)(亿元),租赁和商务服务业固定资产投资(不含农户)(亿元),科学研究、技术服务和地质勘查业固定资产投资(不含农户)(亿元),水利、环境和公共设施管理业固定资产投资(不含农户)(亿元),居民服务和其他服务业固定资产投资(不含农户)(亿元),教育固定资产投资(不含农户)(亿元),卫生、社会保障和社会福利业固定资产投资(不含农户)(亿元),文化、体育和娱乐业固定资产投资(不含农户)(亿元),公共管理和社会组织固定资产投资(不含农户)(亿元),国际组织固定资产投资(不含农户)(亿元)
110000,北京市,2019,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2018,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2017,8307.3349,96.5848,3.1105,380.6219,475.0529,5.8339,1128.4041,282.0296,30.6608,10.6001,28.3667,4425.8999,283.826,73.3641,758.9009,0.0688,129.279,66.1688,108.4642,20.0979,
110000,北京市,2016,7888.6881,102.9651,2.9345,383.5706,323.3072,6.2622,761.3671,198.8521,29.5578,45.7385,50.6453,4675.6566,129.2314,70.6236,722.1694,16.0721,139.9305,56.9083,153.1872,19.7086,
110000,北京市,2015,7446.0198,109.3546,2.5705,362.2445,293.2474,5.5606,714.6989,240.0167,58.1537,40.6372,73.3086,4434.6837,63.8532,80.1114,550.5005,21.7074,142.181,60.6292,133.3051,59.2556,
110000,北京市,2014,6873.4408,142.5187,7.1843,303.364,353.1191,4.5758,767.5396,178.0349,33.344,64.7985,54.3086,4022.8965,47.5457,115.8168,451.4343,11.5086,124.2405,67.0285,80.1762,44.0062,
110000,北京市,2013,6797.5373,173.4307,9.1031,450.2914,259.8988,7.3652,652.9906,191.4303,50.7453,78.1313,48.2115,3839.488,50.485,108.0495,463.7767,14.6443,142.7356,60.893,111.6274,84.2396,
110000,北京市,2012,6064.8591,119.5411,4.3469,414.5351,215.8383,8.6914,696.0843,161.9617,27.8088,55.2972,26.6317,3451.7539,36.6107,128.6612,402.9217,18.053,95.0346,44.1622,78.9475,77.9778,
110000,北京市,2011,5519.8403,40.634,8.7112,570.1996,161.7522,10.2589,505.1777,112.9323,28.7156,38.1151,38.0531,3192.0586,46.1657,91.9898,380.7424,9.4692,132.9636,48.0868,54.9774,48.8371,
110000,北京市,2010,4916.5257,4.2,8.3,296.6,136.6,4.2,645.6,142.4,22.8,19.2,30.3,3039.0,22.4,81.9,263.9,3.8,72.4,36.1,59.5,27.3,
110000,北京市,2009,4149.6286,2.7503,21.4206,164.0907,151.6546,4.4139,612.5359,139.1993,9.8298,26.2451,7.397,2480.1038,21.1427,51.5355,262.9367,2.4509,54.0794,36.5824,61.5659,39.6941,
