省份编码,省份,年份,全社会建设总规模(亿元),全社会在建总规模(亿元),全社会在建净规模(亿元)
150000,内蒙古自治区,2018,,,
150000,内蒙古自治区,2017,,,
150000,内蒙古自治区,2016,,,
150000,内蒙古自治区,2015,,,
150000,内蒙古自治区,2014,43907.69,28950.49,11890.82
150000,内蒙古自治区,2013,,,
150000,内蒙古自治区,2012,32411.2885,23982.3663,10962.6576
150000,内蒙古自治区,2011,28216.0309,19968.9583,10048.3164
150000,内蒙古自治区,2010,24097.7,17671.0,8526.9
150000,内蒙古自治区,2009,17834.6576,12838.312,6188.3673
150000,内蒙古自治区,2008,12234.621,8687.8237,3687.8122
150000,内蒙古自治区,2007,9938.0914,6716.1662,3171.5004
150000,内蒙古自治区,2006,9198.298,6922.4909,3857.8465
150000,内蒙古自治区,2005,6925.0565,5186.1454,3182.9821
150000,内蒙古自治区,2004,4861.63,4120.56,2457.27
150000,内蒙古自治区,2003,,,
150000,内蒙古自治区,2002,,,
150000,内蒙古自治区,2001,,,
150000,内蒙古自治区,2000,,,
210000,辽宁省,2019,,,
210000,辽宁省,2018,,,
210000,辽宁省,2017,,,
210000,辽宁省,2016,,,
210000,辽宁省,2015,,,
210000,辽宁省,2014,68879.01,43826.04,17769.64
210000,辽宁省,2013,,,
210000,辽宁省,2012,62838.334,46553.8197,21877.3234
210000,辽宁省,2011,52328.1969,39764.9184,19947.8917
210000,辽宁省,2010,42208.7,32079.8,15497.6
210000,辽宁省,2009,30461.9383,23561.101,10648.8845
210000,辽宁省,2008,24524.2137,17693.5446,8713.4667
210000,辽宁省,2007,19061.9261,14585.7202,8034.4804
210000,辽宁省,2006,13896.8944,10456.2405,5169.5534
210000,辽宁省,2005,9925.0615,7012.0175,3970.2856
210000,辽宁省,2004,7085.66,5568.65,2893.93
210000,辽宁省,2003,,,
210000,辽宁省,2002,,,
210000,辽宁省,2001,,,
210000,辽宁省,2000,,,
220000,吉林省,2019,,,
220000,吉林省,2018,,,
220000,吉林省,2017,,,
220000,吉林省,2016,,,
220000,吉林省,2015,,,
220000,吉林省,2014,23327.17,12508.92,5464.45
220000,吉林省,2013,,,
220000,吉林省,2012,20148.658,12753.5939,5784.1299
220000,吉林省,2011,15905.4523,10098.3639,4236.8796
220000,吉林省,2010,13605.0,7828.9,3121.1
220000,吉林省,2009,11667.6131,6834.727,2874.0613
220000,吉林省,2008,9452.7043,5616.2352,2389.5928
220000,吉林省,2007,6839.1456,4594.1409,1991.6929
220000,吉林省,2006,5509.1564,3384.7562,1681.9896
220000,吉林省,2005,3800.9757,2510.3914,1340.006
220000,吉林省,2004,2634.79,2209.37,1060.01
220000,吉林省,2003,,,
220000,吉林省,2002,,,
220000,吉林省,2001,,,
220000,吉林省,2000,,,
230000,黑龙江省,2019,,,
230000,黑龙江省,2018,,,
230000,黑龙江省,2017,,,
230000,黑龙江省,2016,,,
230000,黑龙江省,2015,,,
230000,黑龙江省,2014,26496.57,18114.92,7385.52
230000,黑龙江省,2013,,,
230000,黑龙江省,2012,23112.1834,15676.7811,7502.3944
230000,黑龙江省,2011,17854.6782,12566.7969,6364.1921
230000,黑龙江省,2010,14917.3,10199.2,5519.7
230000,黑龙江省,2009,10992.6652,7089.5079,4037.2964
230000,黑龙江省,2008,7473.3645,4645.7118,2262.9967
230000,黑龙江省,2007,5814.2953,3591.2649,1853.1505
230000,黑龙江省,2006,4743.4951,2970.0203,1436.5513
230000,黑龙江省,2005,4035.8531,2784.6938,1585.8582
230000,黑龙江省,2004,3509.15,2732.55,1535.59
230000,黑龙江省,2003,,,
230000,黑龙江省,2002,,,
230000,黑龙江省,2001,,,
230000,黑龙江省,2000,,,
310000,上海市,2019,,,
310000,上海市,2018,,,
310000,上海市,2017,,,
310000,上海市,2016,,,
310000,上海市,2015,,,
310000,上海市,2014,33989.22,30971.59,10665.75
310000,上海市,2013,,,
310000,上海市,2012,28047.8312,25384.3119,9246.0963
310000,上海市,2011,26138.9907,23707.1778,8344.7906
310000,上海市,2010,26000.0,23393.1,8317.5
310000,上海市,2009,22637.0809,19807.0018,7082.0616
310000,上海市,2008,22661.8315,19756.4262,7675.7678
310000,上海市,2007,19581.1677,16972.7728,6390.4705
310000,上海市,2006,18613.542,16291.8682,6536.6317
310000,上海市,2005,16437.1808,15068.6946,6381.3252
310000,上海市,2004,11683.43,9713.83,3840.18
310000,上海市,2003,,,
310000,上海市,2002,,,
310000,上海市,2001,,,
310000,上海市,2000,,,
320000,江苏省,2019,,,
320000,江苏省,2018,,,
320000,江苏省,2017,,,
320000,江苏省,2016,,,
320000,江苏省,2015,,,
320000,江苏省,2014,109540.05,71857.32,31634.27
320000,江苏省,2013,,,
320000,江苏省,2012,85798.8917,60653.1956,29458.2081
320000,江苏省,2011,72083.9414,50934.2125,24822.9834
320000,江苏省,2010,60067.8,42744.7,20584.2
320000,江苏省,2009,48272.2517,33548.944,15251.4235
320000,江苏省,2008,38859.9592,28315.2476,13099.9802
320000,江苏省,2007,30576.6282,21481.5671,10234.7875
320000,江苏省,2006,25131.2943,16934.7005,8090.4004
320000,江苏省,2005,21863.0797,15225.3326,8021.6977
320000,江苏省,2004,17367.55,13929.06,6829.07
320000,江苏省,2003,,,
320000,江苏省,2002,,,
320000,江苏省,2001,,,
320000,江苏省,2000,,,
330000,浙江省,2019,,,
330000,浙江省,2018,,,
330000,浙江省,2017,,,
330000,浙江省,2016,,,
330000,浙江省,2015,,,
330000,浙江省,2014,84974.39,64309.37,28328.89
330000,浙江省,2013,,,
330000,浙江省,2012,61533.3271,49981.7563,22142.6417
330000,浙江省,2011,51853.7798,41891.6778,19293.2825
330000,浙江省,2010,43542.4,34420.7,15403.6
330000,浙江省,2009,36787.7823,29152.3536,12578.8208
330000,浙江省,2008,32287.6817,25827.1017,11143.1694
330000,浙江省,2007,28363.0947,22816.3776,10549.4288
330000,浙江省,2006,24657.4943,19286.0162,8900.2076
330000,浙江省,2005,20916.7024,16397.1926,8685.196
330000,浙江省,2004,17636.22,14206.96,7908.18
330000,浙江省,2003,,,
330000,浙江省,2002,,,
330000,浙江省,2001,,,
330000,浙江省,2000,,,
340000,安徽省,2019,,,
340000,安徽省,2018,,,
340000,安徽省,2017,,,
340000,安徽省,2016,,,
340000,安徽省,2015,,,
340000,安徽省,2014,60135.63,41089.11,19002.87
340000,安徽省,2013,,,
340000,安徽省,2012,42036.1088,31336.4809,14991.639
340000,安徽省,2011,32380.8648,24205.8372,11628.736
340000,安徽省,2010,28861.4,21223.0,9708.8
340000,安徽省,2009,23247.816,17205.9118,8108.3952
340000,安徽省,2008,17026.5292,13253.9326,5240.4081
340000,安徽省,2007,12794.6366,9937.7603,4587.2388
340000,安徽省,2006,10410.4335,8353.6376,4312.0429
340000,安徽省,2005,8101.1164,6414.0861,3835.9406
340000,安徽省,2004,5797.55,4970.95,2829.41
340000,安徽省,2003,,,
340000,安徽省,2002,,,
340000,安徽省,2001,,,
340000,安徽省,2000,,,
350000,福建省,2019,,,
350000,福建省,2018,,,
350000,福建省,2017,,,
350000,福建省,2016,,,
350000,福建省,2015,,,
350000,福建省,2014,52087.1,36918.82,14211.93
350000,福建省,2013,,,
350000,福建省,2012,38643.2821,30403.1603,12686.253
350000,福建省,2011,32458.2318,26545.078,12099.8508
350000,福建省,2010,29043.3,25091.4,12273.2
350000,福建省,2009,22994.699,19821.2346,9903.1006
350000,福建省,2008,18481.1026,15678.8483,7671.0237
350000,福建省,2007,14631.9659,12832.416,6793.3966
350000,福建省,2006,11587.3826,10307.526,5867.0611
350000,福建省,2005,8572.572,7822.5898,4376.5124
350000,福建省,2004,6676.94,5522.05,3159.3
350000,福建省,2003,,,
350000,福建省,2002,,,
350000,福建省,2001,,,
350000,福建省,2000,,,
360000,江西省,2019,,,
360000,江西省,2018,,,
360000,江西省,2017,,,
360000,江西省,2016,,,
360000,江西省,2015,,,
360000,江西省,2014,33395.47,20696.21,9717.05
360000,江西省,2013,,,
360000,江西省,2012,23361.09,13879.207,6834.2578
360000,江西省,2011,19642.4366,11521.5982,5412.8497
360000,江西省,2010,19093.9,11834.2,5719.1
360000,江西省,2009,14861.0641,9499.7693,4832.9672
360000,江西省,2008,11303.2977,7546.8409,3815.7236
360000,江西省,2007,7916.975,6182.2532,2750.6688
360000,江西省,2006,6349.252,4692.6617,2026.4725
360000,江西省,2005,5429.1053,4270.8693,2166.501
360000,江西省,2004,4275.61,3518.05,1663.54
360000,江西省,2003,,,
360000,江西省,2002,,,
360000,江西省,2001,,,
360000,江西省,2000,,,
370000,山东省,2019,,,
370000,山东省,2018,,,
370000,山东省,2017,,,
370000,山东省,2016,,,
370000,山东省,2015,,,
370000,山东省,2014,100826.18,64358.95,29772.51
370000,山东省,2013,,,
370000,山东省,2012,72291.1389,49349.4751,23172.3668
370000,山东省,2011,61895.9857,40895.0816,19073.7138
370000,山东省,2010,53145.4,39370.9,18528.7
370000,山东省,2009,39221.9569,28466.1834,12807.1034
370000,山东省,2008,31249.2411,23275.1374,9714.3685
370000,山东省,2007,25036.7306,18485.9243,7527.0761
370000,山东省,2006,23236.6633,17490.3809,7591.0938
370000,山东省,2005,20738.7665,14914.6853,8493.6074
370000,山东省,2004,15536.85,12398.99,6625.95
370000,山东省,2003,,,
370000,山东省,2002,,,
370000,山东省,2001,,,
370000,山东省,2000,,,
410000,河南省,2019,,,
410000,河南省,2018,,,
410000,河南省,2017,,,
410000,河南省,2016,,,
410000,河南省,2015,,,
410000,河南省,2014,84708.51,57404.87,31594.29
410000,河南省,2013,,,
410000,河南省,2012,57895.2248,41569.9162,23375.0115
410000,河南省,2011,45741.3193,31652.8295,17868.4041
410000,河南省,2010,36893.4,24068.2,13561.7
410000,河南省,2009,26427.857,15275.6462,8240.0718
410000,河南省,2008,20065.3769,11979.6035,5716.077
410000,河南省,2007,15544.072,8892.5186,4186.4148
410000,河南省,2006,11974.911,7460.0393,3595.0741
410000,河南省,2005,9837.8056,6738.552,3774.0446
410000,河南省,2004,7454.46,5815.01,3309.71
410000,河南省,2003,,,
410000,河南省,2002,,,
410000,河南省,2001,,,
410000,河南省,2000,,,
420000,湖北省,2019,,,
420000,湖北省,2018,,,
420000,湖北省,2017,,,
420000,湖北省,2016,,,
420000,湖北省,2015,,,
420000,湖北省,2014,69795.37,51184.53,24617.64
420000,湖北省,2013,,,
420000,湖北省,2012,44218.165,33740.1991,15723.1062
420000,湖北省,2011,35452.0048,26592.8967,12595.2309
420000,湖北省,2010,29623.9,22737.7,11671.9
420000,湖北省,2009,22886.8948,17874.1914,8412.6439
420000,湖北省,2008,16528.6147,13276.0517,5595.8422
420000,湖北省,2007,13245.5916,10724.6198,4960.9846
420000,湖北省,2006,11315.3425,9458.4263,4504.8818
420000,湖北省,2005,9453.795,7652.6532,4170.8113
420000,湖北省,2004,8247.04,7138.45,3608.4
420000,湖北省,2003,,,
420000,湖北省,2002,,,
420000,湖北省,2001,,,
420000,湖北省,2000,,,
430000,湖南省,2019,,,
430000,湖南省,2018,,,
430000,湖南省,2017,,,
430000,湖南省,2016,,,
430000,湖南省,2015,,,
430000,湖南省,2014,50715.6,33056.92,14115.29
430000,湖南省,2013,,,
430000,湖南省,2012,36730.6497,26243.7203,11951.1803
430000,湖南省,2011,31186.8271,24365.1965,11223.6069
430000,湖南省,2010,24826.4,19805.4,9274.2
430000,湖南省,2009,20414.1407,16616.2691,8109.5646
430000,湖南省,2008,15714.1266,12563.5513,6131.1811
430000,湖南省,2007,11587.1428,9072.6811,4338.9308
430000,湖南省,2006,9168.1064,7245.728,3446.2138
430000,湖南省,2005,7340.3967,6319.0545,2972.0455
430000,湖南省,2004,6106.66,5200.86,2586.57
430000,湖南省,2003,,,
430000,湖南省,2002,,,
430000,湖南省,2001,,,
430000,湖南省,2000,,,
440000,广东省,2019,,,
440000,广东省,2018,,,
440000,广东省,2017,,,
440000,广东省,2016,,,
440000,广东省,2015,,,
440000,广东省,2014,102955.43,76978.12,35062.99
440000,广东省,2013,,,
440000,广东省,2012,77655.915,62955.3481,29912.7964
440000,广东省,2011,66445.3201,53532.0181,25097.7837
440000,广东省,2010,60158.7,47435.3,23364.2
440000,广东省,2009,47107.7416,38955.952,18278.8139
440000,广东省,2008,38566.7639,30331.7892,13514.4461
440000,广东省,2007,33737.5569,27551.5973,12973.7133
440000,广东省,2006,29657.3221,24166.1873,12170.2374
440000,广东省,2005,25890.8012,21411.6115,10179.4695
440000,广东省,2004,22085.58,19017.85,9553.41
440000,广东省,2003,,,
440000,广东省,2002,,,
440000,广东省,2001,,,
440000,广东省,2000,,,
450000,广西壮族自治区,2019,,,
450000,广西壮族自治区,2018,,,
450000,广西壮族自治区,2017,,,
450000,广西壮族自治区,2016,,,
450000,广西壮族自治区,2015,,,
450000,广西壮族自治区,2014,39819.22,28298.67,13063.31
450000,广西壮族自治区,2013,,,
450000,广西壮族自治区,2012,27232.423,20329.2252,9209.7271
450000,广西壮族自治区,2011,23933.036,18508.1099,8988.0248
450000,广西壮族自治区,2010,21363.9,16859.3,9073.6
450000,广西壮族自治区,2009,16762.5019,13517.9063,7693.36
450000,广西壮族自治区,2008,13525.6926,11300.6073,6261.3817
450000,广西壮族自治区,2007,9491.3406,7705.5294,3793.6085
450000,广西壮族自治区,2006,7157.7822,5897.0327,2940.7231
450000,广西壮族自治区,2005,5656.9228,4651.4413,2620.5048
450000,广西壮族自治区,2004,4473.38,3853.94,2307.64
450000,广西壮族自治区,2003,,,
450000,广西壮族自治区,2002,,,
450000,广西壮族自治区,2001,,,
450000,广西壮族自治区,2000,,,
460000,海南省,2019,,,
460000,海南省,2018,,,
460000,海南省,2017,,,
460000,海南省,2016,,,
460000,海南省,2015,,,
460000,海南省,2014,14799.42,12664.7,6123.27
460000,海南省,2013,,,
460000,海南省,2012,9519.6652,8207.7935,4362.7939
460000,海南省,2011,7058.4805,6262.0261,3352.1832
460000,海南省,2010,5100.9,4411.4,2298.4
460000,海南省,2009,3271.4303,2818.843,1435.7166
460000,海南省,2008,2540.0439,2293.4167,1325.1003
460000,海南省,2007,2176.5511,1879.4348,1217.2936
460000,海南省,2006,1414.7425,1181.8285,518.4639
460000,海南省,2005,1199.7499,990.254,394.2526
460000,海南省,2004,1038.09,894.63,445.05
460000,海南省,2003,,,
460000,海南省,2002,,,
460000,海南省,2001,,,
460000,海南省,2000,,,
500000,重庆市,2019,,,
500000,重庆市,2018,,,
500000,重庆市,2017,,,
500000,重庆市,2016,,,
500000,重庆市,2015,,,
500000,重庆市,2014,41871.46,30921.69,13167.45
500000,重庆市,2013,,,
500000,重庆市,2012,31238.436,24877.9002,11151.2892
500000,重庆市,2011,27765.3534,22932.5736,11130.6988
500000,重庆市,2010,25839.1,22044.7,10908.0
500000,重庆市,2009,19564.0848,16651.9945,8065.4096
500000,重庆市,2008,15436.776,13790.38,6508.8638
500000,重庆市,2007,12160.0435,10270.0943,5394.5783
500000,重庆市,2006,9898.619,8493.4468,4707.6831
500000,重庆市,2005,8355.18,6992.9449,4307.7634
500000,重庆市,2004,5776.28,5050.57,2856.78
500000,重庆市,2003,,,
500000,重庆市,2002,,,
500000,重庆市,2001,,,
500000,重庆市,2000,,,
510000,四川省,2019,,,
510000,四川省,2018,,,
510000,四川省,2017,,,
510000,四川省,2016,,,
510000,四川省,2015,,,
510000,四川省,2014,69036.43,48982.29,23299.01
510000,四川省,2013,,,
510000,四川省,2012,48983.8129,35453.7612,16153.7795
510000,四川省,2011,41340.6998,29840.6177,13530.0475
510000,四川省,2010,41219.4,31809.6,15866.2
510000,四川省,2009,34177.5477,25957.4443,13623.362
510000,四川省,2008,24743.2347,21067.7059,11933.6992
510000,四川省,2007,17530.2395,14476.0816,7483.3885
510000,四川省,2006,14834.3026,11821.5835,6913.4574
510000,四川省,2005,11247.6838,9068.6358,5740.7897
510000,四川省,2004,8887.65,7276.24,4422.52
510000,四川省,2003,,,
510000,四川省,2002,,,
510000,四川省,2001,,,
510000,四川省,2000,,,
520000,贵州省,2019,,,
520000,贵州省,2018,,,
520000,贵州省,2017,,,
520000,贵州省,2016,,,
520000,贵州省,2015,,,
520000,贵州省,2014,33369.27,27334.14,13810.24
520000,贵州省,2013,,,
520000,贵州省,2012,19862.6057,17153.2329,8948.3862
520000,贵州省,2011,13322.1202,10956.1814,5780.9932
520000,贵州省,2010,12751.8,10741.1,6476.2
520000,贵州省,2009,10164.3563,8560.8092,5116.529
520000,贵州省,2008,7683.5249,6325.1006,3574.3842
520000,贵州省,2007,5853.3701,4720.1112,2697.8206
520000,贵州省,2006,4588.6931,3545.4533,1946.6614
520000,贵州省,2005,3781.0235,3185.7506,1813.0277
520000,贵州省,2004,3356.89,2856.68,1704.26
520000,贵州省,2003,,,
520000,贵州省,2002,,,
520000,贵州省,2001,,,
520000,贵州省,2000,,,
530000,云南省,2019,,,
530000,云南省,2018,,,
530000,云南省,2017,,,
530000,云南省,2016,,,
530000,云南省,2015,,,
530000,云南省,2014,39749.02,31577.84,14850.26
530000,云南省,2013,,,
530000,云南省,2012,26669.8293,21682.2157,10013.1024
530000,云南省,2011,22513.7612,18058.7069,8341.0288
530000,云南省,2010,20911.8,18044.6,8884.3
530000,云南省,2009,17143.6309,15143.9944,8233.2541
530000,云南省,2008,12047.675,10023.0657,5398.8982
530000,云南省,2007,10027.3905,8539.7704,4358.7461
530000,云南省,2006,7464.6226,6469.7367,3253.7603
530000,云南省,2005,6450.5736,5816.7721,3362.2551
530000,云南省,2004,5383.84,4831.52,3134.82
530000,云南省,2003,,,
530000,云南省,2002,,,
530000,云南省,2001,,,
530000,云南省,2000,,,
540000,西藏自治区,2019,,,
540000,西藏自治区,2018,,,
540000,西藏自治区,2017,,,
540000,西藏自治区,2016,,,
540000,西藏自治区,2015,,,
540000,西藏自治区,2014,2744.44,1915.88,886.47
540000,西藏自治区,2013,,,
540000,西藏自治区,2012,1590.1346,1188.6372,533.9761
540000,西藏自治区,2011,1393.1674,874.391,454.7692
540000,西藏自治区,2010,1104.1,786.7,314.2
540000,西藏自治区,2009,825.3941,592.5625,246.7323
540000,西藏自治区,2008,743.7195,586.4919,277.4516
540000,西藏自治区,2007,622.3778,420.6252,215.5694
540000,西藏自治区,2006,473.5025,299.6482,130.4256
540000,西藏自治区,2005,365.1181,227.2445,89.324
540000,西藏自治区,2004,363.17,252.2,92.71
540000,西藏自治区,2003,,,
540000,西藏自治区,2002,,,
540000,西藏自治区,2001,,,
540000,西藏自治区,2000,,,
610000,陕西省,2019,,,
610000,陕西省,2018,,,
610000,陕西省,2017,,,
610000,陕西省,2016,,,
610000,陕西省,2015,,,
610000,陕西省,2014,49200.83,35350.14,16328.81
610000,陕西省,2013,,,
610000,陕西省,2012,36573.1401,28609.2155,14351.7945
610000,陕西省,2011,28640.5456,22689.1747,10862.2988
610000,陕西省,2010,23202.3,19786.7,9309.2
610000,陕西省,2009,17096.6966,13708.0534,7218.3278
610000,陕西省,2008,11623.0333,8844.5918,4206.5249
610000,陕西省,2007,8654.2497,6617.4444,3241.4784
610000,陕西省,2006,6528.0918,5094.3424,2359.7478
610000,陕西省,2005,5187.0546,4224.5646,2137.4768
610000,陕西省,2004,4271.06,3622.51,1787.21
610000,陕西省,2003,,,
610000,陕西省,2002,,,
610000,陕西省,2001,,,
610000,陕西省,2000,,,
620000,甘肃省,2019,,,
620000,甘肃省,2018,,,
620000,甘肃省,2017,,,
620000,甘肃省,2016,,,
620000,甘肃省,2015,,,
620000,甘肃省,2014,19531.57,12732.17,6231.7
620000,甘肃省,2013,,,
620000,甘肃省,2012,12723.1816,9195.9155,4544.5998
620000,甘肃省,2011,9603.3552,6499.9135,3183.9426
620000,甘肃省,2010,7986.2,5855.1,2911.5
620000,甘肃省,2009,6318.9528,4935.5392,2547.6666
620000,甘肃省,2008,5024.061,3870.3052,2146.3111
620000,甘肃省,2007,4043.2973,3817.9018,1785.8087
620000,甘肃省,2006,3582.3591,2499.9338,1145.2645
620000,甘肃省,2005,2707.5134,2119.8979,1018.0827
620000,甘肃省,2004,2366.63,1913.94,940.05
620000,甘肃省,2003,,,
620000,甘肃省,2002,,,
620000,甘肃省,2001,,,
620000,甘肃省,2000,,,
630000,青海省,2019,,,
630000,青海省,2018,,,
630000,青海省,2017,,,
630000,青海省,2016,,,
630000,青海省,2015,,,
630000,青海省,2014,9963.77,8079.28,3874.49
630000,青海省,2013,,,
630000,青海省,2012,7172.4013,5986.9614,3089.6485
630000,青海省,2011,5330.2317,4695.5309,2306.5
630000,青海省,2010,3922.3,3362.0,1690.3
630000,青海省,2009,3045.0888,2654.8829,1385.7975
630000,青海省,2008,2181.9053,1804.2875,964.5601
630000,青海省,2007,1556.9977,1329.0812,635.9214
630000,青海省,2006,1415.9265,1058.5796,547.4612
630000,青海省,2005,1158.3613,952.4448,511.5331
630000,青海省,2004,1014.42,809.34,437.19
630000,青海省,2003,,,
630000,青海省,2002,,,
630000,青海省,2001,,,
630000,青海省,2000,,,
640000,宁夏回族自治区,2019,,,
640000,宁夏回族自治区,2018,,,
640000,宁夏回族自治区,2017,,,
640000,宁夏回族自治区,2016,,,
640000,宁夏回族自治区,2015,,,
640000,宁夏回族自治区,2014,11660.72,9083.03,4202.64
640000,宁夏回族自治区,2013,,,
640000,宁夏回族自治区,2012,7908.7496,6628.601,3524.0412
640000,宁夏回族自治区,2011,6402.7629,4857.3935,2658.9015
640000,宁夏回族自治区,2010,4927.2,4322.3,2325.8
640000,宁夏回族自治区,2009,3297.949,2754.6062,1516.3182
640000,宁夏回族自治区,2008,2887.3102,2414.3362,1485.5321
640000,宁夏回族自治区,2007,2498.3957,2252.3069,1537.0916
640000,宁夏回族自治区,2006,2327.5791,2019.3467,1487.8915
640000,宁夏回族自治区,2005,1343.3908,1012.1014,618.0632
640000,宁夏回族自治区,2004,965.02,763.91,386.52
640000,宁夏回族自治区,2003,,,
640000,宁夏回族自治区,2002,,,
640000,宁夏回族自治区,2001,,,
640000,宁夏回族自治区,2000,,,
650000,新疆维吾尔自治区,2019,,,
650000,新疆维吾尔自治区,2018,,,
650000,新疆维吾尔自治区,2017,,,
650000,新疆维吾尔自治区,2016,,,
650000,新疆维吾尔自治区,2015,,,
650000,新疆维吾尔自治区,2014,32613.84,25079.3,13315.74
650000,新疆维吾尔自治区,2013,,,
650000,新疆维吾尔自治区,2012,22370.1526,18481.8912,11323.8576
650000,新疆维吾尔自治区,2011,15820.543,13012.3678,7915.7642
650000,新疆维吾尔自治区,2010,9474.6,7444.5,3549.3
650000,新疆维吾尔自治区,2009,7458.2505,5506.3861,2802.6495
650000,新疆维吾尔自治区,2008,5256.4308,3920.8852,1831.3394
650000,新疆维吾尔自治区,2007,4084.998,2855.7244,1384.153
650000,新疆维吾尔自治区,2006,3458.473,2184.8346,815.4234
650000,新疆维吾尔自治区,2005,3190.7139,2109.5511,1021.2793
650000,新疆维吾尔自治区,2004,2680.53,1855.42,961.16
650000,新疆维吾尔自治区,2003,,,
650000,新疆维吾尔自治区,2002,,,
650000,新疆维吾尔自治区,2001,,,
650000,新疆维吾尔自治区,2000,,,
