省份编码,省份,年份,固定资产投资(不含农户)房屋施工面积(万平方米),固定资产投资(不含农户)住宅施工面积(万平方米),固定资产投资(不含农户)房屋竣工面积(万平方米),固定资产投资(不含农户)住宅竣工面积(万平方米),固定资产投资(不含农户)竣工房屋价值(万元),固定资产投资(不含农户)竣工住宅价值(万元)
110000,北京市,2019,,,,,,
110000,北京市,2018,,,,,,
110000,北京市,2017,,,,,,
110000,北京市,2016,21777.8521,7165.4226,3025.3457,1324.5784,,
110000,北京市,2015,19099.129,7354.3315,3689.8377,1582.9309,,
110000,北京市,2014,20142.5635,8229.1675,4492.3699,2143.4411,12443303.0,5899074
110000,北京市,2013,20879.2196,9102.1098,3641.6753,1826.1796,11746841.0,4727865
110000,北京市,2012,18929.6433,8848.6443,3183.9889,1658.0011,10648421.0,4545756
110000,北京市,2011,17251.6575,8094.0932,3438.8043,1574.3718,10246985.0,4160066
110000,北京市,2010,13558.7,6649.8,2935.3,1566.4,7639000.0,3492000
110000,北京市,2009,12583.5822,6034.6402,3306.6086,1735.4224,8706874.0,3851022
110000,北京市,2008,13166.0531,6203.5391,3371.1076,1608.9009,9659955.0,3833093
110000,北京市,2007,13426.9764,6622.615,3496.0487,1996.1744,8485608.0,4357519
110000,北京市,2006,13259.1553,6971.7201,3821.5955,2335.0061,9245476.0,4810152
110000,北京市,2005,13280.9619,7937.4652,4344.7402,2987.4876,9569656.0,5971416
110000,北京市,2004,12363.56,7389.4,3741.13,2587.01,6936388.0,4431373
110000,北京市,2003,11262.16,7011.32,3222.84,2322.31,5818784.0,3809421
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,,,,,,
120000,天津市,2018,,,,,,
120000,天津市,2017,,,,,,
120000,天津市,2016,19318.6011,7247.6701,5287.8587,2245.595,,
120000,天津市,2015,21826.8337,7789.8181,5195.1587,2272.6245,,
120000,天津市,2014,22809.9973,8088.5741,5367.3958,2398.0881,12567183.0,6149897
120000,天津市,2013,21406.5458,8726.0392,4800.5553,2362.5956,12086074.0,6486616
120000,天津市,2012,18874.8495,8128.338,4479.4034,2385.1445,11644121.0,6388082
120000,天津市,2011,17356.9209,7668.5148,3378.11,1850.4277,9526656.0,5644564
120000,天津市,2010,12294.7,5525.5,2917.2,1702.8,8428000.0,5017000
120000,天津市,2009,10034.3313,4814.6711,2837.6635,1737.2052,7289525.0,4590334
120000,天津市,2008,8738.1308,4504.27,2444.4951,1546.6239,5166272.0,3435169
120000,天津市,2007,6834.7852,3785.4985,2217.3387,1418.8918,5306400.0,3680628
120000,天津市,2006,6132.7099,3459.1768,2098.0445,1333.0068,4555230.0,2984373
120000,天津市,2005,5210.4113,2896.9835,2022.8984,1305.2383,3168795.0,1770517
120000,天津市,2004,4157.52,2439.68,1524.41,1058.08,2452385.0,1572525
120000,天津市,2003,3345.4,2039.99,1256.99,776.61,1702030.0,986735
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,,,,,,
130000,河北省,2018,,,,,,
130000,河北省,2017,,,,,,
130000,河北省,2016,44758.1947,24508.4846,12469.4805,3745.1905,,
130000,河北省,2015,52677.2852,25692.3036,14883.6305,4304.7678,,
