省份编码,省份,年份,能源工业固定资产投资(不含农户)(亿元),煤炭开采及洗选业固定资产投资(不含农户)(亿元),石油及天然气开采业固定资产投资(不含农户)(亿元),石油及炼焦加工业固定资产投资(不含农户)(亿元),电力、热力及燃气的生产和供应业固定资产投资(不含农户)(亿元)
110000,北京市,2019,,,,,
110000,北京市,2018,,,,,
110000,北京市,2017,417.6647,,,3.5623,414.1024
110000,北京市,2016,222.6925,,,1.6886,221.0039
110000,北京市,2015,181.1211,0.1244,,1.0117,179.985
110000,北京市,2014,258.3327,1.2854,0.6106,4.1824,252.2543
110000,北京市,2013,230.0275,2.39,1.1075,11.3856,215.1444
110000,北京市,2012,192.2751,,,8.6572,183.6179
110000,北京市,2011,140.5936,2.7013,0.1409,6.7174,131.034
110000,北京市,2010,133.6,2.6,0.1,5.8,125.0
110000,北京市,2009,157.5002,1.9229,13.161,8.5725,133.8438
110000,北京市,2008,137.5599,0.7143,18.1562,4.4543,114.2351
110000,北京市,2007,171.9732,0.6565,4.6199,6.8486,149.208
110000,北京市,2006,103.6373,0.4321,0.0273,15.0807,77.207
110000,北京市,2005,116.8557,0.4268,0.0271,12.3662,92.9197
110000,北京市,2004,66.0309,0.32,0.0639,3.8845,42.4721
110000,北京市,2003,35.0754,0.1292,,1.377,22.1579
110000,北京市,2002,51.8232,0.1206,,2.4822,35.2019
110000,北京市,2001,42.0828,0.221,,3.3007,27.241
110000,北京市,2000,57.7931,0.2076,,6.6661,38.42
120000,天津市,2019,,,,,
120000,天津市,2018,,,,,
120000,天津市,2017,492.8054,0.7001,169.6145,17.2811,305.2097
120000,天津市,2016,422.1129,0.7375,101.1287,26.9991,293.2476
120000,天津市,2015,590.8477,,261.702,20.8124,308.3333
120000,天津市,2014,595.8164,,303.8182,40.9741,251.0241
120000,天津市,2013,590.6212,,286.5658,34.1835,269.8719
120000,天津市,2012,446.9768,,172.0248,26.4591,248.4929
120000,天津市,2011,430.7307,3.7443,219.7659,14.5381,192.6824
120000,天津市,2010,546.0,,306.4,51.0,188.6
120000,天津市,2009,756.2739,,393.1621,117.9846,245.1272
120000,天津市,2008,585.6808,,268.2457,129.9436,187.4915
120000,天津市,2007,375.2323,,179.0641,45.4722,144.7735
120000,天津市,2006,269.6527,0.205,182.1905,14.3491,70.2096
120000,天津市,2005,178.4199,0.0,123.411,8.306,40.4971
120000,天津市,2004,160.5499,0.36,22.8759,6.22,16.4301
120000,天津市,2003,125.7903,,88.1913,1.64,32.4895
120000,天津市,2002,96.0098,0.0083,58.3664,1.6851,33.3817
120000,天津市,2001,94.6526,0.0432,63.7441,2.1282,25.1723
120000,天津市,2000,99.7416,0.0843,60.1436,1.5221,34.0961
130000,河北省,2019,,,,,
130000,河北省,2018,,,,,
130000,河北省,2017,2170.2844,44.9801,19.0108,375.4411,1730.8524
130000,河北省,2016,2053.1132,51.3142,30.7078,278.7971,1692.2941
130000,河北省,2015,1642.5189,111.8508,33.6402,170.4046,1326.6233
130000,河北省,2014,1295.639,127.1253,40.6972,250.1334,877.6831
130000,河北省,2013,1202.1277,143.5389,39.6504,308.9861,709.9523
130000,河北省,2012,1051.4177,164.2036,26.8141,215.2022,645.1978
130000,河北省,2011,962.7654,135.0202,36.7939,137.0299,653.9214
130000,河北省,2010,882.5,114.1,33.5,155.3,579.5
