省份编码,省份,年份,固定资产投资(不含农户)建设总规模(亿元),固定资产投资(不含农户)在建总规模(亿元),固定资产投资(不含农户)在建净规模(亿元)
110000,北京市,2019,,,
110000,北京市,2018,,,
110000,北京市,2017,,,
110000,北京市,2016,,,
110000,北京市,2015,,,
110000,北京市,2014,36728.4179,31689.2866,10181.6698
110000,北京市,2013,,,
110000,北京市,2012,32426.5577,29414.4166,10751.2456
110000,北京市,2011,29090.9086,26433.3272,10700.1726
110000,北京市,2010,26568.6,22997.4,9490.2
110000,北京市,2009,25971.9406,22873.8169,11255.335
110000,北京市,2008,20277.4786,17192.4539,7212.4824
110000,北京市,2007,18127.9954,15946.8679,7154.6713
110000,北京市,2006,14630.4884,12740.4893,5880.7091
110000,北京市,2005,11394.5396,9904.1562,4772.0458
110000,北京市,2004,10294.17,8935.31,4353.79
110000,北京市,2003,,,
110000,北京市,2002,,,
110000,北京市,2001,,,
110000,北京市,2000,,,
120000,天津市,2019,,,
120000,天津市,2018,,,
120000,天津市,2017,,,
120000,天津市,2016,,,
120000,天津市,2015,,,
120000,天津市,2014,32834.518,25601.947,9718.4225
120000,天津市,2013,,,
120000,天津市,2012,29597.9979,24945.2034,10732.8267
120000,天津市,2011,24985.2297,21278.3185,10040.5932
120000,天津市,2010,20080.3,16466.0,7957.7
120000,天津市,2009,15247.6463,12300.7353,5727.5247
120000,天津市,2008,11475.0202,9944.0741,4959.6492
120000,天津市,2007,8152.7026,6974.0351,3633.0173
120000,天津市,2006,6339.5768,4968.2726,2505.9838
120000,天津市,2005,6249.755,5575.3406,3489.8894
120000,天津市,2004,3402.16,2658.12,1289.04
120000,天津市,2003,,,
120000,天津市,2002,,,
120000,天津市,2001,,,
120000,天津市,2000,,,
130000,河北省,2019,,,
130000,河北省,2018,,,
130000,河北省,2017,,,
130000,河北省,2016,,,
130000,河北省,2015,,,
130000,河北省,2014,72809.5162,49771.8339,24835.0538
130000,河北省,2013,,,
130000,河北省,2012,56926.6584,42515.7418,21968.5307
130000,河北省,2011,46284.2864,35616.1204,18546.2735
130000,河北省,2010,34971.7,26456.6,13295.5
130000,河北省,2009,25567.3883,18844.7355,9543.1726
130000,河北省,2008,16283.9032,11749.0621,5150.8463
130000,河北省,2007,13490.2832,10661.2066,5082.1647
130000,河北省,2006,9948.8644,7940.4995,3869.743
130000,河北省,2005,7232.1444,5665.3905,2788.8497
130000,河北省,2004,5880.87,4896.51,2524.0
130000,河北省,2003,,,
130000,河北省,2002,,,
130000,河北省,2001,,,
130000,河北省,2000,,,
140000,山西省,2019,,,
140000,山西省,2018,,,
140000,山西省,2017,,,
140000,山西省,2016,,,
140000,山西省,2015,,,
140000,山西省,2014,37578.6078,25930.6086,11082.9593
140000,山西省,2013,,,
140000,山西省,2012,26175.4967,19778.9166,9406.9193
140000,山西省,2011,20634.6412,15947.5131,7552.123
140000,山西省,2010,17044.0,13450.5,6662.6
140000,山西省,2009,13239.4658,10613.3069,5508.735
140000,山西省,2008,9036.8475,7011.7908,3329.7975
140000,山西省,2007,7996.3959,6264.8843,3177.9342
140000,山西省,2006,6067.3979,5012.667,2308.5599
140000,山西省,2005,4826.4436,4030.0622,2031.7299
140000,山西省,2004,3862.53,3470.31,1751.92
140000,山西省,2003,,,
140000,山西省,2002,,,
140000,山西省,2001,,,
