年份,县级区划数,开展新型农村合作医疗县(区、市)数,参加新型农村合作医疗人数,新型农村合作医疗参合率,新型农村合作医疗人均筹资,新型农村合作医疗当年基金支出,新型农村合作医疗本年度筹资总额,新型农村合作医疗补偿受益人次
2019,2846,,,,,,,
2018,2851,,,,,,,
2017,2851,,,,,,,
2016,2851,,,,,,,
2015,2850,,,,,,,
2014,2854,,7.3627332,98.9,410.891502438,2890.4,3025.2845065982,16.52206115
2013,2853,2489.0,8.0209,99.0,370.59,2908.0,2972.48,19.421878
2012,2852,2566.0,8.05,98.26,308.5,2408.0,2484.7,17.45
2011,2853,2637.0,8.32,97.48,246.21,1710.19,2047.56,13.15
2010,2856,2678.0,8.36,96.0,156.6,1187.8,1308.33464,10.87
2009,2858,2716.0,8.33,94.2,113.4,922.9,,7.59
2008,2859,2729.0,8.15,91.5,96.3,662.3,784.5836527993,5.85
2007,2859,2451.0,7.26,86.2,58.9490358126722,346.63,,4.53
2006,2860,1451.0,4.1,80.66,52.0951219512195,155.8,,2.72
2005,2862,678.0,1.79,75.66,42.0949720670391,61.75,,1.22
2004,2862,333.0,0.8,75.2,50.3625,26.37,,0.76
2003,2861,,,,,,,
2002,2860,,,,,,,
2001,2861,,,,,,,
2000,2861,,,,,,,
