年份,乡镇卫生院诊疗人次,乡镇卫生院入院人数,乡镇卫生院病床使用率,乡镇卫生院出院者平均住院日
2019,11.74536483,3909.3858,57.51,6.48
2018,11.15957673,3985.0865,59.6,6.4
2017,11.10755527,4047.1701,61.31,6.31
2016,10.8233,3799.9415,60.6,6.4
2015,10.54643,3676.0562,59.9,6.4
2014,10.28659132,3732.6053,60.4960206459,6.2671714911
2013,10.07127372,3937.1515,62.833169106,5.9213364129
2012,9.67577839,3907.5111,62.0733701682,5.6774524306
2011,8.6649846,3448.7819,58.1221390051,5.5832211584
2010,8.74,3630.3802,59.04,5.2
2009,8.76608232,3807.7222,60.7036175121,4.7909529528
2008,8.26800671,3312.7226,55.8174670378,4.4355387637
2007,7.58558682,2662.1542,48.4043234205,4.817871131
2006,7.01,1836.0548,39.35,4.62
2005,6.79,1621.9215,37.7,4.63
2004,6.81,1599.0,37.14,4.43
2003,6.91,1608.0,36.24,4.21
2002,7.1,1625.0,34.72,3.99
2001,8.24,1700.0,31.3,4.5
2000,8.24,1708.3335,33.2,4.6
