年份,卫生总费用,政府卫生支出,社会卫生支出,个人现金卫生支出,人均卫生费用,城市人均卫生费用,农村人均卫生费用
2019,65841.39,18016.95,29150.57,18673.87,4702.78847184029,,
2018,59121.91,16399.13,25810.78,16911.99,4236.98,,
2017,52598.2767489782,15205.8744537348,22258.8056770033,15133.59661824,3783.8309125358,,
2016,46344.884073896,13910.3109672869,19096.675904609,13337.897202,3351.7428870765,,
2015,40974.6391008671,12475.2823424089,16506.7082629439,11992.6484955143,2980.7975368369,,
2014,35312.3965689882,10579.2336015907,13437.7549162345,11295.408051163,2581.6552301464,3558.3104491006,1412.2133560979
2013,31668.9471012618,9545.8146010593,11393.7890160964,10729.343484106,2327.3669161372,3234.12,1274.44
2012,28118.9952895365,8431.9774516667,10030.7,9656.32,2076.6739010322,2999.28,1064.83
2011,24345.91,7464.182046,8416.45,8465.28,1806.95,2697.48,879.44
2010,19980.3934226845,5732.4878,7196.61,7051.29,1490.06,2315.48,666.3
2009,17541.92,4816.2599103333,6154.49,6571.16,1314.26,2176.63,561.99
2008,14535.4,3593.941014,5065.6,5875.86,1094.5166427567,1861.76,455.19
2007,11573.97,2581.584485,3893.72,5098.66,875.9596409058,1516.29,358.11
2006,9843.3406795327,1778.856042,3210.92,4853.56,748.839136353,1248.3,361.89
2005,8659.91,1552.53,2586.4,4520.98,662.3,1126.36,315.83
2004,7590.29,1293.57995,2225.35,4071.35,583.92,1261.93,301.61
2003,6584.1,1116.94,1788.5,3678.67,509.4987889528,1108.91,274.67
2002,5790.03,908.51,1539.38,3342.14,450.7508582906,987.07,259.33
2001,5025.93,800.6128,1211.43,3013.88,393.7983342083,841.2,244.77
2000,4586.63,709.5187,1171.94,2705.17,361.88,812.9535383671,214.9277102299
