年份,医疗卫生机构数,医院数,综合医院数,中医医院数,专科医院数,基层医疗卫生机构,社区卫生服务中心(站)数,街道卫生院数,乡镇卫生院数,村卫生室数,门诊部(所)数,专业公共卫生机构数,疾病预防控制中心数,专科疾病防治院(所/站)数,妇幼保健院(所/站)数,卫生监督所(中心)数
2019,1007579,34354,19963,4221,8531,954390,35013,,36112,616094,266659,15958,3403,1128,3071,2869
2018,997433,33009,19693,3977,7900,943639,34997,,36461,622001,249654,18033,3443,1161,3080,2949
2017,986649,31056,18921,3695,7220,933024,34652,,36551,632057,229221,19896,3456,1200,3077,2992
2016,983394,29140,18020,3462,6642,926518,34327,,36795,638763,216187,24866,3481,1213,3063,2986
2015,983528,27587,17430,3267,6023,920770,34321,524.0,36817,640536,208572,31927,3478,1234,3078,2986
2014,981432,25860,16524,3115,5478,917335,34238,595.0,36902,645470,200130,35029,3490,1242,3098,2975
2013,974398,24709,15887,3015,5127,915368,33965,593.0,37015,648619,195176,31155,3516,1271,3144,2967
2012,950297,23170,15021,2889,4665,912620,33562,610.0,37097,653419,187932,12083,3490,1289,3044,3088
2011,954389,21979,14328,2831,4283,918003,32860,667.0,37295,662894,184287,11926,3484,1294,3036,3022
2010,936927,20918,13681,2778,3956,901709,32739,929.0,37836,648424,181781,11835,3513,1274,3025,2992
2009,916571,20291,13364,2728,3716,882153,27308,1152.0,38475,632770,182448,11665,3536,1291,3020,2809
2008,891480,19712,13119,2688,3437,858015,24260,780.0,39080,613143,180752,11485,3534,1310,3011,2675
2007,912263,19852,13372,2720,3282,878686,27069,803.0,39876,613855,197083,11528,3585,1365,3051,2553
2006,918097,19246,13120,2665,3022,884818,22656,816.0,39975,609128,212243,11269,3548,1402,3003,2097
2005,882206,18703,12982,2620,2682,849488,17128,787.0,40907,583209,207457,11177,3585,1502,3021,1702
2004,849140,18393,12900,2611,2492,817018,14153,845.0,41626,551600,208794,10878,3588,1583,2998,1284
2003,806243,17764,12599,2518,2271,774693,10101,925.0,44279,514920,204468,10792,3584,1749,3033,838
2002,1005004,17844,12716,2492,2237,973098,8211,1022.0,44992,698966,219907,10787,3580,1839,3067,571
2001,1029314,16197,11834,2478,1576,995670,,553.0,48090,698966,248061,11471,3813,1783,3132,
2000,1034229,16318,11872,2453,1543,1000169,,548.0,49229,709458,240934,11386,3741,1839,3163,
