年份,医院病床周转次数,医院病床工作日,医院病床使用率,医院平均住院日,政府办医院病床周转次数,政府办医院病床工作日,政府办医院病床使用率,政府办医院平均住院日
2019,,305,83.6,9.1,,,,
2018,,307.4,84.2,9.3,,,,
2017,,310.1,84.97,9.27,,,,
2016,,311.321458557,85.2935502896,9.407321207,,,,
2015,,311.6,85.4,9.6,,329.9,90.4,9.8
2014,,321.3816643618,88.049771058,9.6468773212,,338.7122535246,92.797877678,9.8261285295
2013,,324.816346333439,88.9907798173806,9.84150826642084,,341.185352926009,93.4754391578107,10.0407218836589
2012,,329.703835011469,90.0830150304561,10.0072176820792,,344.947627699065,94.2479857101271,10.2201004997944
2011,30.1777856302358,322.934704408566,88.4752614817989,10.3046999487404,32.4529953851212,345.185118407219,94.5712653170463,10.3351624091864
2010,28.9919602371789,316.453717601091,86.699648657833,10.4875531757181,31.3001129549992,338.635878902261,92.7769531239072,10.5095136829027
2009,,,,,,,,
2008,,,,,,,,
2007,,,,,,,,
2006,,,,,,,,
2005,,,,,,,,
2004,,,,,,,,
2003,,,,,,,,
2002,,,,,,,,
2001,,,,,,,,
2000,,,,,,,,
