年份,卫生机构床位数,医院床位数,综合医院床位数,中医医院床位数,专科医院床位数,基层医疗卫生机构床位数,社区卫生服务中心(站)床位数,乡镇卫生院床位数,专业公共卫生机构床位数,妇幼保健院(所、站)床位数,专科疾病防治院(所、站)床位数
2019,880.6956,686.6546,,,,163.1132,23.7445,136.9914,28.5018,24.3232,4.1077
2018,840.4088,651.9749,,,,158.3577,23.1274,133.3909,27.4394,23.2848,4.0845
2017,794.0252,612.0484,,,,152.8528,21.8358,129.2076,26.257,22.1136,4.0833
2016,741.0453,568.8875,,,,144.194,20.2689,122.3891,24.7228,20.6538,4.0048
2015,701.5214,533.06,,,,141.3842,20.0979,119.6122,23.6342,19.5352,4.0349
2014,660.1214,496.1161,,,,138.1197,19.5913,116.7245,22.3033,18.4815,3.7618
2013,618.1891,457.86,,,,134.9908,19.4241,113.65,21.487,17.55,3.8507
2012,572.4775,416.15,,,,132.427,20.321,109.9262,19.8198,16.156,3.5715
2011,515.9889,370.51,267.0729,47.7078,49.6475,123.3721,18.7132,102.6251,17.8132,14.5866,3.1431
2010,478.6831,338.74,244.95,42.42,45.95,119.2242,16.8814,99.43,16.4515,13.44,2.9307
2009,441.6612,312.08,227.1102,38.5612,41.6707,109.9791,13.1259,93.3424,15.3964,12.6109,2.7081
2008,403.8707,288.29,211.2792,35.0257,37.7694,97.1,9.8036,84.6856,14.66,11.7261,2.6351
2007,370.1076,267.51,197.1551,32.1597,34.3743,85.03,7.6588,74.7156,13.29,10.6189,2.5939
2006,351.18,256.04,190.2894,30.3155,32.0503,76.19,4.1194,69.6231,13.5,9.9291,2.8013
2005,336.75,244.5,183.47,28.77,29.21,72.58,2.5018,67.82,13.58,9.41,3.34
2004,326.8,236.3,177.6804,27.5467,28.2601,71.44,1.8137,66.8863,12.73,8.696,3.1189
2003,316.4,227.0,171.3438,26.0213,26.7181,71.05,1.2105,67.2741,12.61,8.0924,3.3802
2002,313.6,222.2,168.38,24.67,26.21,71.05,1.2031,67.13,12.37,7.98,3.18
2001,320.1,215.6,150.5,24.6,25.65,77.14,,74.0,12.02,7.4,2.7
2000,317.7,216.67,164.09,25.93,25.08,76.65,,73.48,11.86,7.12,2.84
