年份,村卫生室个数,村办的村卫生室个数,乡卫生院设点的村卫生室个数,联合办的村卫生室个数,私人办的村卫生室个数,其他办的村卫生室个数,设卫生室的村数占行政村数%
2019,616094,339525,69091,27626,134575,45277,94.8
2018,622001,342062,65495,28353,141623,44468,94.0
2017,632057,349025,63598,28687,147046,43701,92.7533642968
2016,638763,351016,60419,29336,152164,45828,92.8633451372
2015,640536,353196,60231,29208,153353,44548,93.3
2014,645470,349428,59396,29180,160549,46917,93.3
2013,648619,371579,59896,32690,158811,25643,92.9986919944
2012,653419,370099,58317,32278,167025,25700,93.3
2011,662894,372661,56128,33639,175747,24719,93.4
2010,648424,365153,49678,32650,177080,23863,92.3
2009,632770,350515,45434,31035,183699,22087,90.3788345376
2008,613143,342692,40248,31698,180157,18348,89.4
2007,613855,340082,33633,33649,186841,19650,88.7
2006,609128,333790,34803,36805,186524,17206,88.1
2005,583209,313633,32396,38561,180403,18216,85.8051214553
2004,551600,298418,26964,40231,166533,19454,80.7
2003,514920,276590,26343,35998,157733,18256,74.1
2002,698966,,,,,,
2001,698966,289000,45000,93000,255000,17000,89.7
2000,709458,300864,47101,89828,255179,16486,89.8
