年份,入院人数,医疗卫生机构出院人数,医疗卫生机构住院病人手术人次,医疗卫生机构危重病人抢救人次,医疗卫生机构危重病人抢救成功率,医疗卫生机构每百门急诊入院人数
2019,26596.1246,26502.66,6930.44,,,4.41
2018,25454.3312,25384.6595,6171.578,,,4.5
2017,24435.8844,24315.7099,5595.7052,,,4.46
2016,22727.5798,22603.6388,5082.1967,,,4.3500816653
2015,21053.8,20955.0,4555.7,,,4.2
2014,20441.1818,20365.7291,4382.9194,,,4.2440240432
2013,19215.4557,19119.931,3982.7592,,,4.25077917423133
2012,17857.0984,17840.3343,3690.2542,,,4.22528526449498
2011,15297.6533,15264.8247,3272.8749,699.9242,91.3875531093224,3.97938659329875
2010,14173.5485,14137.9899,2904.338,657.4068,91.9521367895799,3.97811101966522
2009,13256.2637,,,,,
2008,11482.8056,,,,,
2007,,,,,,
2006,,,,,,
2005,,,,,,
2004,,,,,,
2003,,,,,,
2002,,,,,,
2001,,,,,,
2000,,,,,,
