年份,新生儿死亡率,城市新生儿死亡率,农村新生儿死亡率,婴儿死亡率,城市婴儿死亡率,农村婴儿死亡率,5岁以下儿童死亡率,城市5岁以下儿童死亡率,农村5岁以下儿童死亡率,孕产妇死亡率,城市孕产妇死亡率,农村孕产妇死亡率
2019,3.5,2,4.1,5.6,3.4,6.6,7.8,4.1,9.4,17.8,16.5,18.6
2018,3.9,2.2,4.7,6.1,3.6,7.3,8.4,4.4,10.2,18.3,15.5,19.9
2017,4.483922504,2.6495221841,5.3028784659,6.7714918682,4.1473714052,7.9430131957,9.0541390452,4.8357334674,10.93741848,19.6,16.6,21.1
2016,4.9,2.9,5.7,7.5,4.2,9.0,10.2,5.2,12.4,19.9,19.5,20.0
2015,5.4,3.3,6.4,8.1,4.7,9.6,10.7,5.8,12.9,20.1,19.8,20.2
2014,5.9,3.5,6.9,8.9,4.8,10.7,11.7,5.9,14.2,21.7,20.5,22.2
2013,6.3,3.7,7.3,9.5,5.2,11.3,12.0,6.0,14.5,23.2,22.4,23.6
2012,6.9,3.9,8.1,10.3,5.2,12.4,13.2,5.9,16.2,24.5,22.2,25.6
2011,7.8,4,9.4,12.1,5.8,14.7,15.6,7.1,19.1,26.1,25.2,26.5
2010,8.3,4.1,10.0,13.1,5.8,16.1,16.4,7.3,20.1,30.0,29.7,30.1
2009,9.0,4.5,10.8,13.8,6.2,17.0,17.2,7.6,21.1,31.9,26.6,34.0
2008,10.2,5,12.3,14.9,6.5,18.4,18.5,7.9,22.7,34.2,29.2,36.1
2007,10.7,5.5,12.8,15.3,7.7,18.6,18.1,9.0,21.8,36.6,25.2,41.3
2006,12.0,6.8,13.4,17.2,8.0,19.7,20.6,9.6,23.6,41.1,24.8,45.5
2005,13.2,7.5,14.7,19.0,9.1,21.6,22.5,10.7,25.7,47.7,25.0,53.8
2004,15.4,8.4,17.3,21.5,10.1,24.5,25.0,12.0,28.5,48.3,26.1,63.0
2003,18.0,8.9,20.1,25.5,11.3,28.7,29.9,14.8,33.4,51.3,27.6,65.4
2002,20.7,9.7,23.2,29.2,12.2,33.1,34.9,14.6,39.6,43.2,22.3,58.2
2001,21.4,10.6,23.9,30.0,13.6,33.8,35.9,16.3,40.4,50.2,33.1,61.9
2000,22.8,9.5,25.8,32.2,11.8,37.0,39.7,13.8,45.7,53.0,29.3,69.6
