年份,实现工艺创新的内资企业占规模以上工业企业的比重,实现工艺创新的国有企业占规模以上工业企业的比重,实现工艺创新的集体企业占规模以上工业企业的比重,实现工艺创新的股份合作企业占规模以上工业企业的比重,实现工艺创新的联营企业占规模以上工业企业的比重,实现工艺创新的有限责任公司企业占规模以上工业企业的比重,实现工艺创新的国有独资公司企业占规模以上工业企业的比重,实现工艺创新的股份有限公司企业占规模以上工业企业的比重,实现工艺创新的私营企业占规模以上工业企业的比重,实现工艺创新的其他内资企业占规模以上工业企业的比重,实现工艺创新的港、澳、台商投资企业占规模以上工业企业的比重,实现工艺创新的外商投资企业占规模以上工业企业的比重
2019,33.945,20.271,11.96,33.333,17.241,34.603,32.359,56.008,32.88,11.765,38.315,35.819
2018,29.849,18.398,10.819,25.417,16.176,31.485,33.465,52.507,28.323,11.94,35.742,34.033
2017,,,,,,,,,,,,
2016,,,,,,,,,,,,
2015,,,,,,,,,,,,
2014,,,,,,,,,,,,
2013,,,,,,,,,,,,
2012,,,,,,,,,,,,
2011,,,,,,,,,,,,
2010,,,,,,,,,,,,
2009,,,,,,,,,,,,
2008,,,,,,,,,,,,
2007,,,,,,,,,,,,
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
