年份,实现工艺创新的企业所占比重,实现工艺创新的采矿业企业占规模以上工业企业的比重,实现工艺创新的煤炭开采和洗选业企业占规模以上工业企业的比重,实现工艺创新的石油和天然气开采业企业占规模以上工业企业的比重,实现工艺创新的黑色金属矿采选业企业占规模以上工业企业的比重,实现工艺创新的有色金属矿采选业企业占规模以上工业企业的比重,实现工艺创新的非金属矿采选业企业占规模以上工业企业的比重,实现工艺创新的开采专业及辅助性活动企业占规模以上工业企业的比重,实现工艺创新的其他采矿业企业占规模以上工业企业的比重,实现工艺创新的制造业企业占规模以上工业企业的比重,实现工艺创新的农副食品加工业企业占规模以上工业企业的比重,实现工艺创新的食品制造业企业占规模以上工业企业的比重,实现工艺创新的酒、饮料和精制茶制造业企业占规模以上工业企业的比重,实现工艺创新的烟草制品业企业占规模以上工业企业的比重,实现工艺创新的纺织业企业占规模以上工业企业的比重,实现工艺创新的纺织服装、服饰业企业占规模以上工业企业的比重,实现工艺创新的皮革、毛皮、羽毛及其制品和制鞋业企业占规模以上工业企业的比重,实现工艺创新的木材加工和木、竹、藤、棕、草制品业企业占规模以上工业企业的比重,实现工艺创新的家具制造业企业占规模以上工业企业的比重,实现工艺创新的造纸和纸制品业企业占规模以上工业企业的比重,实现工艺创新的印刷和记录媒介复制业企业占规模以上工业企业的比重,实现工艺创新的文教、工美、体育和娱乐用品制造业企业占规模以上工业企业的比重,实现工艺创新的石油加工、炼焦和核燃料加工业企业占规模以上工业企业的比重,实现工艺创新的化学原料和化学制品制造业企业占规模以上工业企业的比重,实现工艺创新的医药制造业企业占规模以上工业企业的比重,实现工艺创新的化学纤维制造业企业占规模以上工业企业的比重,实现工艺创新的橡胶和塑料制品业企业占规模以上工业企业的比重,实现工艺创新的非金属矿物制品业企业占规模以上工业企业的比重,实现工艺创新的黑色金属冶炼和压延加工业企业占规模以上工业企业的比重,实现工艺创新的有色金属冶炼和压延加工业企业占规模以上工业企业的比重,实现工艺创新的金属制品业企业占规模以上工业企业的比重,实现工艺创新的通用设备制造业企业占规模以上工业企业的比重,实现工艺创新的专用设备制造业企业占规模以上工业企业的比重,实现工艺创新的汽车制造业企业占规模以上工业企业的比重,实现工艺创新的铁路、船舶、航空航天和其他运输设备制造业企业占规模以上工业企业的比重,实现工艺创新的电气机械和器材制造业企业占规模以上工业企业的比重,实现工艺创新的计算机、通信和其他电子设备制造业企业占规模以上工业企业的比重,实现工艺创新的仪器仪表制造业企业占规模以上工业企业的比重,实现工艺创新的其他制造业企业占规模以上工业企业的比重,实现工艺创新的废弃资源综合利用业企业占规模以上工业企业的比重,实现工艺创新的金属制品、机械和设备修理业企业占规模以上工业企业的比重,实现工艺创新的电力、热力、燃气及水生产和供应业企业占规模以上工业企业的比重,实现工艺创新的电力、热力生产和供应业企业占规模以上工业企业的比重,实现工艺创新的燃气生产和供应业企业占规模以上工业企业的比重,实现工艺创新的水的生产和供应业企业占规模以上工业企业的比重
2019,34.293,11.886,10.301,33.613,11.35,17.857,10.652,17.188,10,35.765,23.007,32.827,27.937,49.533,27.584,18.604,23.034,18.089,29.79,28.17,31.352,30.891,27.564,39.058,52.564,39.851,34.547,22.758,26.56,35.461,34.415,46.498,49.608,45.778,44.388,49.814,55.464,56.673,35.931,23.178,30.736,13.013,12.85,11.317,15.242
2018,30.44,10.687,9.212,27.434,9.89,15.593,9.697,21.782,8.333,31.605,20.065,28.523,24.532,50.926,23.644,16.835,19.379,17.433,23.322,24.497,26.782,26.886,25.406,35.676,47.809,36.672,30.071,20.036,24.698,31.873,30.124,40.664,44.126,42.236,39.395,44.96,51.561,51.579,29.52,19.028,27.202,13.004,13.029,9.995,15.733
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
