年份,国内游客,城镇居民国内游客,农村居民国内游客,国内旅游总花费,城镇居民国内旅游总花费,农村居民国内旅游总花费,国内旅游人均花费,城镇居民国内旅游人均花费,农村居民国内旅游人均花费
2019,6006,4471,1535,57250.92,47508.99,9741.93,953.25,1062.64,634.66
2018,5539,4119,1420,51278.29,42589.99,8688.3,925.77,1033.99,611.85
2017,5001,3677,1324,45660.77,37673.0,7987.7,913.0,1024.6,603.3
2016,4435,3195,1240,39389.8,32241.9,7147.9,888.2,1009.1,576.4
2015,3990,2802,1188,34195.05,27610.9,6584.2,857.0,985.5,554.2
2014,3611,2483,1128,30311.86,24219.76,6092.11,839.7,975.4,540.2
2013,3262,2186,1076,26276.1,20692.6,5583.5,805.5,946.6,518.9
2012,2957,1933,1024,22706.2,17678.0,5028.2,767.9,914.5,491.0
2011,2641,1687,954,19305.39,14808.61,4496.78,731.0,877.8,471.4
2010,2103,1065,1038,12579.77,9403.81,3175.96,598.2,883.0,306.0
2009,1902,903,999,10183.7,7233.8,2949.9,535.4,801.1,295.3
2008,1712,703,1009,8749.29591841918,5971.74591841918,2777.55,511.031251095943,849.361752374642,275.28
2007,1610,612,998,7770.6,5550.4,2220.2,482.6,906.9,222.5
2006,1394,576,818,6229.7,4414.7,1815.0,446.9,766.4,221.9
2005,1212,496,716,5285.86,3656.13,1629.73,436.1,737.1,227.6
2004,1102,459,643,4710.71,3359.04,1351.67,427.5,731.8,210.2
2003,870,351,519,3442.27,2404.08,1038.19,395.7,684.9,200.0
2002,878,385,493,3878.36,2848.09,1030.27,441.8,739.7,209.1
2001,784,375,409,3522.37,2651.68,870.69,449.5,708.3,212.7
2000,744,329,415,3175.54,2235.26,940.28,426.6,678.6,226.6
