年份,城镇居民人均总收入,城镇居民最低收入户(10%)人均总收入,城镇居民困难户(5%)人均总收入,城镇居民较低收入户(10%)人均总收入,城镇居民中等偏下户(20%)人均总收入,城镇居民中等收入户(20%)人均总收入,城镇居民中等偏上户(20%)人均总收入,城镇居民较高收入户(10%)人均总收入,城镇居民最高收入户(10%)人均总收入
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,,,,,,,,,
2015,,,,,,,,,
2014,,,,,,,,,
2013,,,,,,,,,
2012,26958.99,9209.49,7520.86,13724.72,18374.8,24531.41,32758.8,43471.04,69877.34
2011,23979.2,7819.44,6445.45,11751.28,15880.67,21439.7,29058.92,39215.49,64460.67
2010,21033.42,6703.7,5483.09,10247.04,13970.99,18920.72,25497.81,34254.64,56435.17
2009,18858.09,5950.68,4935.81,8956.81,12345.17,16858.36,23050.76,31171.69,51349.57
2008,17067.78,5203.83,4187.2,7916.53,10974.63,15054.73,20784.19,28518.85,47422.4
2007,14908.61,4604.09,3744.87,6992.55,9568.02,12978.61,17684.55,24106.62,40019.22
2006,12719.19,3871.37,3129.34,5946.1,8103.73,11052.05,15199.7,20699.63,34834.39
2005,11320.77,3377.68,2733.3,5202.12,7177.05,9886.96,13596.66,18687.74,31237.52
2004,10128.51,3084.83,2531.46,4697.62,6423.89,8746.65,11870.79,16156.02,27506.23
2003,9061.22,2762.43,2278.29,4209.16,5705.67,7753.86,10463.66,14076.07,23483.95
2002,8177.4,2527.68,2063.95,3833.01,5209.18,7061.37,9437.99,12555.07,20208.43
2001,,,,,,,,,
2000,,,,,,,,,
