年份,城镇居民人均可支配收入,城镇居民最低收入户(10%)人均可支配收入,城镇居民困难户(5%)人均可支配收入,城镇居民较低收入户(10%)人均可支配收入,城镇居民中等偏下户(20%)人均可支配收入,城镇居民中等收入户(20%)人均可支配收入,城镇居民中等偏上户(20%)人均可支配收入,城镇居民较高收入户(10%)人均可支配收入,城镇居民最高收入户(10%)人均可支配收入
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,,,,,,,,,
2015,,,,,,,,,
2014,,,,,,,,,
2013,,,,,,,,,
2012,24564.72,8215.09,6520.03,12488.62,16761.43,22419.1,29813.74,39605.22,63824.15
2011,21809.78,6876.09,5398.17,10672.02,14498.26,19544.94,26419.99,35579.24,58841.87
2010,19109.44,5948.11,4739.15,9285.25,12702.08,17224.01,23188.9,31044.04,51431.57
2009,17174.65,5253.23,4197.58,8162.07,11243.55,15399.92,21017.95,28386.47,46826.05
2008,15780.76,4753.59,3734.35,7363.28,10195.56,13984.23,19254.08,26250.1,43613.75
2007,13785.8,4210.06,3357.91,6504.6,8900.51,12042.32,16385.8,22233.56,36784.51
2006,11759.5,3568.73,2838.87,5540.71,7554.16,10269.7,14049.17,19068.95,31967.34
2005,10493.0,3134.88,2495.75,4885.32,6710.58,9190.05,12603.37,17202.93,28773.11
2004,9421.6,2862.39,2312.5,4429.05,6024.1,8166.54,11050.89,14970.91,25377.17
2003,8472.2,2590.17,2098.92,3970.03,5377.25,7278.75,9763.37,13123.08,21837.32
2002,7702.8,2408.6,1957.46,3649.16,4931.96,6656.81,8869.51,11772.82,18995.85
2001,,,,,,,,,
2000,,,,,,,,,
