年份,城镇居民家庭人均现金消费支出,城镇居民最低收入户(10%)人均现金消费支出,城镇困难户(5%)居民家庭人均现金消费支出,城镇居民较低收入户(10%)人均现金消费支出,城镇居民中等偏下收入户(20%)人均现金消费支出,城镇居民中等收入户(20%)人均现金消费支出,城镇居民中等偏上收入户(20%)人均现金消费支出,城镇居民较高收入户(10%)人均现金消费支出,城镇居民最高收入户(10%)人均现金消费支出
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,,,,,,,,,
2015,,,,,,,,,
2014,,,,,,,,,
2013,,,,,,,,,
2012,16674.32,7301.37,6366.78,9610.41,12280.83,15719.94,19830.17,25796.93,37661.68
2011,15160.89,6431.85,5575.56,8509.32,10872.83,14028.17,18160.91,23906.21,35183.64
2010,13471.45,5471.84,4715.33,7360.17,9649.21,12609.43,16140.36,21000.42,31761.63
2009,12264.55,4900.56,4256.81,6743.09,8738.79,11309.73,14964.37,19263.88,29004.41
2008,11242.85,4532.88,3862.72,6195.32,7993.67,10344.7,13316.63,17888.18,26982.13
2007,9997.47,4036.32,3447.68,5634.15,7123.69,9097.35,11570.39,15297.73,23337.33
2006,8696.55,3422.98,2953.27,4765.55,6108.33,7905.41,10218.25,13169.82,21061.68
2005,7942.88,3111.47,2656.41,4295.35,5574.32,7308.06,9410.77,12102.51,19153.73
2004,7182.1,2855.15,2441.12,3942.23,5096.15,6498.36,8345.7,10749.35,16841.82
2003,6510.94,2562.36,2237.27,3549.28,4557.82,5848.02,7547.31,9627.58,14515.68
2002,6029.88,3453.59,2079.52,3259.59,4205.99,5452.94,6939.95,8919.94,13040.65
2001,,,,,,,,,
2000,,,,,,,,,
