年份,有产品或工艺创新活动的规模以上制造业内资企业数,有产品或工艺创新活动的规模以上制造业国有企业数,有产品或工艺创新活动的规模以上制造业集体企业数,有产品或工艺创新活动的规模以上制造业股份合作企业数,有产品或工艺创新活动的规模以上制造业联营企业数,有产品或工艺创新活动的规模以上制造业有限责任公司数,有产品或工艺创新活动的规模以上制造业国有独资公司数,有产品或工艺创新活动的规模以上制造业股份有限公司数,有产品或工艺创新活动的规模以上制造业私营企业数,有产品或工艺创新活动的规模以上制造业其他企业数,有产品或工艺创新活动的规模以上制造业港、澳、台商投资企业数,有产品或工艺创新活动的规模以上制造业外商投资企业数
2019,,,,,,,,,,,,
2018,,,,,,,,,,,,
2017,125012.0,435.0,263.0,288.0,17.0,35633.0,1168.0,7855.0,80383.0,138.0,10794.0,11655.0
2016,118807.0,527.0,345.0,342.0,18.0,33886.0,1128.0,7347.0,76172.0,170.0,10325.0,11942.0
2015,,,,,,,,,,,,
2014,,,,,,,,,,,,
2013,,,,,,,,,,,,
2012,,,,,,,,,,,,
2011,,,,,,,,,,,,
2010,,,,,,,,,,,,
2009,,,,,,,,,,,,
2008,,,,,,,,,,,,
2007,,,,,,,,,,,,
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
