年份,有产品或工艺创新活动的规模以上制造业企业数,有产品或工艺创新活动的规模以上农副食品加工业企业数,有产品或工艺创新活动的规模以上食品制造业企业数,有产品或工艺创新活动的规模以上酒、饮料和精制茶制造业企业数,有产品或工艺创新活动的规模以上烟草制品业企业数,有产品或工艺创新活动的规模以上纺织业企业数,有产品或工艺创新活动的规模以上纺织服装、服饰业企业数,有产品或工艺创新活动的规模以上皮革、毛皮、羽毛及其制品和制鞋业企业数,有产品或工艺创新活动的规模以上木材加工和木、竹、藤、棕、草制品业企业数,有产品或工艺创新活动的规模以上家具制造业企业数,有产品或工艺创新活动的规模以上造纸和纸制品业企业数,有产品或工艺创新活动的规模以上印刷和记录媒介复制业企业数,有产品或工艺创新活动的规模以上文教、工美、体育和娱乐用品制造业企业数,有产品或工艺创新活动的规模以上石油加工、炼焦和核燃料加工业企业数,有产品或工艺创新活动的规模以上化学原料和化学制品制造业企业数,有产品或工艺创新活动的规模以上医药制造业企业数,有产品或工艺创新活动的规模以上化学纤维制造业企业数,有产品或工艺创新活动的规模以上橡胶和塑料制品业企业数,有产品或工艺创新活动的规模以上非金属矿物制品业企业数,有产品或工艺创新活动的规模以上黑色金属冶炼和压延加工业企业数,有产品或工艺创新活动的规模以上有色金属冶炼和压延加工业企业数,有产品或工艺创新活动的规模以上金属制品业企业数,有产品或工艺创新活动的规模以上通用设备制造业企业数,有产品或工艺创新活动的规模以上专用设备制造业企业数,有产品或工艺创新活动的规模以上汽车制造业企业数,有产品或工艺创新活动的规模以上铁路、船舶、航空航天和其他运输设备制造业企业数,有产品或工艺创新活动的规模以上电气机械和器材制造业企业数,有产品或工艺创新活动的规模以上计算机、通信和其他电子设备制造业企业数,有产品或工艺创新活动的规模以上仪器仪表制造业企业数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,147461.0,7091.0,3548.0,2404.0,81.0,5974.0,3861.0,2472.0,2144.0,2002.0,2093.0,1837.0,3312.0,652.0,11239.0,4963.0,860.0,7333.0,9225.0,2515.0,2967.0,7961.0,12558.0,10358.0,7850.0,2503.0,14325.0,10835.0,3166.0
2016,141074.0,7409.0,3498.0,2457.0,77.0,6260.0,4041.0,2447.0,2224.0,1873.0,1959.0,1678.0,3375.0,641.0,11045.0,4750.0,846.0,6573.0,8779.0,2571.0,2940.0,7376.0,11970.0,9594.0,7211.0,2477.0,13165.0,9635.0,2974.0
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
