省份编码,省份,年份,城镇登记失业人数(万人),城镇登记失业率(%)
110000,北京市,2019,7.37,1.3
110000,北京市,2018,7.913,1.4
110000,北京市,2017,8.1038,1.43
110000,北京市,2016,7.9928,1.41
110000,北京市,2015,7.8459,1.39
110000,北京市,2014,7.4272,1.31
110000,北京市,2013,7.5345,1.21
110000,北京市,2012,8.1496,1.27
110000,北京市,2011,8.1336,1.39
110000,北京市,2010,7.7255,1.37
110000,北京市,2009,8.155,1.44
110000,北京市,2008,10.325,1.82
110000,北京市,2007,10.6275,1.84
110000,北京市,2006,10.4,2.0
110000,北京市,2005,10.56,2.11
110000,北京市,2004,6.5,1.3
110000,北京市,2003,7.0,1.4
110000,北京市,2002,6.02,1.4
110000,北京市,2001,5.0,1.2
110000,北京市,2000,3.3221,0.8
120000,天津市,2019,26.09,3.53
120000,天津市,2018,25.8074,3.51
120000,天津市,2017,26.0025,3.5
120000,天津市,2016,25.7729,3.5
120000,天津市,2015,25.0758,3.5
120000,天津市,2014,22.5236,3.5
120000,天津市,2013,21.6858,3.6
120000,天津市,2012,20.4006,3.6
120000,天津市,2011,20.1098,3.6
120000,天津市,2010,16.0983,3.6
120000,天津市,2009,14.9966,3.6
120000,天津市,2008,12.9869,3.6
120000,天津市,2007,14.9942,3.59
120000,天津市,2006,11.7,3.6
120000,天津市,2005,11.71,3.7
120000,天津市,2004,11.8,3.8
120000,天津市,2003,12.0,3.8
120000,天津市,2002,12.9,3.9
120000,天津市,2001,11.398,3.6
120000,天津市,2000,10.502,3.2
130000,河北省,2019,35.98,3.12
130000,河北省,2018,38.037,3.3
130000,河北省,2017,39.9234,3.68
130000,河北省,2016,39.7306,3.68
130000,河北省,2015,39.4089,3.6
130000,河北省,2014,38.3059,3.59
130000,河北省,2013,37.2222,3.68
130000,河北省,2012,36.8308,3.69
130000,河北省,2011,35.9857,3.75
130000,河北省,2010,35.1365,3.86
130000,河北省,2009,34.5006,3.93
130000,河北省,2008,32.2433,3.96
130000,河北省,2007,29.2987,3.83
130000,河北省,2006,28.7,3.8
130000,河北省,2005,27.82,3.93
130000,河北省,2004,28.0,4.0
130000,河北省,2003,25.7,3.9
130000,河北省,2002,22.16,3.6
130000,河北省,2001,19.5,3.2
130000,河北省,2000,17.4,2.8
140000,山西省,2019,21.26,2.71
140000,山西省,2018,24.5602,3.26
140000,山西省,2017,26.5317,3.43
140000,山西省,2016,26.0668,3.52
140000,山西省,2015,25.5661,3.51
140000,山西省,2014,24.5497,3.4
140000,山西省,2013,21.104,3.13
140000,山西省,2012,21.0004,3.33
140000,山西省,2011,21.1493,3.48
140000,山西省,2010,20.3868,3.58
140000,山西省,2009,21.6466,3.86
140000,山西省,2008,17.474,3.29
140000,山西省,2007,16.1049,3.24
140000,山西省,2006,15.6,3.2
140000,山西省,2005,14.27,3.01
140000,山西省,2004,13.7,3.1
140000,山西省,2003,13.1,3.0
140000,山西省,2002,14.52,3.4
140000,山西省,2001,12.2,2.6
140000,山西省,2000,9.7,2.2
150000,内蒙古自治区,2019,28.13,3.7
150000,内蒙古自治区,2018,27.0427,3.58
