省份编码,省份,年份,城镇单位就业人员工资总额(亿元),农、林、牧、渔业城镇单位就业人员工资总额(亿元),采矿业城镇单位就业人员工资总额(亿元),制造业城镇单位就业人员工资总额(亿元),电力、燃气及水的生产和供应业城镇单位就业人员工资总额(亿元),建筑业城镇单位就业人员工资总额(亿元),交通运输、仓储和邮政业城镇单位就业人员工资总额(亿元),信息传输、计算机服务和软件业城镇单位就业人员工资总额(亿元),批发和零售业城镇单位就业人员工资总额(亿元),住宿和餐饮业城镇单位就业人员工资总额(亿元),金融业城镇单位就业人员工资总额(亿元),房地产业城镇单位就业人员工资总额(亿元),租赁和商务服务业城镇单位就业人员工资总额(亿元),科学研究、技术服务和地质勘查业城镇单位就业人员工资总额(亿元),水利、环境和公共设施管理业城镇单位就业人员工资总额(亿元),居民服务和其他服务业城镇单位就业人员工资总额(亿元),教育城镇单位就业人员工资总额(亿元),卫生、社会保障和社会福利业城镇单位就业人员工资总额(亿元),文化、体育和娱乐业城镇单位就业人员工资总额(亿元),公共管理和社会组织城镇单位就业人员工资总额(亿元)
110000,北京市,2019,13193.21219,3.44279,43.20619,921.62059,166.15205,571.87503,742.3105,2010.61663,925.41222,188.04082,1599.12323,514.66214,1093.66246,1347.29933,134.90942,57.67344,1023.5818,668.90171,384.18243,796.53941
110000,北京市,2018,12080.93956,16.50882,47.01266,933.61401,151.31909,553.04974,694.51579,1722.94625,937.4272,183.27572,1439.87346,481.22403,1065.29762,1217.15247,114.56414,62.77375,892.31736,564.93836,331.74392,671.38517
110000,北京市,2017,10675.97363,19.5807,43.83819,897.37116,131.37393,459.493,584.10027,1394.98244,844.9634,172.95882,1337.23941,435.51838,1063.16206,1061.07398,93.28266,48.11648,714.58567,491.67367,287.15985,595.49956
110000,北京市,2016,9463.26084,20.20832,43.31128,861.94649,115.70118,408.34328,528.03,1182.88231,775.59247,161.43366,1196.22037,406.53276,946.59075,959.40281,80.53521,44.17731,578.51786,417.72995,259.5206,476.58423
110000,北京市,2015,8643.54357,20.9888,49.71644,839.59443,103.68943,373.03431,493.42083,1077.87196,724.32511,154.55208,1114.7316,360.2033,865.34827,786.94473,73.66121,44.22394,525.7029,372.47746,239.3152,423.74157
110000,北京市,2014,7687.60206,16.38078,56.77999,813.43136,99.27629,346.85236,462.59347,893.75587,672.73028,149.21129,945.30465,326.43234,734.42108,735.54383,63.48793,40.48419,451.10838,312.39635,212.90299,354.50863
110000,北京市,2013,6869.76159,15.657,56.05084,763.68368,88.78914,302.20042,422.21541,784.62319,592.58473,142.11017,791.38513,292.62195,651.09159,666.23755,57.2494,39.90041,400.54813,266.48822,203.67471,332.64992
110000,北京市,2012,6012.44875,10.15838,54.38907,695.24525,81.59958,258.22894,378.73875,669.66693,540.59315,133.08156,674.55878,235.81885,552.43772,566.07446,49.66271,33.78335,366.84824,218.96176,179.15132,313.44995
110000,北京市,2011,5099.66236,8.02782,50.08727,613.79795,73.98862,223.04019,335.23498,545.42201,440.9105,109.76277,548.97589,200.1793,478.39497,478.27243,43.41337,25.32875,310.57857,180.10747,152.06208,282.07742
110000,北京市,2010,4136.1,9.8,31.0,482.3,57.2,179.8,260.5,420.3,344.7,89.3,426.3,158.5,479.0,391.9,36.6,20.3,262.1,142.3,118.0,226.5
110000,北京市,2009,3545.62114,8.86372,28.35165,414.51141,50.52049,143.42842,227.5503,357.68127,286.37814,81.69184,345.99616,132.84178,409.37824,332.90246,32.90059,18.93107,228.97427,124.59855,106.78041,213.34037
110000,北京市,2008,3165.39315,7.0226,26.53442,384.90151,51.51565,125.93629,212.1765,314.46704,248.99793,72.36609,298.21266,123.15473,359.40786,284.35366,30.39657,15.93593,209.14931,110.64814,96.61221,193.60405
110000,北京市,2007,2455.15297,6.23685,9.24897,347.05373,41.88358,108.71688,173.95635,216.76593,180.86954,59.86549,186.00941,94.84631,244.13102,216.96945,25.92216,20.75382,177.43833,91.67677,82.35175,170.45663
110000,北京市,2006,2023.43879,5.3328,6.00554,299.26261,32.97939,99.04181,136.92904,171.63527,139.66318,52.64921,155.48301,74.76169,208.51261,166.25573,21.04471,19.40404,151.29139,78.31786,64.52729,140.34161
110000,北京市,2005,,,,,,,,,,,,,,,,,,,,
110000,北京市,2004,,,,,,,,,,,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,,,,,,,,,,
120000,天津市,2019,2925.90727,1.71618,83.19852,635.00628,65.0575,224.25545,155.0767,96.95485,177.58004,24.043,261.33562,95.75783,123.89803,189.56677,36.72219,42.46189,279.79563,170.32663,36.4328,226.72136
120000,天津市,2018,2645.60307,3.82609,76.75736,615.37505,59.58281,205.03182,129.94968,83.95882,158.00417,22.87939,222.1312,89.66277,101.62638,165.45149,31.29167,21.05442,252.52923,148.23567,30.06587,228.18918
120000,天津市,2017,2556.73343,4.73469,68.60139,619.80516,54.20269,205.78164,141.59401,78.25669,121.71875,22.89556,214.74028,74.86049,94.24403,164.30501,39.12786,29.22003,229.16239,141.7741,29.99896,221.7097
120000,天津市,2016,2484.25108,5.85757,42.27599,740.86945,54.09407,200.1466,134.56512,67.12168,139.12551,22.56591,169.29205,67.81734,76.89437,149.5972,37.00167,40.22122,206.34835,115.16541,23.93625,191.35532
120000,天津市,2015,2373.06878,3.69763,70.17189,812.20286,52.16889,192.42839,131.85525,57.59049,119.61644,21.69213,125.3089,56.53252,61.10503,140.36925,32.06804,43.43289,175.01845,101.35665,19.73557,156.71751
120000,天津市,2014,2154.0269,3.19939,66.84001,781.13709,46.67633,186.64241,119.93506,45.43054,106.27639,21.11302,102.17443,50.10163,47.81419,119.08652,28.69595,37.03616,157.11186,88.28902,16.28433,130.18257
120000,天津市,2013,2053.76398,2.95991,63.62991,768.32337,44.05557,180.36425,117.95634,36.58787,96.78365,21.75995,92.64729,56.90728,36.41693,109.15477,25.96287,33.15315,153.2813,80.04298,15.27321,118.50338
120000,天津市,2012,1778.11816,2.91906,53.76043,687.36397,40.38028,155.47541,104.62216,27.59661,89.77518,21.63329,80.16244,35.63886,28.70718,84.51251,20.94465,26.91623,122.64104,69.245,12.39978,113.42408
120000,天津市,2011,1483.19498,2.84834,75.97314,549.61983,36.1805,134.85773,73.84234,15.39624,69.6477,15.7253,73.46155,47.66542,22.36624,47.90494,16.39089,17.53848,115.04327,59.01109,9.37522,100.34676
120000,天津市,2010,1051.2,2.9,53.5,319.2,26.8,57.0,69.8,15.9,54.6,10.3,59.9,16.3,20.0,50.7,15.6,15.8,109.1,52.0,9.5,92.2
120000,天津市,2009,886.50773,2.36366,53.61337,268.28899,23.58637,47.99618,59.99196,14.37179,38.80561,7.78321,48.66756,12.51982,19.28389,39.80645,13.2406,14.82183,93.76415,41.49279,8.71449,77.39501
120000,天津市,2008,795.85662,2.03661,37.02927,248.6364,24.98098,44.9142,56.33904,13.66278,40.59547,7.23086,40.9715,11.16955,16.69198,37.44963,11.28119,13.13482,74.31563,36.31322,7.64506,71.45843
120000,天津市,2007,653.05268,1.65772,31.50565,221.46096,21.15552,36.03103,47.07938,11.72431,33.02358,6.12371,31.78168,7.25661,13.41621,28.17411,9.25009,8.22964,57.61344,27.66825,6.9923,52.90849
120000,天津市,2006,530.29141,1.35367,25.0784,185.84563,17.91517,27.79322,39.2461,9.25597,25.34003,5.23155,25.51403,5.22405,10.24644,21.90361,7.76823,7.20193,48.0787,22.19748,5.16372,39.93348
120000,天津市,2005,,,,,,,,,,,,,,,,,,,,
120000,天津市,2004,,,,,,,,,,,,,,,,,,,,
120000,天津市,2003,,,,,,,,,,,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,,,,,,,,,,,
130000,河北省,2019,4187.54079,7.26273,141.97265,657.29506,188.13118,267.16573,238.79142,92.83172,115.8721,21.26483,306.39614,64.87461,83.76219,145.21487,40.80218,10.28207,755.55865,334.65434,37.28982,678.1185
130000,河北省,2018,3772.303,5.96775,139.06963,646.41848,163.38002,267.64945,185.15383,72.84189,96.99084,18.29613,268.21711,49.81294,56.76268,141.44527,53.12233,7.72496,680.24861,281.579,34.17376,603.44832
130000,河北省,2017,3356.25263,8.10581,123.3938,597.89081,151.01322,200.06429,163.93374,63.41574,82.8401,12.96842,257.58326,36.54108,44.72157,112.34479,51.47067,8.25709,618.63845,249.68955,29.3978,543.98244
130000,河北省,2016,3518.75022,8.53865,129.37431,697.47133,137.06499,350.45461,170.41901,92.91048,106.7724,18.85563,232.14341,56.26004,48.50159,119.13859,47.27304,8.96383,560.58042,217.98471,28.25797,487.78521
130000,河北省,2015,3289.4839,8.25215,139.58435,682.64164,142.55209,333.52846,170.37973,83.76872,103.54259,19.43533,216.13937,46.68792,53.26687,100.53747,42.54727,5.76033,508.52522,187.14903,25.20926,419.9761
130000,河北省,2014,2965.46174,7.61941,165.51511,648.95848,134.1106,341.71982,152.28888,71.09609,99.10195,18.42412,196.65684,41.35611,52.17102,91.3827,35.45809,4.73205,399.12414,154.07813,20.9002,330.768
130000,河北省,2013,2724.14544,7.27871,175.54754,608.07457,125.28613,327.63607,128.72483,60.44099,91.08054,19.49117,167.20764,34.62243,43.22056,83.96684,32.01354,4.00545,366.49062,131.20925,19.22861,298.61995
130000,河北省,2012,2398.30341,7.58666,179.82195,535.1519,123.49913,262.79969,110.66505,32.85424,73.40042,17.4222,146.85563,23.91777,13.92067,69.71233,29.49984,8.9881,346.00954,119.3356,17.5464,279.31629
130000,河北省,2011,1975.25156,7.4169,162.97689,428.05726,103.90356,155.26265,93.26565,27.31584,57.38304,11.55753,125.06013,14.58448,12.0741,58.93532,24.12574,8.05872,319.41623,98.72932,15.46359,251.66461
130000,河北省,2010,1629.6,8.3,134.3,330.4,90.4,89.6,83.1,24.1,44.9,8.0,107.2,11.3,10.2,43.1,22.0,6.9,288.5,84.4,13.2,229.3
130000,河北省,2009,1398.19814,8.06876,114.80835,279.42365,78.46875,71.63828,75.21668,22.08558,37.2886,7.07056,85.62028,8.05514,9.57972,35.77948,18.70933,6.5713,244.02571,70.64983,11.7603,213.37784
130000,河北省,2008,1224.8069,7.27627,104.91815,248.96095,70.74638,66.58534,66.54669,17.93368,31.59173,6.59689,70.98653,6.97076,8.08016,29.5294,16.05265,6.48814,211.77175,58.16025,10.09842,185.51276
130000,河北省,2007,991.21503,6.1263,81.91856,210.72602,59.23441,56.42966,54.7668,15.69479,25.77081,5.68313,52.80914,5.33264,7.10814,21.75599,13.31536,5.07297,167.87711,47.19365,8.37365,146.0259
130000,河北省,2006,825.54255,5.51075,70.9357,181.13822,47.25002,50.11747,44.78248,13.81525,24.48756,5.25568,42.99718,4.44782,6.69082,19.18573,11.38751,4.64632,134.50714,39.19352,7.26593,111.92745
130000,河北省,2005,,,,,,,,,,,,,,,,,,,,
130000,河北省,2004,,,,,,,,,,,,,,,,,,,,
130000,河北省,2003,,,,,,,,,,,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,,,,,,,,,,,
140000,山西省,2019,3060.33879,4.56031,666.84129,324.15654,136.81682,172.48353,196.85095,44.34204,81.11025,12.57999,241.49623,28.88162,57.46337,60.43077,28.12381,3.82494,386.75858,173.03971,25.90003,414.67801
140000,山西省,2018,2803.40906,7.13334,649.6226,322.96632,104.44698,159.3585,191.47749,40.47407,79.52242,11.7332,173.15526,19.86049,39.38576,56.56629,30.64994,3.80262,365.13804,138.57066,26.65938,382.8857
140000,山西省,2017,2558.30912,8.57679,583.91979,300.42588,97.87107,149.95223,179.89482,38.1928,65.08897,11.3388,145.89339,17.75866,36.33026,47.99045,31.56939,3.1778,346.62653,118.02243,24.10904,351.57002
140000,山西省,2016,2303.26469,7.98248,511.67372,267.00616,90.45389,136.39704,162.48273,32.96997,66.06222,11.35977,132.38096,14.81265,33.70504,43.54435,28.68123,2.28918,319.04514,103.80498,22.55437,316.05881
140000,山西省,2015,2285.46969,7.61505,551.89566,273.04194,84.4834,147.25506,156.33095,33.37831,66.24917,11.42857,123.96311,14.48334,32.69291,43.73395,26.76842,2.3648,303.78917,96.08943,21.66651,288.23994
