省份编码,省份,年份,私营企业和个体就业人员(万人),制造业私营企业和个体就业人员(万人),建筑业私营企业和个体就业人员(万人),交通运输、仓储和邮政业私营企业和个体就业人员(万人),批发和零售业私营企业和个体就业人员(万人),住宿和餐饮业私营企业和个体就业人员(万人),租赁和商务服务业私营企业和个体就业人员(万人),居民服务和其他服务业私营企业和个体就业人员(万人)
110000,北京市,2019,1187.4729,48.763,77.2115,30.779,232.726,46.0181,192.5489,23.0063
110000,北京市,2018,1202.4237,52.9408,72.9331,32.278,255.1035,45.1572,194.6297,23.291
110000,北京市,2017,1141.3759,55.2542,66.4914,29.5907,259.1123,43.2974,186.4213,21.8993
110000,北京市,2016,1046.7365,53.9461,61.3296,26.0506,249.844,39.8193,171.7407,21.0011
110000,北京市,2015,951.7309,55.2288,59.1879,25.9086,238.0736,38.1395,152.5744,20.6586
110000,北京市,2014,828.5921,55.6678,54.3795,24.3822,213.3361,35.5245,122.5499,19.0048
110000,北京市,2013,640.2778,42.3255,28.436,15.8952,173.0311,29.5184,99.3205,19.4392
110000,北京市,2012,592.3305,43.7303,26.0324,15.6883,159.4413,28.4345,84.4539,20.3225
110000,北京市,2011,558.8074,45.5991,24.264,15.4708,154.6976,29.1429,73.9065,21.0309
110000,北京市,2010,525.9807,45.9446,22.1125,14.9519,146.3723,29.19,65.1997,21.233
110000,北京市,2009,478.3982,45.0145,19.5778,13.4083,133.8262,28.6992,58.0908,20.7199
110000,北京市,2008,441.5152,44.9144,18.0195,11.5044,122.2339,26.4688,52.9395,19.623
110000,北京市,2007,398.2561,45.4084,17.843,9.7331,112.9009,23.9568,45.5803,19.2104
110000,北京市,2006,426.4346,50.8451,23.8362,10.5781,115.6581,24.3661,49.0822,19.1971
110000,北京市,2005,379.2022,50.7522,20.6019,8.2345,106.1802,21.52,42.5595,17.023
110000,北京市,2004,342.0515,43.5501,28.216,5.0962,96.8178,14.9772,2.5673,20.8508
110000,北京市,2003,,,,,,,,
110000,北京市,2002,,,,,,,,
110000,北京市,2001,,,,,,,,
110000,北京市,2000,,,,,,,,
120000,天津市,2019,226.4682,38.2622,8.3802,6.6169,75.774,22.4488,23.6263,15.8947
120000,天津市,2018,205.4754,38.5731,6.975,6.1175,69.0599,19.348,20.0834,12.9234
120000,天津市,2017,237.4157,44.099,9.5274,4.9933,48.9375,48.2705,23.6647,11.7586
120000,天津市,2016,209.653,44.4338,8.77,4.2896,41.0026,40.8399,19.6608,9.6014
120000,天津市,2015,184.1249,42.8899,7.6539,3.8603,36.8591,35.8565,14.5728,8.1073
120000,天津市,2014,163.7223,41.248,6.9493,3.2499,33.2466,31.4387,11.6522,6.8142
120000,天津市,2013,152.2938,40.5221,6.4616,2.7567,29.4497,29.704,10.7699,6.0662
120000,天津市,2012,148.0586,40.8534,6.2078,5.6642,49.009,5.5201,11.7841,5.5949
120000,天津市,2011,145.3488,41.5775,6.1772,5.6465,47.3109,5.3464,12.8197,5.3401
120000,天津市,2010,140.612,40.9294,6.0352,6.0613,44.5355,5.5571,11.0158,5.2988
120000,天津市,2009,127.3119,39.615,5.4255,5.2716,40.415,5.2008,7.6804,5.0492
120000,天津市,2008,129.3186,40.1438,5.637,5.3238,40.8889,4.9536,7.9907,5.1131
120000,天津市,2007,135.3021,40.1608,5.556,5.3023,48.5284,4.2055,7.7722,4.7734
120000,天津市,2006,122.7957,39.2033,5.1318,5.2557,39.0197,3.7894,7.227,4.832
120000,天津市,2005,114.1713,37.5276,4.3078,4.5244,37.3975,3.6534,5.7343,4.4049
120000,天津市,2004,101.87,33.4375,3.5117,3.7956,34.5872,3.6846,4.6793,3.8658
120000,天津市,2003,,,,,,,,
120000,天津市,2002,,,,,,,,
120000,天津市,2001,,,,,,,,
120000,天津市,2000,,,,,,,,
130000,河北省,2019,1413.9916,267.0208,47.512,53.7296,598.3287,131.0691,47.6126,100.0749
130000,河北省,2018,1261.3444,249.6079,38.1414,43.7209,544.5664,111.6518,40.5636,87.8826
130000,河北省,2017,1120.1014,232.5954,31.3327,36.976,490.9154,92.865,35.1369,74.6377
130000,河北省,2016,981.7165,205.755,23.852,30.2136,452.6021,74.1342,29.4922,62.6652
130000,河北省,2015,805.2306,177.0076,17.7752,25.3499,374.4133,55.7831,23.8084,50.9355
130000,河北省,2014,672.9255,148.5572,14.0721,21.9425,317.011,40.016,18.7183,41.838
130000,河北省,2013,595.8295,145.2587,12.9921,20.0062,278.9483,33.578,15.9944,35.0368
130000,河北省,2012,641.2689,150.5577,17.8891,77.1857,237.7851,23.3011,17.476,34.7837
130000,河北省,2011,626.17,159.3101,17.1762,19.1938,276.4987,32.6518,13.3899,36.3119
130000,河北省,2010,542.4861,148.8948,13.8246,17.7919,237.409,30.1361,11.612,31.7714
130000,河北省,2009,754.9474,159.2407,22.9789,19.9423,415.0962,42.7555,11.6322,31.17
130000,河北省,2008,557.9076,179.0746,22.5211,22.3407,217.3922,30.2527,10.661,27.7074
130000,河北省,2007,535.3448,190.9438,14.1542,21.9759,197.4501,35.9205,7.4713,24.8155
130000,河北省,2006,532.2146,195.3442,12.2147,24.0598,196.3826,35.0179,6.7046,24.0735
130000,河北省,2005,511.6703,167.7167,17.6498,26.9928,197.1839,35.9507,4.5211,22.9594
130000,河北省,2004,479.4012,156.7595,15.1878,28.5466,185.8546,35.3869,3.4308,21.7082
130000,河北省,2003,,,,,,,,
130000,河北省,2002,,,,,,,,
130000,河北省,2001,,,,,,,,
130000,河北省,2000,,,,,,,,
140000,山西省,2019,693.2576,77.8128,23.5452,37.148,305.6908,77.2461,27.2783,59.7881
140000,山西省,2018,642.7774,73.0371,21.2277,33.5782,282.32,69.4003,26.7767,55.746
140000,山西省,2017,592.0268,71.6414,19.0414,24.54,259.2424,60.5938,23.9613,51.7365
140000,山西省,2016,553.3949,68.8515,17.4277,17.0762,255.1755,51.1734,20.2339,46.548
140000,山西省,2015,497.3007,65.5013,16.7801,12.5762,232.9199,41.2149,18.1964,39.5076
140000,山西省,2014,471.9533,67.4875,17.4717,14.8445,217.1114,34.0898,17.084,32.2832
140000,山西省,2013,425.235,64.7441,14.4816,14.2285,195.471,29.2316,13.6791,27.8414
140000,山西省,2012,386.1996,62.9286,12.5624,89.3696,111.9927,16.7457,6.3257,17.5929
140000,山西省,2011,317.9024,45.0958,7.7577,5.8953,163.56,24.0835,8.448,28.3314
140000,山西省,2010,290.3638,45.2883,5.5381,5.9402,143.144,23.4274,7.4759,27.2056
140000,山西省,2009,250.2975,39.0377,4.5611,4.4908,122.6833,21.8734,5.5095,23.8084
140000,山西省,2008,259.2517,48.1458,6.9036,4.752,116.7259,21.5342,5.9399,22.2707
140000,山西省,2007,230.642,45.5064,5.3182,4.3396,102.3487,20.1566,4.8419,18.1185
140000,山西省,2006,194.5209,38.9532,4.9127,5.5629,84.6363,15.5742,4.5133,12.0845
140000,山西省,2005,164.5518,36.2148,3.7181,5.2272,72.9222,13.966,2.8082,10.7716
140000,山西省,2004,180.8215,34.0135,5.7084,6.6723,73.2286,13.5301,0.7473,13.7062
140000,山西省,2003,,,,,,,,
140000,山西省,2002,,,,,,,,
140000,山西省,2001,,,,,,,,
140000,山西省,2000,,,,,,,,
150000,内蒙古自治区,2019,619.5001,54.1406,28.5853,20.6219,254.3837,65.9588,46.1321,48.0371
150000,内蒙古自治区,2018,589.1066,48.8996,24.3093,19.3596,250.2164,62.5404,38.1061,53.342
150000,内蒙古自治区,2017,588.6268,45.6485,20.8524,16.9316,258.7074,67.2801,36.0033,64.9388
150000,内蒙古自治区,2016,525.2605,42.924,15.3401,17.5297,249.4887,54.2483,28.674,51.8878
150000,内蒙古自治区,2015,512.0106,39.0283,13.1058,18.6267,252.9522,50.7923,25.7902,52.1764
150000,内蒙古自治区,2014,522.7041,48.507,13.4484,19.5255,247.9963,54.0405,18.9735,47.9065
150000,内蒙古自治区,2013,467.4273,50.3045,10.8598,31.9268,203.626,46.6042,16.1977,41.0175
150000,内蒙古自治区,2012,360.8743,35.0493,12.4838,25.3279,143.3377,54.2989,13.2924,29.0673
150000,内蒙古自治区,2011,301.5283,32.1613,8.5696,13.297,136.7558,34.3449,12.2076,25.4178
150000,内蒙古自治区,2010,258.8091,30.888,8.0308,13.1033,114.4696,26.5011,9.7562,22.3314
150000,内蒙古自治区,2009,234.258,29.1194,7.0547,13.1879,102.9517,24.4481,7.8834,20.0886
150000,内蒙古自治区,2008,208.1949,27.6241,6.7568,12.1256,90.5193,20.2261,7.7773,16.7183
150000,内蒙古自治区,2007,176.4544,27.3626,6.1417,9.8402,73.742,17.1934,4.4229,15.4202
150000,内蒙古自治区,2006,161.4084,26.4154,5.1448,8.6186,65.7993,17.4009,3.5826,14.7432
150000,内蒙古自治区,2005,150.4845,25.1383,4.979,8.5097,60.7613,16.6282,2.903,13.3846
