省份编码,省份,年份,城镇单位就业人员工资总额(亿元),国有城镇单位就业人员工资总额(亿元),城镇集体单位就业人员工资总额(亿元),其他城镇单位就业人员工资总额(亿元),城镇单位就业人员工资总额指数(上年=100),国有城镇单位就业人员工资总额指数(上年=100),城镇集体单位就业人员工资总额指数(上年=100),其他城镇单位就业人员工资总额指数(上年=100)
110000,北京市,2019,13193.21219,3224.12011,103.03882,9866.05326,109.206838793257,112.198721854304,116.5303944357,108.193016598046
110000,北京市,2018,12080.93956,2873.58007,88.42227,9118.93722,113.2,107.9,104.4,115.0
110000,北京市,2017,10675.97363,2663.84409,84.67347,7927.45607,112.8,113.3,100.5,112.8
110000,北京市,2016,9463.26084,2350.74965,84.23927,7028.27192,109.483578851214,111.589683729559,98.2877206607036,108.9445872394
110000,北京市,2015,8643.54357,2106.60123,85.70681,6451.23553,112.434846425961,109.015523690766,99.6393504867583,113.794488969178
110000,北京市,2014,7687.60206,1932.38647,86.01703,5669.19856,111.9,109.1,115.4,112.8
110000,北京市,2013,6869.76159,1771.35664,74.54056,5023.86439,114.3,109.0,97.7,116.5
110000,北京市,2012,6012.44875,1624.842,76.32955,4311.2772,117.9,111.3,114.2,120.7
110000,北京市,2011,5099.66236,1460.24719,66.85345,3572.56172,123.297466522153,115.502929077656,109.241251224101,127.109609299812
110000,北京市,2010,4136.1,1264.3,61.2,2810.6,116.7,113.3,106.3,118.5
110000,北京市,2009,3545.62114,1115.99723,57.56902,2372.05489,112.0,105.6,156.7,114.5
110000,北京市,2008,3165.39315,1056.54044,36.74737,2072.10534,128.928551038512,116.938573030136,105.115891771225,136.619895873636
110000,北京市,2007,2455.15297,903.50037,34.95891,1516.69369,121.3,117.2,100.6,124.5
110000,北京市,2006,2023.43879,770.70007,34.7639,1217.97482,119.950966877018,106.493495206011,98.4684994217466,131.26462262085
110000,北京市,2005,,,,,,,,
110000,北京市,2004,,,,,,,,
110000,北京市,2003,,,,,,,,
110000,北京市,2002,,,,,,,,
110000,北京市,2001,,,,,,,,
110000,北京市,2000,,,,,,,,
