省份编码,省份,年份,城镇私营单位就业人员平均工资(元),农、林、牧、渔业城镇私营单位就业人员平均工资(元),采矿业城镇私营单位就业人员平均工资(元),制造业城镇私营单位就业人员平均工资(元),电力、燃气及水的生产和供应业城镇私营单位就业人员平均工资(元),建筑业城镇私营单位就业人员平均工资(元),交通运输、仓储和邮政业城镇私营单位就业人员平均工资(元),信息传输、计算机服务和软件业城镇私营单位就业人员平均工资(元),批发和零售业城镇私营单位就业人员平均工资(元),住宿和餐饮业城镇私营单位就业人员平均工资(元),金融业城镇私营单位就业人员平均工资(元),房地产业城镇私营单位就业人员平均工资(元),租赁和商务服务业城镇私营单位就业人员平均工资(元),科学研究、技术服务和地质勘查业城镇私营单位就业人员平均工资(元),水利、环境和公共设施管理业城镇私营单位就业人员平均工资(元),居民服务和其他服务业城镇私营单位就业人员平均工资(元),教育城镇私营单位就业人员平均工资(元),卫生、社会保障和社会福利业城镇私营单位就业人员平均工资(元),文化、体育和娱乐业城镇私营单位就业人员平均工资(元),公共管理和社会组织城镇私营单位就业人员平均工资(元)
110000,北京市,2019,85262,70465,66960,78361,74599,66557,66059,162049,72245,56883,184995,85544,80134,95210,55686,52606,94305,92915,87799,
110000,北京市,2018,76908,43879,57635,71612,64970,60527,54061,130984,64002,51289,178822,90586,73766,86722,56309,45627,81359,84725,70601,
110000,北京市,2017,70738,40210,54065,62889,54490,53403,47112,124409,59930,45924,144952,82870,71582,79731,63470,42285,76163,73539,69079,
110000,北京市,2016,65881,39138,50261,58042,53062,49455,43090,110718,55312,43187,143717,94956,64118,75227,55294,40889,65646,62566,64250,
110000,北京市,2015,58689,35077,46236,51971,48066,45909,40193,90724,49431,40584,111921,74167,62405,66597,52791,40592,58163,58055,49690,
110000,北京市,2014,52902,33315,47016,46691,46725,44602,38515,78145,47109,37858,82994,55070,56546,62685,56510,38463,50835,53702,49915,
110000,北京市,2013,48027,32531,36432,42809,41939,40942,34213,73626,40742,34517,61099,55328,54613,55689,48257,34963,49832,47657,52990,62461
110000,北京市,2012,42882,27381,37949,38498,39565,38143,36321,68161,37981,32120,61216,49156,47112,46245,49671,32248,42034,46936,35961,26988
110000,北京市,2011,34235,20255,26193,30420,31309,29934,29582,55164,30878,25342,36619,37308,38986,37211,33947,22654,38095,38342,31222,18889
110000,北京市,2010,27431,20912,24483,24833,25375,24633,20859,46686,23583,21051,32689,31059,28557,32279,25592,20159,32988,27130,27188,24160
110000,北京市,2009,24929,17528,22632,21978,22377,23399,19340,42629,22375,18784,30941,29562,26468,31176,21799,17967,26972,23661,23545,22427
110000,北京市,2008,,,,,,,,,,,,,,,,,,,,
110000,北京市,2007,,,,,,,,,,,,,,,,,,,,
110000,北京市,2006,,,,,,,,,,,,,,,,,,,,
110000,北京市,2005,,,,,,,,,,,,,,,,,,,,
110000,北京市,2004,,,,,,,,,,,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,,,,,,,,,,
120000,天津市,2019,64542,42170,68320,66150,63887,55122,58191,103521,55646,51819,81598,63369,74760,78802,48142,50760,64080,55705,58002,
120000,天津市,2018,62316,39708,68541,65203,61804,52389,56337,99540,51570,48171,84834,59620,74237,76584,52421,48421,62304,52472,58991,
120000,天津市,2017,59740,39184,61087,62357,57138,49933,54221,95320,49566,46499,81116,58077,71014,69255,49900,45552,55782,48922,55824,
120000,天津市,2016,57216,36007,45352,61667,47103,50372,54783,81606,50730,43400,68436,58365,63064,62992,52389,38868,44999,52580,51602,
120000,天津市,2015,53352,33620,37390,56010,42861,46771,53552,79928,49237,42048,57510,54547,58339,60946,50863,36565,42856,50059,45666,
120000,天津市,2014,47838,33623,28754,50154,38968,43251,50905,61800,44761,40046,47915,53478,52089,55406,46661,33683,40813,44848,40413,35664
120000,天津市,2013,41975,41255,16738,42765,34968,39704,48095,46580,40093,38877,43257,52518,45224,43931,42718,30275,44716,38910,36413,39713
120000,天津市,2012,35309,35218,36063,35721,28620,36283,36772,47917,33793,27537,34213,51706,33877,36718,27581,23513,31826,33344,29614,29002
120000,天津市,2011,29547,31940,46007,28905,22643,29177,30246,41082,29350,23126,31071,59689,27931,29137,24996,20204,33398,26900,24716,28482
120000,天津市,2010,24023,,23106,21818,20077,27961,25469,37593,25890,18982,,46299,22973,22570,20485,17685,30753,24748,21559,
120000,天津市,2009,20756,,19600,19109,17472,26053,21322,30810,21182,17030,,44364,20180,18823,17785,14751,26955,21493,11663,
120000,天津市,2008,,,,,,,,,,,,,,,,,,,,
120000,天津市,2007,,,,,,,,,,,,,,,,,,,,
120000,天津市,2006,,,,,,,,,,,,,,,,,,,,
120000,天津市,2005,,,,,,,,,,,,,,,,,,,,
120000,天津市,2004,,,,,,,,,,,,,,,,,,,,
120000,天津市,2003,,,,,,,,,,,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,,,,,,,,,,,
