省份编码,省份,年份,城镇单位就业人员(万人),农林牧渔业城镇单位就业人员(万人),采矿业城镇单位就业人员(万人),制造业城镇单位就业人员(万人),电力、热力、燃气及水生产和供应业城镇单位就业人员(万人),建筑业城镇单位就业人员(万人),交通运输、仓储和邮政业城镇单位就业人员(万人),信息传输、软件和信息技术服务业城镇单位就业人员(万人),批发和零售业城镇单位就业人员(万人),住宿和餐饮业城镇单位就业人员(万人),金融业城镇单位就业人员(万人),房地产业城镇单位就业人员(万人),租赁和商务服务业城镇单位就业人员(万人),科学研究和技术服务业城镇单位就业人员(万人),水利、环境和公共设施管理业城镇单位就业人员(万人),居民服务、修理和其他服务业城镇单位就业人员(万人),教育业城镇单位就业人员(万人),卫生和社会工作城镇单位就业人员(万人),文化、体育和娱乐业城镇单位就业人员(万人),公共管理、社会保障和社会组织城镇单位就业人员(万人)
110000,北京市,2019,791.2978,0.3585,3.1784,65.3864,9.5549,45.1159,58.9525,85.9131,59.6265,30.498,64.4776,47.4197,73.7063,68.9448,12.3799,6.8324,57.5765,32.5307,18.6057,50.24
110000,北京市,2018,819.3019,2.6639,3.5957,74.4135,9.7386,47.8122,60.1978,84.03,73.6426,31.2119,54.687,47.2509,81.2969,71.7149,12.2423,11.3572,55.7763,30.4521,19.0281,48.19
110000,北京市,2017,812.8589,3.4116,4.12,82.3796,9.0362,46.616,57.6935,77.44,76.7973,31.1052,54.4498,44.2784,88.2695,71.2481,10.664,8.6,50.5697,29.3252,19.0189,47.8359
110000,北京市,2016,791.5197,3.6867,4.533,86.8847,9.0941,45.9436,58.2306,69.2226,78.3688,29.4119,51.4163,43.8857,80.1256,68.9751,10.3131,8.5803,48.6258,28.5829,18.6619,46.977
110000,北京市,2015,777.3448,3.8949,5.2859,92.1913,8.2274,45.3319,60.0266,68.007,77.054,29.7559,47.1636,42.1574,80.0887,59.3471,10.1949,9.0237,47.3218,27.274,18.2639,46.7348
110000,北京市,2014,755.8601,3.2331,6.1051,100.0347,8.201,45.6031,60.2262,61.1106,72.2818,30.2501,43.1574,41.0147,70.7537,59.798,9.9202,8.8396,45.8032,25.4294,17.4448,46.6534
110000,北京市,2013,742.2565,3.1346,6.7584,103.4888,8.7189,43.9059,59.2268,58.2393,68.8143,30.9947,39.1442,40.5836,66.1746,59.6532,9.8211,9.0942,46.1041,24.8279,18.0964,45.4755
110000,北京市,2012,717.3717,2.5446,6.8778,107.9701,8.9378,42.7383,57.8348,52.6268,68.644,31.9643,37.5626,37.0621,61.4032,54.0483,9.3887,8.639,44.3758,22.9606,17.0606,44.7323
110000,北京市,2011,685.9018,2.3632,6.7212,107.7745,9.0182,42.5344,57.4088,49.0865,63.5709,29.2292,32.8689,35.1304,58.7037,50.5675,8.9635,7.3333,42.5964,22.433,16.5116,43.0866
110000,北京市,2010,646.6,3.2,4.5,100.6,6.8,39.4,51.0,41.7,55.4,28.0,27.2,31.5,77.8,45.7,8.8,7.4,40.6,20.7,15.3,41.1
110000,北京市,2009,619.3478,3.2282,5.0284,99.4566,6.6111,34.1064,50.0662,36.2109,50.1649,28.2761,25.3837,30.1468,72.8774,43.7742,8.7669,7.6248,41.6743,20.1368,15.8219,39.9922
110000,北京市,2008,570.2613,2.5983,4.5468,96.3114,6.6196,32.7597,47.6774,33.4102,43.6418,25.9835,22.6825,28.8297,62.8099,40.0982,8.1198,6.6349,39.9362,18.6822,14.9026,34.0166
110000,北京市,2007,,,,,,,,,,,,,,,,,,,,
110000,北京市,2006,,,,,,,,,,,,,,,,,,,,
110000,北京市,2005,,,,,,,,,,,,,,,,,,,,
110000,北京市,2004,502.8295,,,,,,,,,,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,,,,,,,,,,
120000,天津市,2019,269.3543,0.262,5.844,67.3285,4.1725,25.055,14.9341,6.5728,19.964,6.3306,19.8017,10.7976,15.2941,11.0839,3.6809,6.513,20.2407,11.6909,2.1479,17.6401
120000,天津市,2018,259.9869,0.5309,6.0011,68.9562,4.035,26.6291,13.2342,6.4241,19.2004,5.5546,17.0514,10.391,13.2164,10.8,3.3259,4.6721,18.4332,10.8223,2.264,18.445
120000,天津市,2017,269.478,0.6226,6.5986,78.2405,4.0786,28.1197,14.5358,5.3464,15.3182,4.928,19.1651,8.1795,12.7149,11.9441,4.0589,6.4742,18.0238,11.141,2.533,17.4551
120000,天津市,2016,286.0447,0.8475,4.3989,99.4163,4.3475,28.1843,14.6712,4.8475,18.2105,5.0668,16.0073,7.9579,9.2762,11.487,4.4223,9.3733,17.9583,10.0956,2.1217,17.3546
