省份编码,省份,年份,城镇单位就业人员平均工资(元),国有单位就业人员平均工资(元),城镇集体单位就业人员平均工资(元),股份合作单位就业人员平均工资(元),联营单位就业人员平均工资(元),有限责任公司就业人员平均工资(元),股份有限公司就业人员平均工资(元),其他单位就业人员平均工资(元),港、澳、台商投资单位就业人员平均工资(元),外商投资单位就业人员平均工资(元)
110000,北京市,2019,166803,189849,68765,63494,97267,138288,198220,95684,193110,206698
110000,北京市,2018,145766,162118,66211,57572,79695,123239,164780,84465,171261,188538
110000,北京市,2017,131700,146019,58177,48643,79741,107374,156383,79020,151072,175384
110000,北京市,2016,119928,125419,59150,47536,75502,97340,147798,60643,139304,165761
110000,北京市,2015,111390,115098,49717,43749,71428,89353,140491,55352,127552,157966
110000,北京市,2014,102268,102538,45500,41024,63431,83104,136862,52096,116841,142300
110000,北京市,2013,93006,94173,42502,36778,41945,74700,121635,46047,106762,130840
110000,北京市,2012,84742,87299,38552,34146,63030,67006,109537,44253,96608,118777
110000,北京市,2011,75482,78270,32574,29218,52697,60095,95485,34027,88037,105793
110000,北京市,2010,65158,67403,26677,23872,39632,51189,87852,26728,79097,100409
110000,北京市,2009,57779,60495,23450,21695,34176,44653,77154,28089,73334,91165
110000,北京市,2008,55844,56677,24227,19598,35994,42832,74468,34273,73255,83977
110000,北京市,2007,45823,48328,20235,16218,31124,35480,61357,32892,64569,64388
110000,北京市,2006,39684,41313,17550,14603,20154,30732,54595,28023,52593,64192
110000,北京市,2005,,,,,,,,,,
110000,北京市,2004,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,
120000,天津市,2019,108002,136864,49819,57763,70832,93391,126830,87505,95013,104753
120000,天津市,2018,100731,131291,52246,61040,62636,85996,115705,79151,80449,99041
120000,天津市,2017,94534,122417,50215,50951,56082,79505,108765,63871,81887,92299
120000,天津市,2016,86305,107720,48344,56211,46278,74598,101976,61366,75308,86783
120000,天津市,2015,80090,93641,47413,50709,46415,70553,97346,50606,75848,81254
120000,天津市,2014,72773,84254,44946,48565,52871,65191,87032,52280,67921,72635
120000,天津市,2013,67773,75881,41094,49668,40854,62761,80782,63740,64689,65775
120000,天津市,2012,61514,68231,40494,52995,39725,57532,74772,42210,58977,58900
120000,天津市,2011,55658,64153,35213,44366,33935,51067,70059,46987,47796,50619
120000,天津市,2010,51489,56635,37686,48870,34158,49569,70733,34874,41354,47111
120000,天津市,2009,43937,47895,29018,40778,29908,43765,61089,26061,34007,41566
120000,天津市,2008,39990,42962,25113,50712,29466,39019,51763,21484,32812,39754
120000,天津市,2007,33312,34509,21539,40162,22788,33191,42349,20092,27077,35357
120000,天津市,2006,27628,29005,17752,33142,22513,26722,36161,11738,24221,28654
120000,天津市,2005,,,,,,,,,,
120000,天津市,2004,,,,,,,,,,
120000,天津市,2003,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,
130000,河北省,2019,72956,74806,47914,76993,83751,70062,84928,52280,72077,70364
130000,河北省,2018,68717,71164,50994,79559,35550,65447,72114,64955,61212,65478
130000,河北省,2017,63036,64522,46587,75984,34011,60499,65929,50137,65120,60210
130000,河北省,2016,55334,58761,43767,62040,41347,50224,60242,47690,56178,55514
130000,河北省,2015,50921,52686,40637,65105,41137,46840,57907,44280,52939,52066
130000,河北省,2014,45114,43351,36358,59552,40956,44671,53693,41867,49765,47650
130000,河北省,2013,41501,39648,33057,56446,38087,41803,48870,32436,45721,43662
130000,河北省,2012,38658,39177,28597,47555,34556,37630,40865,29259,39093,40319
130000,河北省,2011,35309,35872,24788,40055,22133,35630,35927,25006,35196,36465
130000,河北省,2010,31451,31977,21825,33143,48222,33149,31588,21036,30252,31098
130000,河北省,2009,27774,28871,18005,26818,38578,28437,26432,17721,24682,27893
130000,河北省,2008,24276,25233,15050,19852,37811,25367,23159,14816,23225,24955
130000,河北省,2007,19742,20754,12304,15743,36309,19803,18115,11820,19160,21328
130000,河北省,2006,16456,17057,10255,12947,23894,17580,15835,10362,17282,18014
130000,河北省,2005,,,,,,,,,,
130000,河北省,2004,,,,,,,,,,
130000,河北省,2003,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,
140000,山西省,2019,69551,68447,52354,113264,26440,71409,78036,43583,54677,65067
140000,山西省,2018,65917,66146,51594,65944,37286,66807,71013,47524,51409,67024
140000,山西省,2017,60061,63133,48337,74723,64092,57779,62316,37884,51772,65165
140000,山西省,2016,53705,57170,44540,61541,49025,50864,56434,33881,44878,55356
140000,山西省,2015,51803,53631,42646,56381,35938,50651,55611,33570,46122,50710
140000,山西省,2014,48969,45843,38841,52066,37774,52863,58691,30258,42236,48668
140000,山西省,2013,46407,42175,36409,29855,33956,51715,56052,28337,39421,45108
140000,山西省,2012,44236,40881,32780,34028,38621,53773,47696,34881,31717,33521
140000,山西省,2011,39230,36542,27038,30387,33003,51411,33566,24620,27932,32398
140000,山西省,2010,33057,32664,21579,23254,16383,39214,27754,22245,23924,32612
140000,山西省,2009,28066,28872,18115,19014,15555,30704,23908,21114,18842,27950
140000,山西省,2008,25489,26222,16663,16882,22155,28640,22201,12512,17461,26636
140000,山西省,2007,21315,22107,13987,12710,14860,23621,18992,12683,10591,20733
140000,山西省,2006,18106,18540,12014,10208,16308,20554,15917,11883,14583,17363
140000,山西省,2005,,,,,,,,,,
140000,山西省,2004,,,,,,,,,,
140000,山西省,2003,,,,,,,,,,
140000,山西省,2002,,,,,,,,,,
140000,山西省,2001,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,
150000,内蒙古自治区,2019,80563,81973,82188,127408,67772,79869,79276,58620,79800,79460
