年份,大中型工业企业本年应交增值税,煤炭开采和洗选业大中型工业企业本年应交增值税,石油和天然气开采业大中型工业企业本年应交增值税,黑色金属矿采选业大中型工业企业本年应交增值税,有色金属矿采选业大中型工业企业本年应交增值税,非金属矿采选业大中型工业企业本年应交增值税,开采辅助活动大中型工业企业本年应交增值税,其他采矿业大中型工业企业本年应交增值税,农副食品加工业大中型工业企业本年应交增值税,食品制造业大中型工业企业本年应交增值税,酒、饮料和精制茶制造业大中型工业企业本年应交增值税,烟草制品业大中型工业企业本年应交增值税,纺织业大中型工业企业本年应交增值税,纺织服装、服饰业大中型工业企业本年应交增值税,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业本年应交增值税,木材加工和木、竹、藤、棕、草制品业大中型工业企业本年应交增值税,家具制造业大中型工业企业本年应交增值税,造纸和纸制品业大中型工业企业本年应交增值税,印刷和记录媒介复制业大中型工业企业本年应交增值税,文教、工美、体育和娱乐用品制造业大中型工业企业本年应交增值税,石油加工、炼焦和核燃料加工业大中型工业企业本年应交增值税,化学原料和化学制品制造业大中型工业企业本年应交增值税,医药制造业大中型工业企业本年应交增值税,化学纤维制造业大中型工业企业本年应交增值税,橡胶和塑料制品业大中型工业企业本年应交增值税,非金属矿物制品业大中型工业企业本年应交增值税,黑色金属冶炼和压延加工业大中型工业企业本年应交增值税,有色金属冶炼和压延加工业大中型工业企业本年应交增值税,金属制品业大中型工业企业本年应交增值税,通用设备制造业大中型工业企业本年应交增值税,专用设备制造业大中型工业企业本年应交增值税,汽车制造业大中型工业企业本年应交增值税,铁路、船舶、航空航天和其他运输设备大中型工业企业本年应交增值税,电气机械和器材制造业大中型工业企业本年应交增值税,计算机、通信和其他电子设备制造业大中型工业企业本年应交增值税,仪器仪表制造业大中型工业企业本年应交增值税,其他制造业大中型工业企业本年应交增值税,废弃资源综合利用业大中型工业企业本年应交增值税,金属制品、机械和设备修理业大中型工业企业本年应交增值税,电力、热力生产和供应业大中型工业企业本年应交增值税,燃气生产和供应业大中型工业企业本年应交增值税,水的生产和供应业大中型工业企业本年应交增值税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,23143.9,1458.75,1086.29,274.73,105.2,61.65,86.22,0.16,576.59,455.48,465.73,1042.02,562.16,367.21,246.45,120.74,107.2,206.85,88.46,167.76,1424.61,1306.36,815.06,115.59,343.05,843.68,1162.51,710.49,434.32,675.3,521.19,1858.13,352.49,1283.32,1498.31,168.61,42.92,52.19,12.95,1953.7,56.8,32.67
2013,22832.21,1775.75,1036.68,280.98,108.64,65.59,86.7,0.27,616.88,451.44,488.67,989.43,532.61,346.16,237.03,113.69,96.43,201.9,82.69,152.41,1431.64,1211.1,705.86,115.2,335.43,845.81,1282.23,665.96,397.85,669.57,557.68,1669.43,345.1,1172.76,1472.76,151.25,37.75,48.06,12.51,1942.62,58.53,39.12
2012,20514.67,1908.35938,1048.46994,249.75753,112.65915,55.44469,45.03975,0.31406,516.95932,397.56674,459.34167,913.90572,464.00442,310.78505,200.69472,89.86978,84.41994,198.04232,62.56364,118.55532,1223.69783,1037.52475,594.38112,96.89912,274.58699,710.81584,1251.3151,615.5732,341.72117,616.28767,465.74692,1260.76221,329.5623,998.65402,1381.37085,130.8899,31.5273,41.49071,14.2121,1784.76184,40.22933,35.90253
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
