年份,大中型工业企业存货,煤炭开采和洗选业大中型工业企业存货,石油和天然气开采业大中型工业企业存货,黑色金属矿采选业大中型工业企业存货,有色金属矿采选业大中型工业企业存货,非金属矿采选业大中型工业企业存货,开采辅助活动大中型工业企业存货,其他采矿业大中型工业企业存货,农副食品加工业大中型工业企业存货,食品制造业大中型工业企业存货,酒、饮料和精制茶制造业大中型工业企业存货,烟草制品业大中型工业企业存货,纺织业大中型工业企业存货,纺织服装、服饰业大中型工业企业存货,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业存货,木材加工和木、竹、藤、棕、草制品业大中型工业企业存货,家具制造业大中型工业企业存货,造纸和纸制品业大中型工业企业存货,印刷和记录媒介复制业大中型工业企业存货,文教、工美、体育和娱乐用品制造业大中型工业企业存货,石油加工、炼焦和核燃料加工业大中型工业企业存货,化学原料和化学制品制造业大中型工业企业存货,医药制造业大中型工业企业存货,化学纤维制造业大中型工业企业存货,橡胶和塑料制品业大中型工业企业存货,非金属矿物制品业大中型工业企业存货,黑色金属冶炼和压延加工业大中型工业企业存货,有色金属冶炼和压延加工业大中型工业企业存货,金属制品业大中型工业企业存货,通用设备制造业大中型工业企业存货,专用设备制造业大中型工业企业存货,汽车制造业大中型工业企业存货,铁路、船舶、航空航天和其他运输设备大中型工业企业存货,电气机械和器材制造业大中型工业企业存货,计算机、通信和其他电子设备制造业大中型工业企业存货,仪器仪表制造业大中型工业企业存货,其他制造业大中型工业企业存货,废弃资源综合利用业大中型工业企业存货,金属制品、机械和设备修理业大中型工业企业存货,电力、热力生产和供应业大中型工业企业存货,燃气生产和供应业大中型工业企业存货,水的生产和供应业大中型工业企业存货
2019,78716.17,868.84,192.18,140.97,151.47,72.96,169.88,,1973.03,1005.67,1954.13,4180.18,1571.87,1087.09,525.72,202,400.76,754.39,271.1,1164.54,3903.73,3551.63,3033.53,632.58,1343.85,1866.1,6039.34,4553.02,2074.97,4238.74,3864.9,5485.78,3352.07,5096.52,10309.22,790.46,231.18,140.67,213.79,1073.01,123.81,110.03
2018,81197.02,1399.2,200.3,197.1,216.9,65.4,107.4,,2139.3,973.9,1972.7,4390.7,1898.3,1304.4,598.5,254.6,422.2,875.0,271.9,1163.8,3583.3,3960.8,2949.2,665.4,1512.8,1915.3,6079.8,4411.2,1921.8,4227.7,3947.1,6079.3,1928.5,5469.5,9821.6,773.8,87.5,151.5,161.3,980.9,140.6,80.3
2017,77583.57,1528.47,194.37,185.32,232.49,78.68,118.56,,2200.59,869.38,1774.47,4444.25,1959.71,1255.3,593.56,278.5,438.97,809.17,277.63,1062.89,3045.11,3804.14,2509.28,650.95,1455.02,1932.66,5967.44,4755.23,1748.55,3926.15,3651.39,5758.92,3278.47,5533.5,8830.25,803.23,261.4,102.06,159.15,916.25,125.59,64.92
2016,73915.48,1724.38,224.88,224.29,272.36,91.25,160.55,,2281.18,843.92,1788.73,4279.26,2080.35,1314.33,666.67,286.67,413.14,710.93,249.21,983.95,2742.74,3795.87,2167.94,574.55,1329.96,1888.38,5876.91,4355.03,1691.1,3941.81,3388.77,4954.75,3453.26,4682.19,8273.72,695.91,269.03,62.13,162.88,843.21,115.37,53.65
2015,70757.81,1956.36,251.72,271.37,287.78,86.1,194.54,0.05,2297.95,825.81,1734.41,4026.06,2110.22,1282.53,684.94,284.62,394.62,761.41,243.18,922.41,2455.73,3799.01,1954.1,591.98,1255.98,1898.75,5632.22,4097.37,1685.29,3960.08,3369.27,4449.29,3321.95,4334.58,7211.11,669.48,321.25,72.36,124.23,787.5,102.2,48.04
2014,72064.09,2114.84,288.93,319.42,269.48,90.63,202.05,0.06,2385.62,815.98,1708.42,3605.48,2125.59,1265.11,704.24,281.25,395.75,764.57,231.76,922.58,3098.02,3909.38,1764.08,555.46,1279.07,1937.66,6686.54,4328.65,1822.54,4106.6,3176.28,4461.38,3096.44,4376.28,6715.1,691.0,326.2,81.68,84.32,919.58,106.33,49.75
2013,68989.02,1839.03,282.87,289.02,232.26,79.68,216.88,0.09,2322.8,731.23,1521.67,3229.53,2134.05,1247.24,649.28,275.89,378.31,741.69,226.76,895.18,3698.09,3687.52,1542.43,596.49,1212.69,1925.25,7394.46,4286.78,1739.09,3847.19,3197.33,3805.44,2570.11,4296.17,5747.13,632.37,300.25,77.74,105.71,892.88,97.3,43.18
2012,63992.37378,1632.33465,271.79139,259.42235,233.64808,72.81321,218.93828,0.19204,2022.25145,676.64608,1275.83787,2609.71894,1972.90727,1182.6254,613.65298,223.18993,338.72603,751.27061,205.52432,764.45875,3303.16402,3471.02373,1364.08278,580.35148,1126.54213,1809.97265,6776.75749,4046.67001,1575.86579,3603.17212,3015.37696,3536.37839,2730.48819,4066.15725,5650.69224,601.71051,188.04948,73.08385,109.53354,914.01068,90.94551,32.39535
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
