年份,大中型工业企业工业销售产值(现价),煤炭开采和洗选业大中型工业企业工业销售产值(现价),石油和天然气开采业大中型工业企业工业销售产值(现价),黑色金属矿采选业大中型工业企业工业销售产值(现价),有色金属矿采选业大中型工业企业工业销售产值(现价),非金属矿采选业大中型工业企业工业销售产值(现价),开采辅助活动大中型工业企业工业销售产值(现价),其他采矿业大中型工业企业工业销售产值(现价),农副食品加工业大中型工业企业工业销售产值(现价),食品制造业大中型工业企业工业销售产值(现价),酒、饮料和精制茶制造业大中型工业企业工业销售产值(现价),烟草制品业大中型工业企业工业销售产值(现价),纺织业大中型工业企业工业销售产值(现价),纺织服装、服饰业大中型工业企业工业销售产值(现价),皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业工业销售产值(现价),木材加工和木、竹、藤、棕、草制品业大中型工业企业工业销售产值(现价),家具制造业大中型工业企业工业销售产值(现价),造纸和纸制品业大中型工业企业工业销售产值(现价),印刷和记录媒介复制业大中型工业企业工业销售产值(现价),文教、工美、体育和娱乐用品制造业大中型工业企业工业销售产值(现价),石油加工、炼焦和核燃料加工业大中型工业企业工业销售产值(现价),化学原料和化学制品制造业大中型工业企业工业销售产值(现价),医药制造业大中型工业企业工业销售产值(现价),化学纤维制造业大中型工业企业工业销售产值(现价),橡胶和塑料制品业大中型工业企业工业销售产值(现价),非金属矿物制品业大中型工业企业工业销售产值(现价),黑色金属冶炼和压延加工业大中型工业企业工业销售产值(现价),有色金属冶炼和压延加工业大中型工业企业工业销售产值(现价),金属制品业大中型工业企业工业销售产值(现价),通用设备制造业大中型工业企业工业销售产值(现价),专用设备制造业大中型工业企业工业销售产值(现价),汽车制造业大中型工业企业工业销售产值(现价),铁路、船舶、航空航天和其他运输设备大中型工业企业工业销售产值(现价),电气机械和器材制造业大中型工业企业工业销售产值(现价),计算机、通信和其他电子设备制造业大中型工业企业工业销售产值(现价),仪器仪表制造业大中型工业企业工业销售产值(现价),其他制造业大中型工业企业工业销售产值(现价),废弃资源综合利用业大中型工业企业工业销售产值(现价),金属制品、机械和设备修理业大中型工业企业工业销售产值(现价),电力、热力生产和供应业大中型工业企业工业销售产值(现价),燃气生产和供应业大中型工业企业工业销售产值(现价),水的生产和供应业大中型工业企业工业销售产值(现价)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,708598.23,13776.67,6492.12,2999.17,3438.72,1298.85,1249.7,,28478.42,14148.99,11475.91,8173.76,21997.34,13524.42,8896.35,4458.65,4276.03,7964.73,2884.87,8553.12,29854.69,47423.26,18697.28,5637.09,15419.52,23295.34,46934.75,32252.74,16726.7,23284.64,18681.35,64321.72,15200.26,48397.24,84555.23,5254.68,1430.92,1462.19,897.31,41235.9,2447.22,1095.66
2015,680389.72,14810.29,7743.13,3348.46,3482.67,1331.03,1349.86,7.72,27806.94,13047.95,10765.8,8894.0,21804.88,12519.28,8692.99,4061.73,3795.65,7638.44,2814.45,7905.4,30062.42,45334.41,16717.31,5137.09,14698.41,22055.56,46800.92,30903.77,15873.39,23158.15,18259.32,55215.97,15151.95,45174.81,79774.1,4984.85,1523.46,1293.28,668.16,42473.27,2325.37,983.07
2014,685975.78,18431.39,11381.05,4112.99,3263.36,1305.83,1582.43,6.37,27745.08,11892.69,10120.16,8581.3,20819.68,11911.58,8305.86,3905.69,3585.48,7350.8,2509.41,7295.39,36220.29,45470.21,14917.31,5000.55,14169.61,22374.06,55314.39,30167.92,15852.31,23629.14,18119.93,52844.36,14185.27,43357.07,75130.16,4807.97,1412.58,1184.3,542.14,44130.67,2168.12,870.88
2013,645924.03,20377.77,11065.54,4044.49,2969.95,1271.23,1645.88,6.16,26744.52,10956.83,9474.05,8161.22,19538.06,10972.84,7633.13,3412.97,3264.3,6832.47,2238.16,6621.11,35314.35,41828.59,12590.46,5014.86,12957.99,20494.8,56464.49,27362.36,14441.25,22328.51,17372.88,46779.91,12387.4,39625.72,67259.21,4292.02,1255.44,1000.1,617.83,46728.74,1778.76,797.7
2012,585552.24083,21697.50567,11409.74894,3584.47752,2715.60017,1098.0745,1137.03617,7.85489,22680.55039,9395.03585,8500.44017,7486.73475,17207.53068,9816.29632,6936.17406,2683.04582,2749.47087,6689.94517,1723.52828,5488.84398,34571.3118,36211.81551,10601.86084,4905.56021,11246.52819,17410.4937,53589.95564,23920.56764,12727.76275,19775.76704,15602.47945,40142.51006,12478.85611,34828.94755,61916.21963,3845.17628,1155.20913,933.09293,589.69196,43724.36088,1645.61693,720.5624
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
