年份,大中型工业企业集体资本金,煤炭开采和洗选业大中型工业企业集体资本金,石油和天然气开采业大中型工业企业集体资本金,黑色金属矿采选业大中型工业企业集体资本金,有色金属矿采选业大中型工业企业集体资本金,非金属矿采选业大中型工业企业集体资本金,开采辅助活动大中型工业企业集体资本金,其他采矿业大中型工业企业集体资本金,农副食品加工业大中型工业企业集体资本金,食品制造业大中型工业企业集体资本金,酒、饮料和精制茶制造业大中型工业企业集体资本金,烟草制品业大中型工业企业集体资本金,纺织业大中型工业企业集体资本金,纺织服装、服饰业大中型工业企业集体资本金,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业集体资本金,木材加工和木、竹、藤、棕、草制品业大中型工业企业集体资本金,家具制造业大中型工业企业集体资本金,造纸和纸制品业大中型工业企业集体资本金,印刷和记录媒介复制业大中型工业企业集体资本金,文教、工美、体育和娱乐用品制造业大中型工业企业集体资本金,石油加工、炼焦和核燃料加工业大中型工业企业集体资本金,化学原料和化学制品制造业大中型工业企业集体资本金,医药制造业大中型工业企业集体资本金,化学纤维制造业大中型工业企业集体资本金,橡胶和塑料制品业大中型工业企业集体资本金,非金属矿物制品业大中型工业企业集体资本金,黑色金属冶炼和压延加工业大中型工业企业集体资本金,有色金属冶炼和压延加工业大中型工业企业集体资本金,金属制品业大中型工业企业集体资本金,通用设备制造业大中型工业企业集体资本金,专用设备制造业大中型工业企业集体资本金,汽车制造业大中型工业企业集体资本金,铁路、船舶、航空航天和其他运输设备大中型工业企业集体资本金,电气机械和器材制造业大中型工业企业集体资本金,计算机、通信和其他电子设备制造业大中型工业企业集体资本金,仪器仪表制造业大中型工业企业集体资本金,其他制造业大中型工业企业集体资本金,废弃资源综合利用业大中型工业企业集体资本金,金属制品、机械和设备修理业大中型工业企业集体资本金,电力、热力生产和供应业大中型工业企业集体资本金,燃气生产和供应业大中型工业企业集体资本金,水的生产和供应业大中型工业企业集体资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2195.78,133.96,0.3,6.48,29.51,6.09,2.23,,56.67,45.82,35.45,1.61,35.3,19.16,9.47,14.67,7.76,29.26,5.79,8.55,35.02,208.63,96.51,6.36,30.36,146.05,187.52,173.75,41.22,61.66,79.93,97.93,21.46,219.33,118.92,22.54,13.54,12.11,23.88,135.35,7.75,7.85
2016,2385.73,73.61,,10.41,25.48,11.03,3.07,,97.84,58.76,36.98,13.65,97.51,12.88,9.17,4.67,6.64,34.9,11.7,9.71,40.83,201.1,47.98,10.68,39.77,132.85,451.99,134.31,65.24,55.02,75.91,99.74,11.64,213.61,115.16,11.54,0.76,3.55,0.71,124.18,24.54,6.58
2015,2226.84,93.7,0.29,17.84,29.51,5.92,3.25,0.0,66.41,57.63,28.5,13.43,44.06,12.79,8.28,2.09,3.08,32.91,9.56,11.35,61.42,340.44,42.93,7.6,18.04,129.09,502.93,77.16,40.66,67.68,49.67,128.63,28.06,108.38,76.95,7.78,3.83,3.19,6.13,60.01,17.4,8.24
2014,1980.31,151.59,0.3,11.72,25.85,10.17,13.63,0.0,68.56,52.32,21.21,2.0,31.22,12.26,7.0,2.24,5.33,44.53,9.92,16.66,82.14,169.64,42.01,7.65,54.11,124.46,420.93,56.94,46.68,57.08,102.74,75.85,21.39,71.55,54.05,8.41,0.75,13.13,7.26,64.4,8.83,3.81
2013,1924.6,197.1,0.29,14.14,32.65,6.81,13.82,0.0,67.8,30.12,24.94,2.1,38.69,11.52,13.98,4.1,4.97,56.68,9.15,7.8,45.36,191.46,71.84,4.89,32.21,108.78,417.42,38.74,39.79,73.67,44.74,49.36,18.45,117.75,50.17,3.63,0.79,5.1,7.58,41.36,9.86,14.95
2012,1836.70846,295.12803,0.29957,6.49932,43.60215,5.83144,13.57527,0.005,47.04113,18.16075,27.12227,2.08376,39.89285,13.42633,8.20886,7.85387,2.74091,51.06688,8.21046,8.09411,25.17272,100.9267,62.0799,16.58462,20.44751,109.31896,389.47041,58.29981,15.00929,56.01651,23.36749,54.13145,21.39815,130.90101,54.69684,6.76126,0.55434,9.11838,7.50915,60.75433,8.52208,6.82459
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
