年份,大中型工业企业出口交货值,煤炭开采和洗选业大中型工业企业出口交货值,石油和天然气开采业大中型工业企业出口交货值,黑色金属矿采选业大中型工业企业出口交货值,有色金属矿采选业大中型工业企业出口交货值,非金属矿采选业大中型工业企业出口交货值,开采辅助活动大中型工业企业出口交货值,其他采矿业大中型工业企业出口交货值,农副食品加工业大中型工业企业出口交货值,食品制造业大中型工业企业出口交货值,酒、饮料和精制茶制造业大中型工业企业出口交货值,烟草制品业大中型工业企业出口交货值,纺织业大中型工业企业出口交货值,纺织服装、服饰业大中型工业企业出口交货值,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业出口交货值,木材加工和木、竹、藤、棕、草制品业大中型工业企业出口交货值,家具制造业大中型工业企业出口交货值,造纸和纸制品业大中型工业企业出口交货值,印刷和记录媒介复制业大中型工业企业出口交货值,文教、工美、体育和娱乐用品制造业大中型工业企业出口交货值,石油加工、炼焦和核燃料加工业大中型工业企业出口交货值,化学原料和化学制品制造业大中型工业企业出口交货值,医药制造业大中型工业企业出口交货值,化学纤维制造业大中型工业企业出口交货值,橡胶和塑料制品业大中型工业企业出口交货值,非金属矿物制品业大中型工业企业出口交货值,黑色金属冶炼和压延加工业大中型工业企业出口交货值,有色金属冶炼和压延加工业大中型工业企业出口交货值,金属制品业大中型工业企业出口交货值,通用设备制造业大中型工业企业出口交货值,专用设备制造业大中型工业企业出口交货值,汽车制造业大中型工业企业出口交货值,铁路、船舶、航空航天和其他运输设备大中型工业企业出口交货值,电气机械和器材制造业大中型工业企业出口交货值,计算机、通信和其他电子设备制造业大中型工业企业出口交货值,仪器仪表制造业大中型工业企业出口交货值,其他制造业大中型工业企业出口交货值,废弃资源综合利用业大中型工业企业出口交货值,金属制品、机械和设备修理业大中型工业企业出口交货值,电力、热力生产和供应业大中型工业企业出口交货值,燃气生产和供应业大中型工业企业出口交货值,水的生产和供应业大中型工业企业出口交货值
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,94719.03,15.16,7.97,,8.42,3.6,2.48,,1513.71,666.61,124.46,36.85,2165.06,3146.08,2349.73,453.06,1149.64,388.69,348.96,2715.08,465.87,2847.19,1121.28,474.08,2605.35,1117.54,2071.06,778.47,2250.0,3517.33,1997.99,2620.87,3082.61,8170.82,44696.61,1018.66,312.45,4.99,373.59,19.95,36.26,40.51
2015,93786.73,13.24,13.74,10.98,7.25,9.1,102.63,0.0,1602.3,632.44,128.29,38.27,2343.09,3184.31,2443.23,372.98,1029.24,384.66,321.71,2760.82,489.04,2726.49,1008.28,398.23,2525.9,1161.51,2132.13,768.22,2326.22,3538.65,1942.68,2413.48,3317.9,8140.66,43867.46,1007.45,380.92,6.71,184.74,7.14,8.56,36.09
2014,96019.61,46.6,19.33,0.0,3.11,6.63,19.1,0.0,1657.57,584.41,160.13,33.57,2501.76,3214.81,2462.75,353.09,1035.13,418.22,311.18,2805.24,537.51,2803.41,1001.07,424.68,2746.95,1195.78,2589.39,864.27,2500.27,3757.16,2351.92,2500.21,3226.02,8082.46,44277.94,938.37,382.0,0.67,147.1,17.15,9.16,33.5
2013,90703.12,105.37,17.35,0.08,0.75,9.11,16.02,0.0,1867.0,590.28,137.04,35.63,2529.23,2972.27,2302.71,400.13,918.69,410.46,281.45,2298.25,516.44,2522.02,903.28,408.23,2648.6,1128.08,1958.92,814.21,2262.15,3647.47,2198.56,2277.25,3133.63,7737.69,42134.62,853.54,350.89,0.0,142.35,131.06,10.64,31.67
2012,87591.85897,57.04055,34.05055,0.09695,5.95805,5.58047,29.72492,,1465.82623,545.89886,142.56757,34.62755,2391.31155,2772.29841,2235.25176,343.59142,870.61412,439.09686,241.09946,2150.34244,367.77264,2345.94449,864.46824,411.69441,2496.61354,1201.0168,2024.94249,817.81654,2130.13689,3599.88379,2138.42942,2310.91006,3337.64319,7507.49482,40915.20546,773.7652,341.1031,,147.87975,51.43402,12.1786,30.5478
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
