年份,大中型工业企业应交所得税,煤炭开采和洗选业大中型工业企业应交所得税,石油和天然气开采业大中型工业企业应交所得税,黑色金属矿采选业大中型工业企业应交所得税,有色金属矿采选业大中型工业企业应交所得税,非金属矿采选业大中型工业企业应交所得税,开采辅助活动大中型工业企业应交所得税,其他采矿业大中型工业企业应交所得税,农副食品加工业大中型工业企业应交所得税,食品制造业大中型工业企业应交所得税,酒、饮料和精制茶制造业大中型工业企业应交所得税,烟草制品业大中型工业企业应交所得税,纺织业大中型工业企业应交所得税,纺织服装、服饰业大中型工业企业应交所得税,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业应交所得税,木材加工和木、竹、藤、棕、草制品业大中型工业企业应交所得税,家具制造业大中型工业企业应交所得税,造纸和纸制品业大中型工业企业应交所得税,印刷和记录媒介复制业大中型工业企业应交所得税,文教、工美、体育和娱乐用品制造业大中型工业企业应交所得税,石油加工、炼焦和核燃料加工业大中型工业企业应交所得税,化学原料和化学制品制造业大中型工业企业应交所得税,医药制造业大中型工业企业应交所得税,化学纤维制造业大中型工业企业应交所得税,橡胶和塑料制品业大中型工业企业应交所得税,非金属矿物制品业大中型工业企业应交所得税,黑色金属冶炼和压延加工业大中型工业企业应交所得税,有色金属冶炼和压延加工业大中型工业企业应交所得税,金属制品业大中型工业企业应交所得税,通用设备制造业大中型工业企业应交所得税,专用设备制造业大中型工业企业应交所得税,汽车制造业大中型工业企业应交所得税,铁路、船舶、航空航天和其他运输设备大中型工业企业应交所得税,电气机械和器材制造业大中型工业企业应交所得税,计算机、通信和其他电子设备制造业大中型工业企业应交所得税,仪器仪表制造业大中型工业企业应交所得税,其他制造业大中型工业企业应交所得税,废弃资源综合利用业大中型工业企业应交所得税,金属制品、机械和设备修理业大中型工业企业应交所得税,电力、热力生产和供应业大中型工业企业应交所得税,燃气生产和供应业大中型工业企业应交所得税,水的生产和供应业大中型工业企业应交所得税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,6926.13,274.14,269.73,80.53,39.47,14.68,15.07,0.06,149.73,144.98,235.89,284.09,179.94,140.61,62.44,28.27,28.34,57.9,35.21,49.38,72.4,413.34,258.18,28.71,153.15,272.19,206.92,134.67,140.39,271.03,179.37,914.64,127.78,425.77,530.99,68.52,12.7,6.38,2.12,557.35,38.7,20.37
2013,6534.5,420.57,263.51,105.04,48.26,14.79,11.6,0.15,148.57,161.39,253.2,287.97,174.7,130.27,59.3,28.55,28.7,62.86,33.37,45.46,112.48,376.23,219.78,23.66,146.9,251.01,174.16,129.03,134.3,253.92,183.83,735.71,103.89,370.76,409.5,62.04,13.2,3.85,4.68,492.35,39.62,15.33
2012,6030.04612,572.33778,377.58422,85.52239,76.05374,15.23882,7.13265,0.22556,127.62906,133.60926,246.62624,256.48921,143.46195,115.97756,60.31058,25.04141,24.34063,60.35018,27.28327,40.97641,79.79452,336.17823,188.32327,23.50836,107.92244,211.50307,199.18364,148.51582,120.01031,227.52644,179.14328,506.53482,107.06921,334.40989,374.31533,53.93279,10.54081,4.54062,3.94734,377.45959,28.11544,11.37998
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
