年份,大中型工业企业主营业务成本,煤炭开采和洗选业大中型工业企业主营业务成本,石油和天然气开采业大中型工业企业主营业务成本,黑色金属矿采选业大中型工业企业主营业务成本,有色金属矿采选业大中型工业企业主营业务成本,非金属矿采选业大中型工业企业主营业务成本,开采辅助活动大中型工业企业主营业务成本,其他采矿业大中型工业企业主营业务成本,农副食品加工业大中型工业企业主营业务成本,食品制造业大中型工业企业主营业务成本,酒、饮料和精制茶制造业大中型工业企业主营业务成本,烟草制品业大中型工业企业主营业务成本,纺织业大中型工业企业主营业务成本,纺织服装、服饰业大中型工业企业主营业务成本,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业主营业务成本,木材加工和木、竹、藤、棕、草制品业大中型工业企业主营业务成本,家具制造业大中型工业企业主营业务成本,造纸和纸制品业大中型工业企业主营业务成本,印刷和记录媒介复制业大中型工业企业主营业务成本,文教、工美、体育和娱乐用品制造业大中型工业企业主营业务成本,石油加工、炼焦和核燃料加工业大中型工业企业主营业务成本,化学原料和化学制品制造业大中型工业企业主营业务成本,医药制造业大中型工业企业主营业务成本,化学纤维制造业大中型工业企业主营业务成本,橡胶和塑料制品业大中型工业企业主营业务成本,非金属矿物制品业大中型工业企业主营业务成本,黑色金属冶炼和压延加工业大中型工业企业主营业务成本,有色金属冶炼和压延加工业大中型工业企业主营业务成本,金属制品业大中型工业企业主营业务成本,通用设备制造业大中型工业企业主营业务成本,专用设备制造业大中型工业企业主营业务成本,汽车制造业大中型工业企业主营业务成本,铁路、船舶、航空航天和其他运输设备大中型工业企业主营业务成本,电气机械和器材制造业大中型工业企业主营业务成本,计算机、通信和其他电子设备制造业大中型工业企业主营业务成本,仪器仪表制造业大中型工业企业主营业务成本,其他制造业大中型工业企业主营业务成本,废弃资源综合利用业大中型工业企业主营业务成本,金属制品、机械和设备修理业大中型工业企业主营业务成本,电力、热力生产和供应业大中型工业企业主营业务成本,燃气生产和供应业大中型工业企业主营业务成本,水的生产和供应业大中型工业企业主营业务成本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,600748.01,13077.66,5372.21,1595.75,2221.68,563.9,1401.51,,21259.66,9988.84,7025.06,2337.2,17269.15,9571.09,6776.51,3320.39,3498.31,6514.44,2305.69,6629.99,28133.25,37482.33,11014.89,5018.55,11826.66,17419.56,46229.19,34055.65,12989.41,18284.3,14637.9,57388.65,10565.51,39316.55,80607.26,4775.09,1036.75,1240.28,690.63,44200.51,2141.71,950.73
2016,607782.7,12917.56,5344.81,2456.62,2875.48,993.09,1477.44,,25527.49,11266.85,7980.74,2274.36,20168.01,11507.38,7587.57,3734.92,3537.74,6685.24,2362.6,7593.83,22735.45,40779.3,12471.92,4968.29,12902.82,19248.13,44259.59,33897.85,14181.8,19338.23,15480.86,54488.11,12319.15,40074.95,75685.75,4273.6,1185.02,1321.36,754.25,38221.78,2039.95,859.97
2015,585638.33,14975.62,5265.74,2867.56,2933.87,1019.03,1450.18,6.35,24783.44,10268.01,7607.96,2361.27,20004.69,10529.41,7390.28,3401.26,3103.76,6405.42,2263.29,7062.98,23738.82,38927.12,11370.1,4570.08,12320.12,18326.38,45655.97,33385.17,13498.47,19242.62,15209.18,46725.21,12512.76,37744.21,70400.48,3893.19,1260.29,1160.27,549.65,38645.59,2024.46,778.07
2014,595485.72,18883.87,5483.0,3317.31,2659.77,995.02,1750.62,4.95,24925.25,9603.92,7183.82,2232.16,18997.77,9985.27,7098.46,3283.29,2922.26,6246.56,2013.45,6580.41,31914.68,39791.43,10142.39,4548.32,11990.93,18470.14,53901.38,32364.8,13556.55,19677.09,15092.31,44682.17,11902.47,36731.91,66643.45,3875.05,1176.08,1092.67,458.64,40664.1,1944.75,697.24
2013,561075.77,19169.63,5381.8,3312.83,2445.51,975.42,1761.69,4.6,24143.62,8682.46,6638.88,2007.03,17689.71,9145.95,6540.06,2900.15,2716.79,5768.56,1797.55,5899.16,31219.32,36520.21,8645.7,4683.31,10935.32,16910.51,55591.29,29406.02,12405.98,18803.83,14628.91,39562.56,10321.65,33515.09,60811.27,3429.26,1066.14,918.09,502.09,42037.76,1547.35,632.68
2012,506603.97,19115.85305,4733.27718,2994.11309,2078.00475,814.61735,1228.49858,5.5484,20382.92661,7208.66298,5933.83856,1869.8243,15383.90626,8079.57612,5891.45111,2264.40115,2286.4425,5671.14529,1392.98906,4873.6176,30586.0299,31814.47239,7260.03382,4607.75384,9553.89541,14357.37853,52786.46728,25069.66766,10861.87159,16538.27148,13071.06395,34428.37324,10418.91272,29484.58364,56040.80293,3073.5195,997.47262,840.60831,479.62472,40146.95457,1418.692,558.82098
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
