年份,大中型工业企业所有者权益合计,煤炭开采和洗选业大中型工业企业所有者权益合计,石油和天然气开采业大中型工业企业所有者权益合计,黑色金属矿采选业大中型工业企业所有者权益合计,有色金属矿采选业大中型工业企业所有者权益合计,非金属矿采选业大中型工业企业所有者权益合计,开采辅助活动大中型工业企业所有者权益合计,其他采矿业大中型工业企业所有者权益合计,农副食品加工业大中型工业企业所有者权益合计,食品制造业大中型工业企业所有者权益合计,酒、饮料和精制茶制造业大中型工业企业所有者权益合计,烟草制品业大中型工业企业所有者权益合计,纺织业大中型工业企业所有者权益合计,纺织服装、服饰业大中型工业企业所有者权益合计,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业所有者权益合计,木材加工和木、竹、藤、棕、草制品业大中型工业企业所有者权益合计,家具制造业大中型工业企业所有者权益合计,造纸和纸制品业大中型工业企业所有者权益合计,印刷和记录媒介复制业大中型工业企业所有者权益合计,文教、工美、体育和娱乐用品制造业大中型工业企业所有者权益合计,石油加工、炼焦和核燃料加工业大中型工业企业所有者权益合计,化学原料和化学制品制造业大中型工业企业所有者权益合计,医药制造业大中型工业企业所有者权益合计,化学纤维制造业大中型工业企业所有者权益合计,橡胶和塑料制品业大中型工业企业所有者权益合计,非金属矿物制品业大中型工业企业所有者权益合计,黑色金属冶炼和压延加工业大中型工业企业所有者权益合计,有色金属冶炼和压延加工业大中型工业企业所有者权益合计,金属制品业大中型工业企业所有者权益合计,通用设备制造业大中型工业企业所有者权益合计,专用设备制造业大中型工业企业所有者权益合计,汽车制造业大中型工业企业所有者权益合计,铁路、船舶、航空航天和其他运输设备大中型工业企业所有者权益合计,电气机械和器材制造业大中型工业企业所有者权益合计,计算机、通信和其他电子设备制造业大中型工业企业所有者权益合计,仪器仪表制造业大中型工业企业所有者权益合计,其他制造业大中型工业企业所有者权益合计,废弃资源综合利用业大中型工业企业所有者权益合计,金属制品、机械和设备修理业大中型工业企业所有者权益合计,电力、热力生产和供应业大中型工业企业所有者权益合计,燃气生产和供应业大中型工业企业所有者权益合计,水的生产和供应业大中型工业企业所有者权益合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,346207.96,15187.8,9287.45,2875.81,1807.31,628.6,1178.4,,7304.22,5174.49,6984.57,7512.91,6408.46,4420.39,2436.81,1156.68,1638.03,4404.84,1642.16,2308.01,9331.47,21527.18,14140.34,2400.87,6622.21,11984.04,19536.48,12310.47,6211.82,11982.87,11073.99,25609.77,7211.46,20402.89,31823.92,3383.97,683.85,301.59,667.71,40452.76,2373.42,3814.85
2016,328841.58,14121.55,10300.08,3294.24,1639.18,762.53,1335.76,,7928.4,5305.0,6536.87,7038.98,7168.39,4867.85,2665.93,1256.02,1514.55,4315.65,1579.91,2398.49,8082.55,20885.79,12977.97,2349.25,6558.68,11696.49,18744.08,11606.53,6421.91,11873.33,10407.77,23545.45,6863.43,18997.97,28376.82,3102.28,662.58,282.3,623.89,35179.83,2006.03,3563.97
2015,301947.71,14684.47,10497.16,3318.64,1688.47,775.92,1204.38,3.18,7533.45,5056.26,6047.6,6280.0,6987.98,4422.83,2631.79,1178.39,1295.63,4073.96,1480.09,2165.46,7295.04,19131.46,10676.73,2003.46,5969.26,10927.17,17616.26,10439.0,5890.0,11507.02,10021.55,20483.03,6472.25,16588.78,23813.43,2743.64,691.73,223.62,427.5,32622.89,1846.11,3232.1
2014,280911.93,15329.59,10569.0,3163.37,1575.4,698.65,1160.82,2.95,7075.33,4386.46,5505.27,6146.72,6691.16,4173.48,2452.54,1079.32,1200.95,3869.56,1319.77,1889.24,7124.46,17627.27,8894.54,1785.39,5407.74,10330.42,18800.55,10302.46,6629.05,10681.54,9230.14,18454.82,6444.27,14541.93,20771.54,2432.73,634.13,216.96,345.67,27838.73,1676.72,2451.34
2013,254573.24,14935.03,9766.85,2999.91,1382.11,611.29,1206.52,2.07,6125.35,3806.81,4876.91,5631.95,6150.12,3694.41,2179.93,942.44,1111.46,3737.03,1160.56,1672.01,6777.39,16082.2,7389.11,1711.19,4697.2,9344.65,17786.39,9068.51,5311.03,9816.04,8646.37,16503.07,5408.77,13424.09,17711.96,2129.9,556.75,168.09,379.59,26204.66,1198.48,2265.04
2012,229421.94,15314.91814,8531.0864,2722.03181,1336.70445,528.89213,909.18274,4.15701,5170.0594,3303.55098,4190.40906,5030.70128,5647.29893,3221.41572,1987.78183,788.69997,915.19375,3404.47258,1002.98629,1380.39252,6367.68635,14408.22622,6405.46815,1665.22799,3952.72051,8351.28954,16298.82459,8214.36414,4462.7482,8581.15891,7464.16017,14672.5472,5197.18637,11902.89649,16224.07424,1939.10196,501.67792,160.1839,373.0601,23689.40075,1165.35447,2034.64205
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
