省份编码,省份,年份,自然保护区个数(个),国家级自然保护区个数(个),自然保护区面积(万公顷),国家级自然保护区面积(万公顷),自然保护区占辖区面积比重(%)
110000,北京市,2019,,2,,2.8,
110000,北京市,2018,,2,,2.795636,
110000,北京市,2017,20,,13.4782,,8.21
110000,北京市,2016,20,,13.5519,,8.26
110000,北京市,2015,20,2,13.3966,2.6403,
110000,北京市,2014,20,2,13.3966,2.6403,
110000,北京市,2013,20,2,13.3966,2.6403,7.97
110000,北京市,2012,20,2,13.3966,2.6403,7.97
110000,北京市,2011,20,2,13.3966,2.6403,7.97
110000,北京市,2010,20,2,13.4,2.6,8.0
110000,北京市,2009,20,2,13.3966,2.6403,7.97
110000,北京市,2008,20,2,13.3966,2.6403,7.96
110000,北京市,2007,20,2,13.3966,2.6403,7.96
110000,北京市,2006,19,1,13.2308,0.5,7.86
110000,北京市,2005,20,1,13.3923,0.5,8.0
110000,北京市,2004,18,1,12.7,0.5,7.54
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,,3,,3.79,
120000,天津市,2018,,3,,3.7852,
120000,天津市,2017,8,,9.061,,7.6
120000,天津市,2016,8,,9.1115,,7.65
120000,天津市,2015,8,3,9.1115,3.7862,
120000,天津市,2014,8,3,9.1115,3.7862,
120000,天津市,2013,8,3,9.038,3.7862,7.99
120000,天津市,2012,8,3,9.1115,3.7862,8.06
120000,天津市,2011,8,3,9.1115,3.7862,8.06
120000,天津市,2010,8,3,9.1,3.8,8.1
120000,天津市,2009,8,3,9.1115,3.7862,8.06
120000,天津市,2008,8,3,15.4202,10.0949,13.6
120000,天津市,2007,8,3,16.277,10.0949,14.36
120000,天津市,2006,9,3,16.4385,10.1,14.5
120000,天津市,2005,8,3,16.2998,10.1,14.4
120000,天津市,2004,9,3,16.5,10.1,14.52
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,,13,,26.11,
130000,河北省,2018,,13,,26.11275,
130000,河北省,2017,45,,70.9027,,3.67
130000,河北省,2016,45,,70.9617,,3.67
130000,河北省,2015,44,13,70.0044,25.6261,
130000,河北省,2014,44,13,70.4743,25.264,
130000,河北省,2013,44,13,70.7165,25.5062,3.69
130000,河北省,2012,43,13,69.2709,25.3653,3.61
130000,河北省,2011,35,12,58.7268,23.8489,3.05
130000,河北省,2010,35,11,58.7,21.7,3.1
130000,河北省,2009,33,11,57.1827,21.7177,2.97
130000,河北省,2008,34,11,56.6535,21.7177,3.02
130000,河北省,2007,34,11,56.5865,21.6507,3.02
130000,河北省,2006,35,8,59.7034,10.6,3.19
130000,河北省,2005,30,8,56.5172,10.6,3.0
130000,河北省,2004,26,7,47.1,10.4,2.52
130000,河北省,2003,,,,,
130000,河北省,2002,,,,,
130000,河北省,2001,,,,,
130000,河北省,2000,,,,,
140000,山西省,2019,,8,,14.11,
140000,山西省,2018,,8,,14.10957,
