省份编码,省份,年份,森林火灾次数(次),一般火灾次数(次),较大火灾次数(次),重大火灾次数(次),特别重大火灾次数(次),火场总面积(公顷),受害森林面积(公顷),天然林受害面积(公顷),人工林受害面积(公顷),森林火灾伤亡人数(人),森林火灾死亡人数(人),森林火灾其他损失折款(万元)
110000,北京市,2019,8,2,6,,,68.09,5.58,,,,,
110000,北京市,2018,1,1,,,,0.89,,,,,,
110000,北京市,2017,3,1,2,,,23.2,18.53,,,,,1.5
110000,北京市,2016,4,1,3,,,61.16,51.96,,,,,
110000,北京市,2015,,,,,,,,,,,,
110000,北京市,2014,1,1,,,,0.97,0.9,,,,,
110000,北京市,2013,1,,1,,,6.46,6.37,,,,,
110000,北京市,2012,1,1,,,,3.2,0.96,,,,,
110000,北京市,2011,3,3,,,,2.487,1.597,0.92,0.677,1,1,
110000,北京市,2010,3,3,,,,1.63,1.572,,1.572,,,
110000,北京市,2009,4,3,1,,,12.95,7.473,,7.473,,,
110000,北京市,2008,3,,,,,2.638,1.55,,1.55,,,
110000,北京市,2007,6,,,,,42.03,2.069,,2.069,,,
110000,北京市,2006,13,3,,,,86.05,54.603,4.8,49.803,,,
110000,北京市,2005,11,1,,,,36.86,8.35,,8.35,,,
110000,北京市,2004,11,7,,,,101.72,43.63,,43.63,1,,
110000,北京市,2003,,,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,,
120000,天津市,2019,,,,,,,,,,,,
120000,天津市,2018,1,,1,,,11.33,3.13,,,,,
120000,天津市,2017,2,2,,,,8.86,0.53,,,,,
120000,天津市,2016,1,,1,,,13.2,5.8,,,,,
120000,天津市,2015,1,1,,,,0.67,,,,,,
120000,天津市,2014,2,2,,,,2.27,2.27,,,,,
120000,天津市,2013,4,1,3,,,31.06,31.06,,,,,
120000,天津市,2012,11,11,,,,45.9,6.1,,,,,2.0
120000,天津市,2011,5,5,,,,24.3,8.6,,8.6,,,19.5
120000,天津市,2010,10,10,,,,20.42,6.17,,6.17,,,0.85
120000,天津市,2009,6,5,1,,,3.96,2.34,,2.34,,,
120000,天津市,2008,13,,,,,56.45,,,,,,
120000,天津市,2007,18,,,,,44.69,,,,,,
120000,天津市,2006,46,2,,,,133.23,35.17,,35.17,,,
120000,天津市,2005,16,,,,,27.043,2.263,,2.263,,,
120000,天津市,2004,9,,,,,9.95,1.28,,1.28,,,
120000,天津市,2003,,,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,,,
130000,河北省,2019,41,36,5,,,556.26,110.07,,,,,66.07
130000,河北省,2018,25,21,4,,,295.42,66.85,,,,,7.6
130000,河北省,2017,38,24,14,,,1156.69,319.21,,,,,4.0
130000,河北省,2016,42,30,12,,,572.71,133.59,,,,,10.144
130000,河北省,2015,74,66,8,,,470.65,86.15,,,,,9.0
130000,河北省,2014,93,78,15,,,1167.96,164.81,,,3,,1.1685
130000,河北省,2013,52,43,9,,,422.07,31.39,,,2,,4.51
130000,河北省,2012,83,73,10,,,2111.95,220.72,,,,,50.6
130000,河北省,2011,108,94,13,1,,2169.0,353.64,3.36,350.28,3,2,12.2
130000,河北省,2010,34,34,,,,221.0,5.96,,5.96,1,1,
130000,河北省,2009,63,53,10,,,442.869,104.863,,104.863,1,1,17.56
130000,河北省,2008,27,1,,,,329.99,2.86,,2.86,2,2,12.2
130000,河北省,2007,104,6,,,,694.067,22.527,4.3,20.337,1,1,0.56
130000,河北省,2006,210,29,,,,2295.66,302.07,,196.13,5,1,20.775
130000,河北省,2005,251,25,,,,2262.093,219.39,,139.0,,,8.56
130000,河北省,2004,149,22,,,,1346.69,345.31,16.15,109.1,1,1,11.703
130000,河北省,2003,,,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,,,
140000,山西省,2019,34,16,17,1,,14081.67,1897.32,,,7,,3687.26
140000,山西省,2018,12,6,6,,,669.83,201.06,,,3,,41.54
140000,山西省,2017,6,2,4,,,298.79,69.12,,,4,,60.74
140000,山西省,2016,10,5,5,,,271.87,39.39,,,2,,62.78
140000,山西省,2015,10,1,9,,,814.44,171.82,,,,,708.7
140000,山西省,2014,10,,10,,,759.53,164.52,,,2,,210.62
140000,山西省,2013,32,15,17,,,2145.03,421.61,,,3,,439.03
140000,山西省,2012,20,10,10,,,480.33,94.93,,,,,102.11
140000,山西省,2011,40,18,18,4,,6372.44,3397.04,108.0,3289.04,,,4427.99
140000,山西省,2010,17,10,7,,,499.25,164.267,16.81,147.457,,,275.36
140000,山西省,2009,37,13,24,,,3149.43,636.34,111.35,524.99,9,2,1340.19
140000,山西省,2008,19,16,,,,1013.12,279.82,,279.82,9,3,510.86
140000,山西省,2007,45,40,,,,4913.18,892.18,,892.18,3,1,7071.99
140000,山西省,2006,67,48,,2,,6522.3,1708.41,,1708.41,3,3,1265.037
140000,山西省,2005,63,50,,1,,2301.69,1157.18,590.56,566.62,6,5,313.709
140000,山西省,2004,20,15,,1,,1841.16,452.24,41.94,410.3,1,1,164.82
140000,山西省,2003,,,,,,,,,,,,
140000,山西省,2002,,,,,,,,,,,,
140000,山西省,2001,,,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,,,
150000,内蒙古自治区,2019,230,92,135,3,,4181.01,3291.82,,,1,,259.65
150000,内蒙古自治区,2018,105,30,73,1,1,6641.39,6120.12,,,,,342.45
150000,内蒙古自治区,2017,177,91,80,3,3,24804.72,16780.0,,,9,,635.48
150000,内蒙古自治区,2016,78,16,61,1,,1622.22,1478.16,,,,,1964.79
150000,内蒙古自治区,2015,123,41,77,5,,3846.97,3254.02,,,,,3380.53
150000,内蒙古自治区,2014,160,80,79,,1,5949.98,3425.76,,,1,,418.15
150000,内蒙古自治区,2013,78,34,44,,,825.65,286.65,,,,,250.26
150000,内蒙古自治区,2012,57,26,31,,,4464.2,649.72,,,,,92.61
150000,内蒙古自治区,2011,57,21,36,,,1741.36,1088.57,451.93,188.96,,,38.7
150000,内蒙古自治区,2010,88,31,48,8,1,9129.12,8558.97,5423.1,8.43,,,5.64
150000,内蒙古自治区,2009,66,32,30,4,,17763.551,3733.871,,31.461,,,7.96
150000,内蒙古自治区,2008,138,54,,4,,15357.59,2439.21,433.9,185.8,14,,462.05
150000,内蒙古自治区,2007,154,41,,2,,8191.99,3022.69,55.6,42.83,,,4.43
150000,内蒙古自治区,2006,143,44,,2,3,72225.44,60244.5,6149.5,145.77,,,171.165
150000,内蒙古自治区,2005,173,106,,1,1,47229.48,4300.33,192.6,1204.87,,,11.236
