省份编码,省份,年份,石油储量(万吨),天然气储量(亿立方米),煤炭储量(亿吨),铁矿储量(亿吨),锰矿储量(万吨),铬矿储量(万吨),钒矿储量(万吨),原生钛铁矿储量(万吨)
110000,北京市,2019,,,,,,,,
110000,北京市,2018,,,,,,,,
110000,北京市,2017,,,,,,,,
110000,北京市,2016,,,2.66,1.45,,,,
110000,北京市,2015,,,3.9,1.5,,,,
110000,北京市,2014,,,3.75,1.33,,,,
110000,北京市,2013,,,3.83,1.34,,,,
110000,北京市,2012,,,3.73,1.24,,,,
110000,北京市,2011,,,3.76,0.86,,,,
110000,北京市,2010,,,3.79,0.89,,,,
110000,北京市,2009,,,7.0,3.0,,,0.2,7.1
110000,北京市,2008,,,6.69,3.08,,,0.24,7.05
110000,北京市,2007,,,6.75,3.13,,,0.25,7.19
110000,北京市,2006,,,5.73,3.17,,,0.21,6.3
110000,北京市,2005,9,,5.62,3.43,,,0.21,6.3374
110000,北京市,2004,9,,5.73,3.28,,,,6.3374
110000,北京市,2003,9,,5.79,2.99,,,,
110000,北京市,2002,,,,,,,,
110000,北京市,2001,,,,,,,,
110000,北京市,2000,,,,,,,,
120000,天津市,2019,,,,,,,,
120000,天津市,2018,,,,,,,,
120000,天津市,2017,,,,,,,,
120000,天津市,2016,3349.9,274.91,2.97,,,,,
120000,天津市,2015,3005.6,274.3,3.0,,,,10.0,
120000,天津市,2014,3048.6,278.53,2.97,,,,,
120000,天津市,2013,3115.22,279.79,2.97,,,,,
120000,天津市,2012,3034.52,278.78,2.97,,,,,
120000,天津市,2011,2742.16,273.66,2.97,,,,,
120000,天津市,2010,3415.91,288.64,2.97,,,,,
120000,天津市,2009,3436.8,311.1,3.0,,,,,
120000,天津市,2008,3607,314.2,2.97,,,6.9,,
120000,天津市,2007,3774.22,318.62,2.97,,,,17.59,
120000,天津市,2006,3074.99,275.75,2.97,,,,,
120000,天津市,2005,4327.34,367.37,2.97,,,,,
120000,天津市,2004,4110.1,349.21,2.97,,,4.1,19.449,547.6478
120000,天津市,2003,3778.2,347.29,2.97,,,,,
120000,天津市,2002,,,,,,,,
120000,天津市,2001,,,,,,,,
120000,天津市,2000,,,,,,,,
130000,河北省,2019,,,,,,,,
130000,河北省,2018,,,,,,,,
130000,河北省,2017,,,,,,,,
130000,河北省,2016,26576.4,338.03,43.27,26.59,7.05,4.64,6.66,212.94
130000,河北省,2015,26422.2,317.0,42.5,27.3,7.1,4.6,,275.3
130000,河北省,2014,26724.9,324.49,40.97,28.54,7.05,4.64,10.28,283.68
130000,河北省,2013,26685.34,325.86,39.41,23.97,7.05,4.64,10.28,283.68
130000,河北省,2012,26934.54,315.37,39.51,24.23,7.05,4.64,10.51,290.07
130000,河北省,2011,27736.14,333.1,38.41,26.73,7.05,4.64,10.72,294.42
130000,河北省,2010,27780.8,359.32,60.59,37.49,4.8,6.9,13.18,361.05
130000,河北省,2009,26380.7,294.0,56.3,35.7,4.8,6.9,13.7,373.4
130000,河北省,2008,24707,303.9,60.59,43.65,4.8,,18.06,478.3
130000,河北省,2007,25077.03,302.66,63.46,42.4,4.8,11.69,,499.34
130000,河北省,2006,16338.63,240.59,68.15,42.51,4.8,4.1,18.0,528.6
130000,河北省,2005,12951.82,179.45,71.77,42.07,5.7,4.1,18.72,547.6
