省份编码,省份,年份,林业投资本年资金来源(万元),林业投资上年末结余资金(万元),林业投资本年资金来源小计(万元),林业投资国家预算资金(万元),林业投资国内贷款(万元),林业投资债券(万元),林业投资利用外资(万元),林业投资自筹资金(万元),林业投资其它资金(万元)
110000,北京市,2019,,,,,,,,,
110000,北京市,2018,,,,,,,,,
110000,北京市,2017,,,,,,,,,
110000,北京市,2016,,,,,,,,,
110000,北京市,2015,1980469,135090,1845379,1573149,,,839,143388,128003
110000,北京市,2014,2370477,151986,2218491,1796513,,,1340,391680,28958
110000,北京市,2013,1714149,50643,1663506,1540554,,,,118543,4409
110000,北京市,2012,1369070,157168,1211902,1175681,,670,531,19905,15115
110000,北京市,2011,981583,25289,956294,851235,,,492,88408,16159
110000,北京市,2010,,,473542,444110,,,,953,28479
110000,北京市,2009,,,405273,340440,,,,15326,49507
110000,北京市,2008,303224,7457,295767,263394,10000,,,10532,11841
110000,北京市,2007,276524,6964,269560,245555,,,,7088,16917
110000,北京市,2006,199093,2485,196608,163916,,,187,21342,11163
110000,北京市,2005,109381,3408,105973,104585,,,412,431,545
110000,北京市,2004,100774,32,100742,100574,,,,168,
110000,北京市,2003,,,,,,,,,
110000,北京市,2002,,,,,,,,,
110000,北京市,2001,,,,,,,,,
110000,北京市,2000,,,,,,,,,
120000,天津市,2019,,,,,,,,,
120000,天津市,2018,,,,,,,,,
120000,天津市,2017,,,,,,,,,
120000,天津市,2016,,,,,,,,,
120000,天津市,2015,165355,,165355,165355,,,,,
120000,天津市,2014,203034,,203034,203034,,,,,
120000,天津市,2013,112535,,112535,112535,,,,,
120000,天津市,2012,53355,,53355,49288,,,,,4067
120000,天津市,2011,87612,,87612,80260,,,,3291,4061
120000,天津市,2010,,,30323,5477,,,,,24846
120000,天津市,2009,,,30572,8259,,,,,22313
120000,天津市,2008,24809,,24809,7087,,,,,17722
120000,天津市,2007,35561,,35561,5655,,,,,29906
120000,天津市,2006,9000,,9000,6072,,,,,2928
120000,天津市,2005,6171,,6171,4288,,,,1883,
120000,天津市,2004,5325,,5325,3350,,,,1975,
120000,天津市,2003,,,,,,,,,
120000,天津市,2002,,,,,,,,,
120000,天津市,2001,,,,,,,,,
120000,天津市,2000,,,,,,,,,
130000,河北省,2019,,,,,,,,,
130000,河北省,2018,,,,,,,,,
130000,河北省,2017,,,,,,,,,
130000,河北省,2016,,,,,,,,,
130000,河北省,2015,907361,8454,898907,600666,48268,,1018,205344,43611
130000,河北省,2014,857318,5367,851951,580673,64416,,695,179661,26506
130000,河北省,2013,676512,9310,667202,448108,101948,,2719,87752,26675
130000,河北省,2012,663921,7223,656698,446878,89171,,3924,88951,27774
130000,河北省,2011,615668,6489,609179,411553,60300,,2279,100128,34919
130000,河北省,2010,,,482796,394829,55941,,2192,12076,17758
130000,河北省,2009,,,541901,400201,51000,,1580,16460,72660
130000,河北省,2008,233840,1820,232020,194011,,,994,7432,29583
130000,河北省,2007,206077,1127,204950,186476,5818,,1170,3626,7860
130000,河北省,2006,203986,1153,202833,182550,3020,,1420,9741,6102
130000,河北省,2005,226355,490,225865,197305,5300,,968,14186,8106
130000,河北省,2004,211698,260,211438,179039,8940,,596,12336,10527
130000,河北省,2003,,,,,,,,,
130000,河北省,2002,,,,,,,,,
130000,河北省,2001,,,,,,,,,
