省份编码,省份,年份,工业污染治理完成投资(万元),治理废水项目完成投资(万元),治理废气项目完成投资(万元),治理固体废物项目完成投资(万元),治理噪声项目完成投资(万元),治理其他项目完成投资(万元),工业污染治理本年竣工项目数(个)
110000,北京市,2019,7307.772,1666.129,4828.583,,,813.06,
110000,北京市,2018,,,,,,,
110000,北京市,2017,156666.378,1565.34,78542.418,,,76558.62,
110000,北京市,2016,98770.33,3234.61,94599.22,465,,471.5,
110000,北京市,2015,99958.0,2701.6,66834.1,75,,30347.4,
110000,北京市,2014,75695.02,2956.7,62280.99,407.8,26.7,10022.83,
110000,北京市,2013,42767.73,8427.9,31732.13,,35.0,2572.7,
110000,北京市,2012,32840.41,3011.88,24652.26,1011,40.0,4125.27,
110000,北京市,2011,10945.65,5892.57,4514.92,104.16,16.0,418.0,59
110000,北京市,2010,19339.5,1761.6,17264.4,,11.2,302.3,46
110000,北京市,2009,34421.3,1205.4,25718.2,,12.4,7485.3,56
110000,北京市,2008,78474.8,7803.2,62998.0,1,132.9,7539.7,154
110000,北京市,2007,81206.6,22008.4,33945.5,1151.3,395.0,23706.4,160
110000,北京市,2006,101397.3,8471.9,89533.8,1039.5,346.4,2005.7,168
110000,北京市,2005,108880.2,4729.1,91382.8,959,136.1,11673.2,142
110000,北京市,2004,47895.3,9364.5,29594.0,3371,409.4,5156.4,116
110000,北京市,2003,,,,,,,
110000,北京市,2002,,,,,,,
110000,北京市,2001,,,,,,,
110000,北京市,2000,,,,,,,
120000,天津市,2019,125944.0,1568.716,55279.814,,,69095.47,
120000,天津市,2018,,,,,,,
120000,天津市,2017,78304.97,2145.02,59535.86,4,11.5,16608.59,
120000,天津市,2016,103597.4,2333.75,63218.47,21,10.0,38014.18,
120000,天津市,2015,240072.3,16532.2,205875.0,1736.8,,15928.2,
120000,天津市,2014,220923.28,12217.8,151108.03,,,57597.45,
120000,天津市,2013,148365.77,6435.84,74491.48,,24.7,67413.75,
120000,天津市,2012,125558.6,11305.85,42459.47,1301,1207.92,69284.36,
120000,天津市,2011,152848.46,31317.9,46799.57,33245,14.0,41471.99,99
120000,天津市,2010,164683.5,47138.8,34856.0,1225.5,155.0,81308.2,99
120000,天津市,2009,180054.0,40866.6,75920.9,545.8,398.8,62321.9,174
120000,天津市,2008,168270.4,38950.7,99041.1,1001.5,611.7,28665.4,192
120000,天津市,2007,150526.6,37117.8,67063.4,1750,117.0,44478.4,188
120000,天津市,2006,149534.2,26537.3,68425.8,148,260.0,54163.1,151
120000,天津市,2005,186315.5,28530.0,101090.8,4327.5,1706.9,50660.3,178
120000,天津市,2004,72545.6,20351.6,42939.7,1559.6,710.6,6984.1,194
120000,天津市,2003,,,,,,,
120000,天津市,2002,,,,,,,
120000,天津市,2001,,,,,,,
120000,天津市,2000,,,,,,,
130000,河北省,2019,373870.886,10083.656,271946.413,176,16.35,91648.467,
130000,河北省,2018,,,,,,,
130000,河北省,2017,342738.136,17679.7,262269.776,,19.0,62769.66,
130000,河北省,2016,248464.89,11060.8,230067.88,80,80.0,7176.21,
130000,河北省,2015,541595.9,7126.8,411968.2,1880,24.0,120596.8,
130000,河北省,2014,889517.95,59925.02,779802.87,2323.9,36.0,47430.1599999998,
130000,河北省,2013,511769.19,59636.89,440113.19,513.23,130.0,11375.88,
130000,河北省,2012,236289.74,52178.32,181167.3,86.15,,2857.97,
130000,河北省,2011,243398.61,70720.72,156827.56,7765.8,595.0,7489.52999999999,280
130000,河北省,2010,108587.8,24677.9,82053.7,1.8,992.6,861.8,150
130000,河北省,2009,132272.0,35816.8,91106.1,,1398.7,3950.39999999999,226
130000,河北省,2008,205674.9,97076.2,97173.5,334,512.2,10579.0,338
130000,河北省,2007,215484.7,60761.2,129938.9,2539.3,1488.0,20757.3,421
130000,河北省,2006,190689.4,38500.5,137799.6,303,3107.5,10978.8,399
130000,河北省,2005,251519.0,59176.8,116305.3,36208,1702.9,38126.0,468
130000,河北省,2004,130875.5,31405.2,83923.6,4433.6,948.6,10164.5,405
130000,河北省,2003,,,,,,,
130000,河北省,2002,,,,,,,
130000,河北省,2001,,,,,,,
130000,河北省,2000,,,,,,,
140000,山西省,2019,426034.276,60466.413,254245.495,18433.361,260.0,92629.007,
140000,山西省,2018,,,,,,,
140000,山西省,2017,515240.874,18862.07,430967.323,1233.7,1227.6,62950.181,
140000,山西省,2016,300741.83,18504.47,228806.87,2817.11,52.5,50560.88,
140000,山西省,2015,278738.4,39538.9,160538.0,8264.5,,70396.9,
140000,山西省,2014,311477.05,34593.89,230645.79,12587.16,179.96,33470.25,
140000,山西省,2013,555609.48,43014.49,416618.98,22519.36,593.27,72863.38,
140000,山西省,2012,323269.46,30523.08,170664.5,40200.72,238.8,81642.36,
140000,山西省,2011,279450.24,48857.53,145000.74,28717.89,2304.5,54569.58,424
140000,山西省,2010,279573.8,54819.9,149810.1,30135.3,918.5,43890.0,599
140000,山西省,2009,386710.9,103324.3,235573.5,19686.9,1742.0,26384.2,707
140000,山西省,2008,529369.8,119485.7,336798.6,27641.1,9196.5,36247.9,1032
140000,山西省,2007,457240.5,148102.8,265565.8,12595,856.1,30120.8,965
140000,山西省,2006,367602.6,110036.4,216934.3,17793.1,229.7,22609.1,729
140000,山西省,2005,197885.1,48784.3,123163.0,11866.1,347.6,13724.1,583
140000,山西省,2004,176996.7,29479.6,125019.2,12080.4,86.7,10330.8,648
140000,山西省,2003,,,,,,,
140000,山西省,2002,,,,,,,
140000,山西省,2001,,,,,,,
140000,山西省,2000,,,,,,,
150000,内蒙古自治区,2019,254401.043,58517.949,102053.561,8822.611,,85006.922,
150000,内蒙古自治区,2018,,,,,,,
150000,内蒙古自治区,2017,421210.94,59866.241,263758.241,3044.19,,94542.268,
150000,内蒙古自治区,2016,406191.04,39958.54,320818.94,20949.72,158.0,24305.84,
150000,内蒙古自治区,2015,438934.5,39568.2,367591.1,10395.7,318.8,21060.7,
150000,内蒙古自治区,2014,775439.09,20938.56,708402.94,17730.53,1042.0,27325.06,
150000,内蒙古自治区,2013,626746.29,53676.63,477778.78,27483.9,101.0,67705.9800000001,
