省份编码,省份,年份,草原总面积(千公顷),可利用草原面积(千公顷),累计种草保留面积(千公顷),当年新增种草面积(千公顷),草原鼠害危害面积(千公顷),草原鼠害治理面积(千公顷),草原虫害危害面积(千公顷),草原虫害治理面积(千公顷),草原火灾受害面积(千公顷)
110000,北京市,2019,,,,,,,,,
110000,北京市,2018,,,,,,,,,
110000,北京市,2017,394.816,,,,,,,,
110000,北京市,2016,,,,,,,,,
110000,北京市,2015,394.666666666667,,,,,,,,
110000,北京市,2014,394.816,,5.51866666666667,5.506,,,,,
110000,北京市,2013,394.816,336.31,19.576,18.2453333333333,,,,,
110000,北京市,2012,394.816,336.31,24.3326666666667,22.546,,,,,
110000,北京市,2011,394.816,336.31,11.4333333333333,7.68666666666667,,,,,
110000,北京市,2010,394.816,336.31,11.1390666666667,6.84973333333333,,,,,
110000,北京市,2009,,,,,,,,,
110000,北京市,2008,,,,,,,,,
110000,北京市,2007,,,,,,,,,
110000,北京市,2006,,,,,,,,,
110000,北京市,2005,,,,,,,,,
110000,北京市,2004,,,,,,,,,
110000,北京市,2003,,,,,,,,,
110000,北京市,2002,,,,,,,,,
110000,北京市,2001,,,,,,,,,
110000,北京市,2000,,,,,,,,,
120000,天津市,2019,,,,,,,,,
120000,天津市,2018,,,,,,,,,
120000,天津市,2017,146.604,,5.63333333333333,2.60666666666667,,,,,
120000,天津市,2016,,,,,,,,,
120000,天津市,2015,146.666666666667,,6.90666666666667,4.37333333333333,,,,,
120000,天津市,2014,146.604,,3.79333333333333,0.793333333333333,,,,,
120000,天津市,2013,146.604,135.402,8.98,8.28666666666667,,,,,
120000,天津市,2012,146.604,135.402,7.36,6.74666666666667,,,,,
120000,天津市,2011,146.604,135.402,7.05333333333333,6.46666666666667,,,,,
120000,天津市,2010,146.604,135.402,7.03333333333333,6.48,,,,,
120000,天津市,2009,,,,,,,,,
120000,天津市,2008,,,,,,,,,
120000,天津市,2007,,,,,,,,,
120000,天津市,2006,,,,,,,,,
120000,天津市,2005,,,,,,,,,
120000,天津市,2004,,,,,,,,,
120000,天津市,2003,,,,,,,,,
120000,天津市,2002,,,,,,,,,
120000,天津市,2001,,,,,,,,,
120000,天津市,2000,,,,,,,,,
130000,河北省,2019,,,,,,,,,
130000,河北省,2018,,,,,,,,,
130000,河北省,2017,4712.14,,215.456,114.592666666667,256.666666666667,201.333333333333,331.333333333333,220.666666666667,
130000,河北省,2016,,,,,,,,,
130000,河北省,2015,4712.0,,621.426,93.8166666666667,183.066666666667,94.8,332.466666666667,229.0,
130000,河北省,2014,4712.14,,636.256666666667,119.363333333333,291.333333333333,116.533333333333,435.6,272.0,
130000,河北省,2013,4712.14,4085.324,626.043333333333,147.688333333333,392.0,236.933333333333,443.333333333333,256.0,
130000,河北省,2012,4712.14,4085.324,599.667333333333,132.618333333333,459.6,208.0,470.2,258.0,
130000,河北省,2011,4712.14,4085.324,677.846333333333,139.815666666667,506.666666666667,262.666666666667,570.0,306.2,
130000,河北省,2010,4712.14,4085.324,668.513,138.595666666667,493.333333333333,268.066666666667,526.84,239.42,
130000,河北省,2009,,,,,,,,,
130000,河北省,2008,,,,,,,,,
130000,河北省,2007,,,,,,,,,
130000,河北省,2006,,,,,,,,,
130000,河北省,2005,,,,,,,,,
130000,河北省,2004,,,,,,,,,
