省份编码,省份,年份,造林总面积(千公顷),当年人工造林面积(千公顷),当年飞机播种面积(千公顷),封山育林(千公顷),用材林当年造林面积(千公顷),经济林当年造林面积(千公顷),防护林当年造林面积(千公顷),薪炭林当年造林面积(千公顷),特种用林当年造林面积(千公顷)
110000,北京市,2019,34.084,18.698,,15.386,,,,,
110000,北京市,2018,29.979,18.427,,10.001,,,,,
110000,北京市,2017,40.339,9.28,,12.666,,,,,
110000,北京市,2016,19.064,10.012,,4.0,,,,,
110000,北京市,2015,20.331,8.133,,7.798,,,,,
110000,北京市,2014,22.937,22.937,,,,0.131,22.482,,0.324
110000,北京市,2013,45.813,30.871,,14.942,,0.436,44.737,,0.64
110000,北京市,2012,35.752,22.171,,13.581,0,0.574,34.09,,1.088
110000,北京市,2011,20.796,6.51,,14.286,0.011,0.39,19.698,,0.697
110000,北京市,2010,13.887,7.765,,6.122,,0.721,11.989,,1.177
110000,北京市,2009,17.6,10.2,,7.413,0.032,1.0,14.7,,1.8
110000,北京市,2008,15.5,9.0,,6.586,,1.3,12.4,,1.8
110000,北京市,2007,13.3,10.7,,2.6,0.048,0.8,11.4,,1.1
110000,北京市,2006,12.777,10.8,2,,0.035,0.7,10.748,,1.3
110000,北京市,2005,12.2,10.2,2,,0.2,0.9,9.3,,1.8
110000,北京市,2004,31.527,23.527,8,,1.621,6.776,21.218,,1.912
110000,北京市,2003,,,,,,,,,
110000,北京市,2002,,,,,,,,,
110000,北京市,2001,,,,,,,,,
110000,北京市,2000,,,,,,,,,
120000,天津市,2019,16.538,16.522,,,,,,,
120000,天津市,2018,8.648,8.648,,,,,,,
120000,天津市,2017,12.224,9.557,,2.667,,,,,
120000,天津市,2016,9.291,9.291,,,,,,,
120000,天津市,2015,8.032,8.032,,,,,,,
120000,天津市,2014,7.061,7.061,,,1.32,0.355,5.386,,
120000,天津市,2013,5.792,5.792,,,0.618,1.116,4.058,,
120000,天津市,2012,5.357,5.357,,,0.984,0.976,3.397,,
120000,天津市,2011,7.401,7.401,,,1.973,1.037,4.391,,
120000,天津市,2010,11.315,11.315,,,6.246,0.75,4.319,,
120000,天津市,2009,15.7,15.0,0.7,,5.4,0.6,9.7,,
120000,天津市,2008,11.2,10.5,0.7,,3.1,0.2,7.9,,
120000,天津市,2007,4.0,2.1,1.9,,0.2,0.3,3.6,,
120000,天津市,2006,3.003,3.0,,,0.4,0.1,2.531,,
120000,天津市,2005,3.6,3.6,,,0.7,0.3,2.6,,
120000,天津市,2004,4.787,4.787,,,0.838,0.463,3.486,,
120000,天津市,2003,,,,,,,,,
120000,天津市,2002,,,,,,,,,
120000,天津市,2001,,,,,,,,,
120000,天津市,2000,,,,,,,,,
130000,河北省,2019,520.644,350.969,21.365,140.156,,,,,
130000,河北省,2018,600.956,359.045,14.934,223.827,,,,,
130000,河北省,2017,481.271,371.77,20.239,84.79,,,,,
130000,河北省,2016,583.361,345.625,33.333,135.107,,,,,
130000,河北省,2015,366.523,284.083,,58.84,,,,,
130000,河北省,2014,340.042,274.554,,65.488,50.741,56.183,232.724,,0.394
130000,河北省,2013,318.737,238.007,20.001,60.729,31.127,45.852,240.298,,1.46
130000,河北省,2012,312.36,209.013,20.002,83.345,28.806,31.267,251.258,0.402,0.627
