省份编码,省份,年份,供水总量(亿立方米),地表水供水总量(亿立方米),地下水供水总量(亿立方米),其他供水总量(亿立方米),用水总量(亿立方米),农业用水总量(亿立方米),工业用水总量(亿立方米),生活用水总量(亿立方米),生态用水总量(亿立方米),人均用水量(立方米/人)
110000,北京市,2019,41.7,15.1,15.1,11.5,41.7,3.7,3.3,18.7,16,193.593314763231
110000,北京市,2018,39.3,12.3,16.3,10.8,39.3,4.2,3.3,18.4,13.4,181.746710754503
110000,北京市,2017,39.5,12.4,16.6,10.5,39.5,5.1,3.5,18.3,12.7,181.876784234276
110000,北京市,2016,38.8083398773359,11.2919398773359,17.4767,10.0397,38.8,6.0,3.8,17.8,11.1,178.637200736648
110000,北京市,2015,38.2,10.5,18.2,9.5,38.2,6.4,3.8,17.5,10.4,176.765923972143
110000,北京市,2014,37.491,9.2922,19.5597,8.6391,37.4907,8.176,5.0915,16.9768,7.2464,175.723927818139
110000,北京市,2013,36.38,8.31,20.04,8.03,36.38,9.09,5.12,16.25,5.92,173.888105537366
110000,北京市,2012,35.88,7.97,20.38,7.53,35.88,9.31,4.89,16.01,5.67,175.542454561022
110000,北京市,2011,35.96,8.06,20.9,7.0,35.96,10.2,5.01,16.28,4.47,180.7
110000,北京市,2010,35.1964690864689,7.2064690864689,21.19,6.8,35.1964690864689,10.83,5.06,15.3,3.97,189.386150213721
110000,北京市,2009,35.4994426684749,7.2,21.7994426684749,6.5,35.498361412105,11.381,5.198,15.3330001786249,3.60436123348018,205.787602389015
110000,北京市,2008,35.08,5.84,22.94,6.3,35.08,11.35,5.2,15.33,3.2,210.817307692308
110000,北京市,2007,34.805,5.67,24.185,4.95,34.805,11.734,5.747,14.603,2.721,216.583696328563
110000,北京市,2006,34.2967314285714,6.35373142857143,24.343,3.6,34.2968581267027,12.048663242519,6.2,14.427823869691,1.62037101449275,219.922142524544
110000,北京市,2005,34.5,7.0,24.9,2.6,34.5,12.67,6.8,13.93,1.1,225.048923679061
110000,北京市,2004,34.55,5.71,26.79,2.04,34.55,12.97,7.65,12.91,1,231.42
110000,北京市,2003,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,
120000,天津市,2019,28.4,19.2,3.9,5.4,28.4,9.2,5.5,7.5,6.2,181.93465727098
120000,天津市,2018,28.4,19.5,4.4,4.6,28.4,10.0,5.4,7.4,5.6,182.226499839589
120000,天津市,2017,27.5,19.0,4.6,3.9,27.5,10.7,5.5,6.1,5.2,176.331785888327
120000,天津市,2016,27.2307,19.0734,4.727,3.4303,27.2,12.0,5.5,5.6,4.1,174.975876487617
120000,天津市,2015,25.7,17.9,4.9,2.9,25.7,12.5,5.3,4.9,2.9,167.767710264512
120000,天津市,2014,24.0869,15.9382,5.3396,2.8091,24.0872,11.6578,5.3633,4.9951,2.071,161.172298427568
120000,天津市,2013,23.756,16.2303,5.6907,1.835,23.756,12.4357,5.3716,5.0525,0.8962,164.677746391002
120000,天津市,2012,23.13,16.0,5.48,1.65,23.13,11.7,5.09,4.98,1.36,167.115221357224
120000,天津市,2011,23.09,16.76,5.82,0.51,23.09,11.55,5.0,5.41,1.13,174.0
120000,天津市,2010,22.4856,16.1656,5.8673,0.4527,22.4856,10.9653,4.8257,5.4791,1.2155,177.931116342559
120000,天津市,2009,23.3701,17.2136,6.0068,0.1497,23.37005,12.84,4.3502,5.0902,1.08965,194.426372712146
120000,天津市,2008,22.33,15.96,6.25,0.12,22.33,12.99,3.81,4.88,0.65,194.936708860759
120000,天津市,2007,23.37,16.46,6.81,0.1,23.37,13.84,4.2,4.82,0.51,213.424657534247
120000,天津市,2006,22.96,16.1,6.76,0.1,22.96,13.43,4.43,4.61,0.49,216.808309726157
120000,天津市,2005,23.09,16.01,6.98,0.1,23.09,13.59,4.51,4.54,0.45,222.019230769231
120000,天津市,2004,22.06,14.89,7.07,0.1,22.06,11.98,5.07,4.53,0.48,215.42
120000,天津市,2003,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,
130000,河北省,2019,182.3,78.3,96.4,7.5,182.3,114.3,18.8,27.0,22.1,240.691840506998
130000,河北省,2018,182.4,70.4,106.1,5.8,182.4,121.1,19.1,27.8,14.5,241.981702787035
130000,河北省,2017,181.6,59.4,116.0,6.2,181.6,126.1,20.3,27.0,8.2,242.301813861238
130000,河北省,2016,182.5743,51.5017,125.0327,6.0399,182.6,128.0,21.9,25.9,6.7,245.182947297751
130000,河北省,2015,187.2,48.7,133.6,4.9,187.2,135.3,22.5,24.4,5,252.82486543356
130000,河北省,2014,192.8188,46.7896,142.0715,3.9577,192.8188,139.1726,24.4754,24.1108,5.06,262.035469185296
130000,河北省,2013,191.28714596,43.126994,144.56811696,3.592035,191.28714596,137.6366859,25.226016,23.77427006,4.650176,261.669594234401
130000,河北省,2012,195.31,41.28,151.25,2.81,195.33,142.94,25.23,23.36,3.79,268.901061534882
130000,河北省,2011,195.99,38.49,154.85,2.63,195.97,140.49,25.71,26.06,3.58,271.5
130000,河北省,2010,193.6807,36.144,155.9808,1.5559,193.6807,143.769,23.0573,23.9798,2.8746,272.252881641833
