省份编码,省份,年份,突发环境事件次数(次),特别重大环境事件(次),重大环境事件(次),较大环境事件(次),一般环境事件(次),未定级环境事件(次)
110000,北京市,2019,17,,,,17,
110000,北京市,2018,29,,,,29,
110000,北京市,2017,11,,,,11,
110000,北京市,2016,13,,,,13,
110000,北京市,2015,15,,,,15,
110000,北京市,2014,11,,,,11,
110000,北京市,2013,16,,,,16,
110000,北京市,2012,21,,,,21,
110000,北京市,2011,36,,,,36,
110000,北京市,2010,,,,,,
110000,北京市,2009,,,,,,
110000,北京市,2008,,,,,,
110000,北京市,2007,,,,,,
110000,北京市,2006,,,,,,
110000,北京市,2005,,,,,,
110000,北京市,2004,,,,,,
110000,北京市,2003,,,,,,
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,2,,,,2,
120000,天津市,2018,2,,,,2,
120000,天津市,2017,,,,,,
120000,天津市,2016,,,,,,
120000,天津市,2015,1,,,,1,
120000,天津市,2014,1,,,,1,
120000,天津市,2013,,,,,,
120000,天津市,2012,5,,,,5,
120000,天津市,2011,1,,,,1,
120000,天津市,2010,,,,,,
120000,天津市,2009,,,,,,
120000,天津市,2008,,,,,,
120000,天津市,2007,,,,,,
120000,天津市,2006,,,,,,
120000,天津市,2005,,,,,,
120000,天津市,2004,,,,,,
120000,天津市,2003,,,,,,
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,4,,,,4,
130000,河北省,2018,6,,,,6,
130000,河北省,2017,2,,,1,1,
130000,河北省,2016,1,,,,1,
130000,河北省,2015,6,,1,,5,
130000,河北省,2014,2,,,,2,
130000,河北省,2013,3,,,,3,
130000,河北省,2012,10,,,,10,
130000,河北省,2011,16,,,2,14,
130000,河北省,2010,,,,,,
130000,河北省,2009,,,,,,
130000,河北省,2008,,,,,,
130000,河北省,2007,,,,,,
130000,河北省,2006,,,,,,
130000,河北省,2005,,,,,,
130000,河北省,2004,,,,,,
130000,河北省,2003,,,,,,
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,15,,,,15,
140000,山西省,2018,12,,,,12,
140000,山西省,2017,19,,,1,18,
140000,山西省,2016,13,,,1,12,
140000,山西省,2015,3,,,,3,
140000,山西省,2014,6,,,,6,
140000,山西省,2013,13,,1,,12,
140000,山西省,2012,,,,,,
140000,山西省,2011,11,,,,11,
140000,山西省,2010,,,,,,
140000,山西省,2009,,,,,,
140000,山西省,2008,,,,,,
140000,山西省,2007,,,,,,
140000,山西省,2006,,,,,,
140000,山西省,2005,,,,,,
140000,山西省,2004,,,,,,
140000,山西省,2003,,,,,,
140000,山西省,2002,,,,,,
140000,山西省,2001,,,,,,
140000,山西省,2000,,,,,,
150000,内蒙古自治区,2019,2,,,,2,
150000,内蒙古自治区,2018,1,,,,1,
150000,内蒙古自治区,2017,1,,,,1,
150000,内蒙古自治区,2016,,,,,,
150000,内蒙古自治区,2015,,,,,,
150000,内蒙古自治区,2014,2,,,,2,
150000,内蒙古自治区,2013,4,,,,4,
150000,内蒙古自治区,2012,10,,,,10,
150000,内蒙古自治区,2011,14,,,,14,
150000,内蒙古自治区,2010,,,,,,
150000,内蒙古自治区,2009,,,,,,
150000,内蒙古自治区,2008,,,,,,
150000,内蒙古自治区,2007,,,,,,
150000,内蒙古自治区,2006,,,,,,
150000,内蒙古自治区,2005,,,,,,
150000,内蒙古自治区,2004,,,,,,
150000,内蒙古自治区,2003,,,,,,
150000,内蒙古自治区,2002,,,,,,
150000,内蒙古自治区,2001,,,,,,
150000,内蒙古自治区,2000,,,,,,
210000,辽宁省,2019,10,,,,10,
210000,辽宁省,2018,10,,,,10,
210000,辽宁省,2017,15,,,,15,
210000,辽宁省,2016,10,,,,10,
210000,辽宁省,2015,13,,,,13,
210000,辽宁省,2014,4,,,,4,
210000,辽宁省,2013,12,,,1,11,
210000,辽宁省,2012,15,,1,1,13,
210000,辽宁省,2011,2,,,,2,
210000,辽宁省,2010,,,,,,
210000,辽宁省,2009,,,,,,
210000,辽宁省,2008,,,,,,
210000,辽宁省,2007,,,,,,
210000,辽宁省,2006,,,,,,
210000,辽宁省,2005,,,,,,
210000,辽宁省,2004,,,,,,
210000,辽宁省,2003,,,,,,
210000,辽宁省,2002,,,,,,
210000,辽宁省,2001,,,,,,
210000,辽宁省,2000,,,,,,
220000,吉林省,2019,,,,,,
220000,吉林省,2018,4,,,,4,
220000,吉林省,2017,,,,,,
220000,吉林省,2016,3,,,,3,
220000,吉林省,2015,,,,,,
220000,吉林省,2014,1,,,,1,
220000,吉林省,2013,1,,,,1,
220000,吉林省,2012,1,,,,1,
220000,吉林省,2011,2,,,,,2
220000,吉林省,2010,,,,,,
220000,吉林省,2009,,,,,,
220000,吉林省,2008,,,,,,
220000,吉林省,2007,,,,,,
220000,吉林省,2006,,,,,,
220000,吉林省,2005,,,,,,
220000,吉林省,2004,,,,,,
220000,吉林省,2003,,,,,,
220000,吉林省,2002,,,,,,
220000,吉林省,2001,,,,,,
220000,吉林省,2000,,,,,,
230000,黑龙江省,2019,,,,,,
230000,黑龙江省,2018,,,,,,
230000,黑龙江省,2017,,,,,,
230000,黑龙江省,2016,3,,,,3,
230000,黑龙江省,2015,,,,,,
230000,黑龙江省,2014,,,,,,
230000,黑龙江省,2013,,,,,,
230000,黑龙江省,2012,,,,,,
230000,黑龙江省,2011,5,,,,5,
230000,黑龙江省,2010,,,,,,
230000,黑龙江省,2009,,,,,,
230000,黑龙江省,2008,,,,,,
230000,黑龙江省,2007,,,,,,
230000,黑龙江省,2006,,,,,,
230000,黑龙江省,2005,,,,,,
230000,黑龙江省,2004,,,,,,
230000,黑龙江省,2003,,,,,,
230000,黑龙江省,2002,,,,,,
230000,黑龙江省,2001,,,,,,
230000,黑龙江省,2000,,,,,,
310000,上海市,2019,,,,,,
310000,上海市,2018,1,,,,1,
310000,上海市,2017,,,,,,
310000,上海市,2016,3,,,,3,
310000,上海市,2015,10,,,,10,
310000,上海市,2014,108,,,,108,
310000,上海市,2013,251,,,1,250,
310000,上海市,2012,192,,,,192,
310000,上海市,2011,197,,,,197,
310000,上海市,2010,,,,,,
310000,上海市,2009,,,,,,
310000,上海市,2008,,,,,,
310000,上海市,2007,,,,,,
310000,上海市,2006,,,,,,
310000,上海市,2005,,,,,,
310000,上海市,2004,,,,,,
310000,上海市,2003,,,,,,
310000,上海市,2002,,,,,,
310000,上海市,2001,,,,,,
310000,上海市,2000,,,,,,
320000,江苏省,2019,9,,,1,8,
320000,江苏省,2018,5,,,,5,
320000,江苏省,2017,8,,,,8,
320000,江苏省,2016,13,,,,13,
320000,江苏省,2015,27,,,1,26,
320000,江苏省,2014,70,,,5,65,
320000,江苏省,2013,125,,,1,124,
320000,江苏省,2012,77,,,,77,
320000,江苏省,2011,27,,,1,26,
320000,江苏省,2010,,,,,,
320000,江苏省,2009,,,,,,
320000,江苏省,2008,,,,,,
320000,江苏省,2007,,,,,,
320000,江苏省,2006,,,,,,
320000,江苏省,2005,,,,,,
320000,江苏省,2004,,,,,,
320000,江苏省,2003,,,,,,
320000,江苏省,2002,,,,,,
320000,江苏省,2001,,,,,,
320000,江苏省,2000,,,,,,
330000,浙江省,2019,10,,,,10,
330000,浙江省,2018,11,,,,11,
330000,浙江省,2017,13,,,,13,
330000,浙江省,2016,16,,,,16,
330000,浙江省,2015,22,,,,22,
330000,浙江省,2014,27,,,1,26,
330000,浙江省,2013,26,,,1,25,
330000,浙江省,2012,23,,,,23,
330000,浙江省,2011,31,,,3,28,
330000,浙江省,2010,,,,,,
330000,浙江省,2009,,,,,,
330000,浙江省,2008,,,,,,
330000,浙江省,2007,,,,,,
330000,浙江省,2006,,,,,,
330000,浙江省,2005,,,,,,
330000,浙江省,2004,,,,,,
330000,浙江省,2003,,,,,,
330000,浙江省,2002,,,,,,
330000,浙江省,2001,,,,,,
330000,浙江省,2000,,,,,,
340000,安徽省,2019,6,,,,6,
340000,安徽省,2018,4,,,,4,
340000,安徽省,2017,4,,,,4,
340000,安徽省,2016,3,,,,3,
340000,安徽省,2015,8,,,,8,
340000,安徽省,2014,9,,,,9,
340000,安徽省,2013,6,,,1,5,
340000,安徽省,2012,20,,,,20,
340000,安徽省,2011,12,,,1,11,
340000,安徽省,2010,,,,,,
340000,安徽省,2009,,,,,,
340000,安徽省,2008,,,,,,
340000,安徽省,2007,,,,,,
340000,安徽省,2006,,,,,,
340000,安徽省,2005,,,,,,
340000,安徽省,2004,,,,,,
340000,安徽省,2003,,,,,,
340000,安徽省,2002,,,,,,
340000,安徽省,2001,,,,,,
