省份编码,省份,年份,废水排放总量(万吨),化学需氧量排放量(万吨),氨氮排放量(万吨),总氮排放量(万吨),总磷排放量(万吨),石油类排放量(吨),挥发酚排放量(吨),铅排放量(千克),汞排放量(千克),镉排放量(千克),总铬排放量(千克),砷排放量(千克),六价铬排放量(千克)
110000,北京市,2019,,,,,,,,,,,,,
110000,北京市,2018,,,,,,,,,,,,,
110000,北京市,2017,,9.212428,0.343957,2.354988,0.075689,8.27,0.04604,22,5,13,49,44,24.13
110000,北京市,2016,166419.283413,8.70946802,0.55760683,1.86487259,0.07413888,20.7625,0.0886804,19.5454,1.294,2.0238,69.3549,8.206,55.3001
110000,北京市,2015,151733.342493,16.15361359,1.64911185,3.2917,0.4436,35.2745,0.4252812,3.5682,0.331,0.7029,93.5891,11.0441,79.5036
110000,北京市,2014,150713.5674663,16.884,1.8950827,3.71206914,0.47579495,51.1162,0.403045,41.2096,0.098,0.5758,266.6493,8.001,157.366
110000,北京市,2013,144579.931693,17.84749201,1.97043178,3.13380415,0.40480866,50.3648,0.468677,200.9958,0.64,17.4494,438.052,15.11,321.3359
110000,北京市,2012,140273.7163,18.65007733,2.04834796,3.25800858,0.43737403,51.4631,0.516152,215.91,0.494,17.8956,460.1046,21.342,325.8429
110000,北京市,2011,145468.9524,19.318356,2.1325248,3.2839744,0.4476282,82.077,0.917062,186.184,1.718,12.444,508.676,28.094,339.616
110000,北京市,2010,136415.0,9.2,1.21261,,,,,,,,,,
110000,北京市,2009,140812.8837,9.9,1.30298449,,,,,,,,,,
110000,北京市,2008,113259.0,10.1,1.18619,,,,,,,,,,
110000,北京市,2007,107816.6946,10.6,1.24096397,,,,,,,,,,
110000,北京市,2006,104922.0,11.0,1.3072,,,,,,,,,,
110000,北京市,2005,101009.0,11.6,1.37411,,,,,,,,,,
110000,北京市,2004,98063.0,12.97512,1.70947,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,,,
120000,天津市,2019,,,,,,,,,,,,,
120000,天津市,2018,,,,,,,,,,,,,
120000,天津市,2017,,19.1525,0.467212,2.302041,0.191481,176.65,7.08903,83,13,12,415,124,337.56
120000,天津市,2016,91534.415896,10.32773637,1.56471646,2.38631249,0.16175625,38.5392,0.1327449,155.3745,53.4652,11.9727,274.0244,11.31,55.5124
120000,天津市,2015,93008.033707,20.9098943,2.3843716,3.6026,0.4568,53.2945,0.2547815,92.146,98.501,2.1409,292.3847,26.2795,51.0189
120000,天津市,2014,89361.437629,21.43282345,2.44845764,3.68482808,0.46639858,58.7575,1.1068487,95.547,5.379,2.8887,299.3713,12.4546,67.296
120000,天津市,2013,84210.000214,22.15153691,2.46810827,3.61497494,0.43954307,118.2353,1.8207,100.97,5.729,2.6407,355.7872,12.6316,132.8994
120000,天津市,2012,82813.15556,22.94338585,2.54157674,3.29241243,0.36165892,138.2147,1.2428728,1004.638,3.736,9.6397,453.7831,19.3713,169.2764
120000,天津市,2011,67146.9368,23.58316125,2.63782092,3.6712582,0.4688809,199.557,1.322135,1459.375,1.093,9.798,285.174,22.807,105.928
120000,天津市,2010,68196.0,13.2,1.97738,,,,,,,,,,
