省份编码,省份,年份,发生地质灾害起数(次),发生滑坡灾害起数(次),发生崩塌灾害起数(次),发生泥石流灾害起数(次),发生地面塌陷灾害起数(次),地质灾害人员伤亡(人),地质灾害死亡人数(人),地质灾害直接经济损失(万元),地质灾害防治项目数(个),地质灾害防治投资(万元)
110000,北京市,2019,20,1,19,,,,,35.34,,
110000,北京市,2018,21,2,19,,,,,458.3,,
110000,北京市,2017,2,,2,,,,,53.0,73,15951.37
110000,北京市,2016,67,3,55,7,2,,,741.94,41,11850.0
110000,北京市,2015,22,4,16,,2,,,130.0,59,10000.0
110000,北京市,2014,,,,,,,,,,
110000,北京市,2013,40,3,32,,5,,,44.11,42,10000.0
110000,北京市,2012,18,3,12,,2,5,3,,7,4222.0
110000,北京市,2011,13,2,8,,3,,,4.0,3,868.0
110000,北京市,2010,6,,4,,2,,,,3,
110000,北京市,2009,11,,,,,,,,5,1100.0
110000,北京市,2008,8,,6,,2,,,20.0,,320.0
110000,北京市,2007,,,,,,,,,1,50.0
110000,北京市,2006,,,,,,,,,2,240.0
110000,北京市,2005,,,,,,,,,1,20.0
110000,北京市,2004,7,2,3,,2,,,88.0,3,248.0
110000,北京市,2003,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,
120000,天津市,2019,,,,,,,,,,
120000,天津市,2018,1,,1,,,2,2,10.0,,
120000,天津市,2017,1,,1,,,,,43.0,6,910.0
120000,天津市,2016,1,1,,,,,,12.0,4,470.0
120000,天津市,2015,,,,,,,,,3,630.0
120000,天津市,2014,,,,,,,,,,
120000,天津市,2013,,,,,,,,,6,701.0
120000,天津市,2012,15,4,9,2,,,,,9,1243.0
120000,天津市,2011,,,,,,,,,4,344.0
120000,天津市,2010,,,,,,,,,5,242.0
120000,天津市,2009,,,,,,,,,3,80.0
120000,天津市,2008,1,1,,,,,,,1,50.0
120000,天津市,2007,,,,,,,,,1,40.0
120000,天津市,2006,1,1,,,,,,,,124.0
120000,天津市,2005,,,,,,,,,2,150.0
120000,天津市,2004,1,,1,,,6,1,50.0,,
120000,天津市,2003,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,
130000,河北省,2019,2,,1,1,,,,11.0,,
130000,河北省,2018,10,4,6,,,1,,9.51,,
130000,河北省,2017,10,1,7,1,1,3,3,188.7,275,6702.0
130000,河北省,2016,30,13,8,4,4,,,193.6,144,4442.26
130000,河北省,2015,5,,1,,2,,,102.2,287,13331.98
130000,河北省,2014,,,,,,,,,,
130000,河北省,2013,19,6,8,,4,16,8,112.8,195,36187.85
130000,河北省,2012,36,6,10,10,6,1,,430.2,123,16833.0
130000,河北省,2011,18,4,3,5,3,,,2201.0,110,19836.0
130000,河北省,2010,20,2,3,3,6,,,341.04,275,11429.0
130000,河北省,2009,13,1,6,,2,,,83.5,16,3531.0
130000,河北省,2008,39,6,15,4,5,,,95.0,22,2660.0
130000,河北省,2007,39,2,2,2,9,2,,286.5,40,6516.0
130000,河北省,2006,28,1,,4,12,,,404.3,12,3258.0
130000,河北省,2005,7,1,1,1,4,,,185.0,16,1494.87
130000,河北省,2004,17,4,1,3,9,2,,669.0,18,1536.0
130000,河北省,2003,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,
140000,山西省,2019,2,1,1,,,35,22,793.48,,
140000,山西省,2018,10,1,8,,1,10,10,293.0,,
140000,山西省,2017,3,,2,,1,1,,55.0,64,53314.84
140000,山西省,2016,4,,4,,,5,3,154.3,27,51159.48
140000,山西省,2015,5,1,3,,,,,333.2,81,56410.95
140000,山西省,2014,,,,,,,,,,
140000,山西省,2013,38,9,24,,4,29,27,769.21,68,28979.2
140000,山西省,2012,18,9,7,,2,14,12,345.3,120,38752.63
140000,山西省,2011,14,6,4,,4,23,19,1472.0,54,21112.0
140000,山西省,2010,8,3,3,,1,4,2,816.5,95,17402.0
140000,山西省,2009,16,6,8,,2,24,24,491.3,30,5938.2
140000,山西省,2008,18,3,7,,4,40,38,1352.4,31,9288.0
140000,山西省,2007,26,6,8,2,8,30,27,1422.1,89,21876.0
140000,山西省,2006,30,4,5,,17,19,17,1098.6,25,2786.0
140000,山西省,2005,3,1,1,1,,26,12,,38,2874.22
140000,山西省,2004,81,29,9,3,34,33,33,5479.0,50,1728.0
140000,山西省,2003,,,,,,,,,,
140000,山西省,2002,,,,,,,,,,
140000,山西省,2001,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,
150000,内蒙古自治区,2019,1,1,,,,,,0.8,,
150000,内蒙古自治区,2018,2,,2,,,,,6.2,,
150000,内蒙古自治区,2017,6,2,,,4,,,0.01,1,800.0
150000,内蒙古自治区,2016,5,5,,,,,,2127.0,3,1622.0
150000,内蒙古自治区,2015,5,3,1,1,1,11,7,9.26,1,1060.0
150000,内蒙古自治区,2014,,,,,,,,,,
150000,内蒙古自治区,2013,2,1,1,,,,,100.0,4,4346.0
150000,内蒙古自治区,2012,3,1,1,,1,,,612.0,26,5589.0
150000,内蒙古自治区,2011,8,,2,,5,,,810.0,34,18200.0
150000,内蒙古自治区,2010,26,2,7,3,14,3,3,1640.0,24,30150.0
150000,内蒙古自治区,2009,34,2,3,13,12,,,1960.0,1,150.0
150000,内蒙古自治区,2008,34,1,2,20,11,5,5,2400.0,1,600.0
150000,内蒙古自治区,2007,35,,6,13,16,,,3200.0,,300.0
150000,内蒙古自治区,2006,45,1,2,17,22,,,4430.0,,
150000,内蒙古自治区,2005,2,1,1,,,5,,100.0,,
150000,内蒙古自治区,2004,34,3,,,31,,,3705.0,6,1530.0
150000,内蒙古自治区,2003,,,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,
210000,辽宁省,2019,2,1,1,,,,,55.0,,
210000,辽宁省,2018,1,,1,,,,,0.5,,
210000,辽宁省,2017,41,12,1,28,,,,7354.0,17,6930.8
210000,辽宁省,2016,8,2,3,,3,,,1983.3,23,4655.04
210000,辽宁省,2015,5,,2,,3,,,3.0,36,7238.21
210000,辽宁省,2014,,,,,,,,,,
210000,辽宁省,2013,95,40,3,48,4,4,2,30912.6,6,9000.0
210000,辽宁省,2012,2970,2853,9,74,32,,,235234.6,83,26916.1
210000,辽宁省,2011,291,19,15,253,4,,,10081.1,83,26622.0
210000,辽宁省,2010,226,136,25,51,11,29,7,28109.0,77,20558.0
210000,辽宁省,2009,22,2,6,,11,,,1733.0,5,3958.0
210000,辽宁省,2008,4,1,,,3,5,3,20.0,21,6385.0
210000,辽宁省,2007,25,10,9,2,3,6,6,736.2,16,2131.0
210000,辽宁省,2006,28,5,7,5,10,3,,573.5,37,35562.0
210000,辽宁省,2005,75,30,7,24,13,,,27503.5,15,4090.0
210000,辽宁省,2004,14,4,3,2,5,14,9,5792.0,,
210000,辽宁省,2003,,,,,,,,,,
210000,辽宁省,2002,,,,,,,,,,
210000,辽宁省,2001,,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,,
220000,吉林省,2019,21,4,15,1,1,,,121.5,,
220000,吉林省,2018,6,,6,,,1,1,13.5,,
220000,吉林省,2017,63,8,6,49,,2,,4122.9,3,2000.0
220000,吉林省,2016,15,7,,8,,,,155.1,16,8168.0
220000,吉林省,2015,21,1,6,11,3,,,131.8,14,4590.0
