省份编码,省份,年份,农作物受灾面积(千公顷),农作物绝收面积(千公顷),旱灾受灾面积(千公顷),旱灾绝收面积(千公顷),洪涝、地质灾害和台风受灾面积(千公顷),洪涝、地质灾害和台风绝收面积(千公顷),风雹灾害受灾面积(千公顷),风雹灾害绝收面积(千公顷),低温冷冻和雪灾受灾面积(千公顷),低温冷冻和雪灾绝收面积(千公顷),自然灾害受灾人口(万人次),自然灾害受灾死亡人口(人),自然灾害直接经济损失(亿元)
110000,北京市,2019,2.5,0.1,,,0.2,,2.3,0.1,,,6.4,1,5.2
110000,北京市,2018,4.7,0.4,,,2.6,0.4,1.6,,0.5,,15.7,,18.8
110000,北京市,2017,6.7,0.1,,,,,6.7,0.1,,,4.6,7,0.84
110000,北京市,2016,34.7,6.6,,,16.1,1.5,18.6,5.1,,,24.8,,16.7
110000,北京市,2015,6.2,0.9,0.2,0.2,0.7,,5.3,0.7,,,5.5,,1.3
110000,北京市,2014,53.3,11.3,26.1,6.8,,,27.2,4.5,,,32.1,1,10.5
110000,北京市,2013,26.9,3.7,,,9.8,0.3,17.1,3.4,,,21.1,1,4.8
110000,北京市,2012,71.2,6.0,,,57.6,4.8,13.4,1.2,0.2,,95.2,79,171.1
110000,北京市,2011,56.1,5.1,2.0,,39.7,3.6,14.4,1.5,,,25.7,8,14.7
110000,北京市,2010,3.1,1.3,,,0.6,0.0,,,2.5,1.3,11.5,,2.1
110000,北京市,2009,,,,,,,,,,,,,
110000,北京市,2008,,,,,,,,,,,,,
110000,北京市,2007,,,,,,,,,,,,,
110000,北京市,2006,,,,,,,,,,,,,
110000,北京市,2005,,,,,,,,,,,,,
110000,北京市,2004,,,,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,,,
120000,天津市,2019,,,,,,,,,,,,,
120000,天津市,2018,14.4,0.8,,,14.3,0.7,0.1,0.1,,,10.9,,1.0
120000,天津市,2017,,,,,,,,,,,,,0.01
