省份编码,省份,年份,水资源总量(亿立方米),地表水资源量(亿立方米),地下水资源量(亿立方米),地表水与地下水资源重复量(亿立方米),人均水资源量(立方米/人)
110000,北京市,2019,24.6,8.6,24.7,8.8,114.206128133705
110000,北京市,2018,35.5,14.3,28.9,7.7,164.173237449997
110000,北京市,2017,29.8,12.0,20.4,2.6,137.213371396998
110000,北京市,2016,35.1,14.0,24.2,3.1,161.602209944751
110000,北京市,2015,26.8,9.3,20.6,3.1,124.013789593022
110000,北京市,2014,20.3,6.5,15.96,2.16,95.148816498711
110000,北京市,2013,24.81,9.43,18.74,3.36,118.586143440958
110000,北京市,2012,39.4970301029244,17.95,26.49,4.94,193.238729435282
110000,北京市,2011,26.81,9.17,21.16,3.52000000000001,134.706695138802
110000,北京市,2010,23.1,7.2,18.9,3.0,124.2
110000,北京市,2009,21.84,6.76,17.76,2.68,126.608695652174
110000,北京市,2008,34.2,12.8,24.9,3.5,205.528846153846
110000,北京市,2007,23.8088731199464,7.6,18.7521361711274,2.54326305118098,148.157268948017
110000,北京市,2006,22.07,6.67,18.16,2.76,141.519717858288
110000,北京市,2005,23.18,7.58,18.46,2.86,151.206784083496
110000,北京市,2004,21.34,8.15,16.54,3.35,142.99
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,8.1,5.1,4.2,1.2,51.8898142216528
120000,天津市,2018,17.6,11.8,7.3,1.5,112.92909849214
120000,天津市,2017,13.0,8.8,5.5,1.3,83.3568442381184
120000,天津市,2016,18.9,14.1,6.1,1.3,121.582502412351
120000,天津市,2015,12.8,8.7,4.9,0.799999999999999,83.557458808784
120000,天津市,2014,11.37,8.33,3.67,0.630000000000001,76.078956172633
120000,天津市,2013,14.64,10.8,5.01,1.17,101.485191411192
120000,天津市,2012,32.94,26.54,7.62,1.22,237.992883333634
120000,天津市,2011,15.39,10.89,5.23,0.73,115.963214268222
120000,天津市,2010,9.2,5.6,4.5,0.8,72.8
120000,天津市,2009,15.24,10.59,5.6,0.949999999999999,126.788685524126
120000,天津市,2008,18.3,13.6,5.9,1.2,159.755565255347
120000,天津市,2007,11.31,7.5,4.76,0.950000000000001,103.287671232877
120000,天津市,2006,10.11,6.62,4.43,0.940000000000001,95.4674220963173
120000,天津市,2005,10.63,7.13,4.45,0.949999999999999,102.211538461538
120000,天津市,2004,14.31,9.79,5.16,0.63,139.74
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,113.5,51.4,97.8,35.7,149.854766305783
130000,河北省,2018,164.1,85.3,124.4,45.6,217.703933263994
130000,河北省,2017,138.3,60.0,116.3,38.0,184.528308683972
130000,河北省,2016,208.3,105.9,133.7,31.3,279.691171534072
130000,河北省,2015,135.1,50.9,113.6,29.4,182.4606801286
130000,河北省,2014,106.1579,46.94,89.29,30.0721,144.265679146565
130000,河北省,2013,175.86,76.83,138.82,39.7899999999999,240.566163560642
130000,河北省,2012,235.53,117.76,164.84,47.07,324.242395040756
130000,河北省,2011,157.15,69.84,126.21,38.9,217.748098081558
130000,河北省,2010,138.9,56.6,112.9,30.6,195.3
130000,河北省,2009,141.1573,47.5373,122.7,29.08,201.3225415389
130000,河北省,2008,161.0,62.4,136.3,37.7,231.122595463681
130000,河北省,2007,119.79,38.99,107.24,26.44,173.094429593237
130000,河北省,2006,107.34,42.1,94.25,29.01,156.142264891992
130000,河北省,2005,134.57,58.01,109.73,33.17,196.998975259845
130000,河北省,2004,154.24,61.32,131.06,38.14,226.52
130000,河北省,2003,,,,,
130000,河北省,2002,,,,,
130000,河北省,2001,,,,,
130000,河北省,2000,,,,,
140000,山西省,2019,97.3,58.5,82.5,43.7,261.313280515644
140000,山西省,2018,121.9,81.3,100.3,59.7,328.571428571429
140000,山西省,2017,130.2,87.8,104.1,61.7,352.654387865655
140000,山西省,2016,134.1,88.9,104.9,59.7,365.096651238769
140000,山西省,2015,94.0,53.8,86.4,46.2,257.108784367786
140000,山西省,2014,111.0107,65.1994,97.2582,51.4469,305.058257763122
140000,山西省,2013,126.55335242506,81.0469,96.8720118345018,51.3655594094414,349.554822927925
140000,山西省,2012,106.2493,65.9039,88.3382,47.9928,294.98003145549
140000,山西省,2011,124.3365,76.6478,94.9539,47.2652,346.963900186051
140000,山西省,2010,91.5,52.8,77.4,38.7,261.5
140000,山西省,2009,85.75963214445,47.6681,76.1467474393271,38.0552152948771,250.8325011537
140000,山西省,2008,87.4,51.3,78.9,42.8,256.907701352146
140000,山西省,2007,103.4,65.26,86.33,48.19,305.555555555556
140000,山西省,2006,88.52,53.62,74.06,39.16,263.060921248143
140000,山西省,2005,84.13,50.37,72.51,38.75,251.509715994021
140000,山西省,2004,92.51,58.1,75.1,40.69,277.39
140000,山西省,2003,,,,,
140000,山西省,2002,,,,,
140000,山西省,2001,,,,,
140000,山西省,2000,,,,,
150000,内蒙古自治区,2019,447.9,305.8,233.8,91.7,1765.47102877414
150000,内蒙古自治区,2018,461.5,302.4,253.6,94.5,1823.02982421489
150000,内蒙古自治区,2017,309.9,194.1,207.3,91.5,1227.53820955293
150000,内蒙古自治区,2016,426.5,268.5,248.2,90.2,1695.48797455774
150000,内蒙古自治区,2015,537.0,402.1,224.6,89.7,2141.21235682885
150000,内蒙古自治区,2014,537.7949,397.6148,236.2602,96.0800999999997,2149.88966620028
150000,内蒙古自治区,2013,959.8111,813.5206,249.3315,103.041,3848.59648946941
150000,内蒙古自治区,2012,510.2503,349.2366,258.3763,97.3625999999999,2052.67682578507
150000,内蒙古自治区,2011,418.9973,298.1618,213.3684,92.5329,1691.58951212589
150000,内蒙古自治区,2010,388.5,253.4,227.6,92.5,1576.1
150000,内蒙古自治区,2009,378.145,263.3638,214.3546,99.5734000000001,1563.87510339123
150000,内蒙古自治区,2008,412.1,274.8,235.1,97.9,1710.31334301722
150000,内蒙古自治区,2007,295.86212764698,183.0258,206.875235020366,94.0389073733859,1232.24542960008
150000,内蒙古自治区,2006,411.28915437791,294.3258,213.562926271262,96.5995718933519,1719.79575320054
150000,内蒙古自治区,2005,456.18,338.69,214.64,97.1499999999999,1917.3
150000,内蒙古自治区,2004,437.6,310.23,222.57,95.19,1835.59
150000,内蒙古自治区,2003,,,,,
150000,内蒙古自治区,2002,,,,,
150000,内蒙古自治区,2001,,,,,
150000,内蒙古自治区,2000,,,,,
210000,辽宁省,2019,256.0,211.5,106.8,62.4,587.762599012743
210000,辽宁省,2018,235.4,209.3,79.8,53.7,539.413382218149
210000,辽宁省,2017,186.3,161.0,86.6,61.3,425.984359994512
210000,辽宁省,2016,331.6,286.2,120.9,75.5,757.077625570776
