年份,农村居民家庭平均每人纯收入,农村居民低收入户人均纯收入,农村居民中等偏下户人均纯收入,农村居民中等收入户人均纯收入,农村居民中等偏上户人均纯收入,农村居民高收入户人均纯收入
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,,,,,,
2014,,,,,,
2013,,,,,,
2012,7916.58,2316.206453,4807.472193,7041.032209,10142.07958,19008.89373
2011,6977.29,2000.505054,4255.749379,6207.680326,8893.594269,16783.06487
2010,5919.01,1869.8,3621.23,5221.66,7440.56,14049.69
2009,5153.17,1549.3,3110.1,4502.08,6467.56,12319.05
2008,4760.62,1499.81,2934.99,4203.12,5928.6,11290.2
2007,4140.4,1346.89,2581.75,3658.83,5129.78,9790.68
2006,3587.0,1182.46,2222.03,3148.5,4446.59,8474.79
2005,3254.9,1067.22,2018.31,2850.95,4003.33,7747.35
2004,2936.4,1006.96617,1842.15704,2578.64633,3607.984607,6931.0
2003,2622.2,865.9,1606.53,2273.13,3206.79,6346.86
2002,2475.6,857.0,1548.0,2164.0,3031.0,5903.0
2001,,,,,,
2000,,,,,,
