年份,农村居民平均每个劳动力负担人口(含本人),农村居民低收入户平均每个劳动力负担人口,农村居民中等偏下户平均每个劳动力负担人口,农村居民中等收入户平均每个劳动力负担人口,农村居民中等偏上户平均每个劳动力负担人口,农村居民高收入户平均每个劳动力负担人口
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,,,,,,
2014,,,,,,
2013,,,,,,
2012,1.40438,1.508373052,1.468431337,1.409603609,1.349864121,1.262309296
2011,1.40191,1.517526425,1.458612191,1.400176009,1.341628251,1.268421711
2010,1.387372093,1.47,1.43,1.39,1.34,1.29
2009,1.4,1.49,1.43,1.4,1.35,1.3
2008,1.41,1.5,1.45,1.41,1.36,1.31
2007,1.419,1.52,1.46,1.41,1.36,1.32
2006,1.43,1.54,1.47,1.43,1.37,1.33
2005,1.44,1.56,1.49,1.44,1.39,1.33
2004,1.45,1.56,1.49,1.44,1.4,1.34
2003,1.47,1.58,1.52,1.46,1.41,1.34
2002,1.5,1.65,1.57,1.5,1.45,1.37
2001,,,,,,
2000,,,,,,
