年份,农村居民平均每户整半劳动力,农村居民低收入户平均每户整半劳动力,农村居民中等偏下户平均每户整半劳动力,农村居民中等收入户平均每户整半劳动力,农村居民中等偏上户平均每户整半劳动力,农村居民高收入户平均每户整半劳动力
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,,,,,,
2014,,,,,,
2013,,,,,,
2012,2.7636,2.944601402,2.869095844,2.802794861,2.677075697,2.524357509
2011,2.781,2.960155997,2.898493577,2.805608715,2.703446764,2.537291413
2010,2.8505,3.07,2.97,2.87,2.77,2.57
2009,2.85,3.01,2.98,2.9,2.78,2.58
2008,2.846,3.02,2.98,2.89,2.77,2.57
2007,2.84,3.0,2.96,2.87,2.8,2.58
2006,2.83,2.98,2.93,2.85,2.8,2.6
2005,2.82,2.94,2.91,2.85,2.78,2.61
2004,2.82,2.95,2.91,2.85,2.76,2.62
2003,2.8,2.92,2.86,2.81,2.76,2.63
2002,2.76,2.83,2.78,2.76,2.71,2.59
2001,,,,,,
2000,,,,,,
