年份,农村居民家庭平均每人财产性纯收入,农村居民低收入户人均财产性纯收入,农村居民中等偏下户人均财产性纯收入,农村居民中等收入户人均财产性纯收入,农村居民中等偏上户人均财产性纯收入,农村居民高收入户人均财产性纯收入
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,,,,,,
2014,,,,,,
2013,,,,,,
2012,249.054319,52.65647314,84.75908055,143.1814017,236.6722331,885.3323116
2011,228.57,49.57986193,84.2531193,142.416055,212.0703764,791.70749
2010,202.25,44.11,73.26,120.82,185.8,702.09
2009,167.2,25.81,49.57,86.25,144.1,629.72
2008,148.08,30.75,45.95,81.53,132.93,534.28
2007,128.22,29.89,47.67,65.88,115.86,451.5
2006,100.5036473,19.9,32.64,51.81,91.07,359.36
2005,88.45,21.93,32.35,46.41,80.9,304.03
2004,76.61,16.2,26.67,38.25,62.97,272.34
2003,65.75,14.66,22.48,34.52,54.28,245.94
2002,50.68,7.23,14.8,24.72,40.06,193.27
2001,,,,,,
2000,,,,,,
